,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,市街宅地,,,郡村宅地,,市街宅地+郡忖宅地,,,田,,畑,,山林,,原野,,雑種地,,,池沼,以下免祖地,郷村社寺院地,学校敷地
,有租,免租,その他,有租,免租,有租,免租,その他,有租,免租,有租,免租,有租,免租,有租,免租,有租,免租,その他,,,,
明治38,390.1445,-,-,-,-,,,,9.7314,-,575.4321,-,5.5111,-,0.1000,-,0.3547,-,-,-,,2.1822,8.2122
39,316.3106,44.3603,6.1108,31.5415,1.8020,,,,10.0819,0.2002,577.3702,10.4429,6.2011,0.7802,0.1000,-,0.0606,0.2520,0.0421,-,,3.0602,13.6005
40,314.7601,45.1012,6.1108,31.8615,2.0211,,,,10.0819,0.2002,580.6607,10.5627,6.2011,0.7802,0.3915,-,0.0606,0.2520,0.0421,-,,3.0702,14.4629
41,307.8428,48.2523,3.0510,33.9410,1.9015,,,,10.1416,0.2002,581.1742,10.5720,8.4303,0.7802,0.3915,-,0.5512,0.2520,0.0421,-,,3.0702,15.1601
42,295.1426,48.2523,2.6217,35.4309,1.9015,,,,10.1416,0.2002,594.4308,10.5720,8.5602,0.7801,0.7322,-,0.5512,0.2520,0.0421,-,,3.3603,16.1400
43,293.0809,49.0919,3.0510,36.3328,1.9015,,,,10.1416,0.2002,595.1817,10.6101,8.5602,0.7802,0.7322,-,1.0824,0.2520,0.3906,-,,3.3603,16.1722
44,325.3310,42.7318,1.5829,-,2.3812,,,,10.1416,0.2002,600.4003,11.8721,8.5225,1.5229,0.3915,-,1.1112,0.0521,-,-,,3.3603,16.3418
大正元,,,,,,353.8600,-,5.8000,9.9811,-,591.2817,-,8.8518,-,8.8101,-,5.5302,-,0.2500,-,,3.3603,22.5304
2,,,,,,354.4350,-,17.3418,9.9811,-,591.2718,-,9.0107,-,8.8101,-,6.0608,-,0.3925,-,,3.3603,22.5818
3,,,,,,353.5720,11.4815,5.8004,9.9811,8.0515,590.7310,2.1518,9.0107,0.7802,9.7616,0.9024,6.0602,0.1421,0.0913,-,,3.3603,22.9109
4,,,,,,358.6122,10.0727,-,10.1911,-,586.6427,7.3600,9.7909,-,9.7616,0.4416,7.4605,0.1000,-,-,,3.3603,31.0014
5,,,,,,358.8312,-,29.3716,10.1911,-,585.9310,7.3106,11.7005,-,9.7616,0.4416,7.4605,-,0.1000,-,,1.4507,23.3508
6,,,,,,358.8300,-,5.8000,10.1900,-,585.9300,1.2000,11.7000,-,9.7700,-,7.4600,-,0.2400,-,,1.4500,23.3500
7,,,,,,360.5200,-,-,11.2000,-,590.0000,-,12.1000,-,10.1000,-,7.8500,-,-,0.5900,,1.4500,23.3500
8,,,,,,362.6500,-,-,10.1900,-,582.1700,-,12.2000,-,9.7700,-,7.7600,-,-,0.5900,,1.4500,24.0500
9,,,,,,369.2900,-,-,10.1900,-,576.2000,-,12.1000,-,14.1000,-,7.9000,-,-,0.5900,,1.4500,26.0900
10,,,,,,373.4000,-,-,10.2000,-,574.6000,-,12.4000,-,14.8000,-,10.9000,-,-,0.6000,,1.4000,29.8000
11,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
12,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
13,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
14,,,,,,378.3276,3.8617,,9.5253,-,512.6743,3.0127,6.5176,-,37.8496,0.6029,10.4165,-,-,0.2460,,7.0528,37.3127
昭和元,,,,,,459.5710,-,-,8.2421,-,479.9423,-,10.4412,-,12.7610,-,11.1908,-,-,0.4700,,1.6521,36.7205
2,,,,,,465.5917,-,-,8.2421,-,486.0013,-,10.4412,-,13.0528,-,11.2429,-,-,0.4700,,1.6521,36.8324
3,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
4,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
5,,,,,,619.0707,-,-,6.4616,-,340.8303,-,6.8103,-,8.7901,-,14.7728,-,-,-,,1.7000,48.9000
6,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
7,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
8,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
9,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
10,,,,,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,…,…
11,,,,,,658.3000,23.2000,-,6.1000,-,294.4000,2.4000,7.2000,-,32.8000,-,15.9000,2.5000,-,-,,1.5000,43.1000
12,,,,,,656.6000,43.6000,-,6.1000,-,294.4000,2.4000,7.2000,-,20.2000,-,58.4000,2.3000,-,-,,1.5000,43.1000
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
