年,墳墓地,火葬場,学校寄宿舎敷地,鉄道及び軌道用地,用悪水路,溜池,井溝,溜池+井溝,溜池+井溝+用悪水路,水道用地,道庁支庁敷地,道路,道路+鉄道及び軌道用地,公園地,区，市役所敷地,市役所敷地+道庁支庁敷地,警察署敷地,議事堂公会堂敷地,病院敷地,隔離舎敷地,病院敷地+隔離舎敷地,官舎敷地,測候所敷地,検黴所敷地,その他,合計
明治38,11.2317,0.1400,0.3817,18.5803,0.0208,0.0420,0.0117,,,7.9917,0.8520,0.1007,,11.4527,0.4803,,1.0112,0.0316,1.4836,0.3009,,0.3901,0.3118,0.0620,0.0202,"1,046.5652"
39,11.2317,0.1400,-,18.5826,0.0208,0.0420,-,,,7.9917,0.8520,0.1007,,-,0.4803,,1.0112,-,1.4906,-,,-,0.3118,0.0620,-,"1,103.6345"
40,11.2317,0.1400,-,18.5826,0.0208,0.0420,-,,,7.9917,0.8520,0.5111,,-,0.4803,,1.0112,-,1.1125,-,,-,0.3118,0.0620,-,"1,108.9705"
41,11.3201,0.1400,-,18.5825,0.0208,0.0420,-,,,7.9917,0.8520,0.6119,,-,0.4803,,1.0112,-,1.1125,-,,-,0.3118,0.0620,-,"1,109.2930"
42,11.3201,0.1400,-,18.5826,0.0208,0.0420,-,,,7.9917,0.8520,7.5728,,-,0.4803,,1.0112,-,1.1125,-,,-,0.3118,0.0620,-,"1,120.6115"
43,11.3201,0.1400,-,18.5826,0.0208,1.0420,-,,,7.9917,0.8520,0.8612,,-,0.4803,,1.0112,-,1.1125,-,,-,0.3118,0.0620,-,"1,117.7100"
44,10.5815,0.1400,-,18.5819,0.0208,0.0420,-,,,7.9721,0.8520,2.4519,,-,0.4803,,0.5417,-,1.1125,-,,-,0.3118,0.0620,-,"1,113.0939"
大正元,11.2910,0.1400,0.3817,-,0.0208,0.0420,-,,,7.9721,0.8520,5.3209,,-,0.4803,,0.5417,0.1205,1.1125,-,,0.0412,0.3118,0.0620,0.0013,"1,038.9474"
2,11.4300,0.1400,-,-,0.0209,0.0420,-,,,7.9722,0.8521,5.3809,,-,0.4804,,0.5417,0.1205,1.1125,-,,0.0412,0.3119,0.0620,0.0013,"1,053.7555"
3,11.6119,0.1400,0.3817,0.7924,0.0209,0.0420,-,,,7.9722,0.8521,6.0911,,-,0.4804,,0.5417,0.1205,1.1125,-,,0.0412,0.3119,0.0620,0.0013,"1,068.3648"
4,11.6119,0.1400,0.3817,0.7924,0.0209,0.0420,-,,,7.9722,0.8521,6.3018,,-,0.7804,,0.5417,0.1205,1.1125,-,,0.0412,0.3119,0.0620,0.0013,"1,069.8815"
5,11.4615,0.1400,0.3817,0.7924,0.0202,0.0420,-,,,7.9722,0.8521,6.3618,,-,0.4804,,0.5417,0.1205,1.1125,-,,0.0412,0.3119,0.0620,0.0013,"1,081.5966"
6,11.4700,0.1400,0.3900,0.8000,0.0200,0.0500,-,,,7.9800,0.8600,6.3700,,-,0.7800,,0.5500,0.1200,1.1200,-,,0.0500,0.3200,0.0700,0.0100,"1,053.0200"
7,11.5800,0.1400,-,0.8500,0.0200,0.0500,-,,,7.9800,0.8600,7.6200,,-,0.7800,,0.5500,-,1.1200,0.0700,,-,-,-,13.6900,"1,069.4700"
8,11.5200,0.1400,-,0.8000,0.0200,0.0500,-,,,7.9800,0.8600,6.6100,,-,0.4800,,1.0300,-,1.1200,0.0700,,-,-,-,0.3500,"1,049.8600"
9,11.5200,0.6800,-,0.8000,0.0200,0.0500,-,,,7.9800,0.8600,6.9900,,-,0.4800,,1.0300,-,1.1200,0.0700,,-,-,-,26.8600,"1,085.3700"
