,郡区宅地,,市街宅地,,,田,,畑,,,山林,,原野,,雑種地,,池沼,,合計,
,面積,地価,面積,地価,一反平均,面積,地価,面積,地価,一反平均,面積,地価,面積,地価,面積,地価,面積,地価,面積,地価
明治16,-,-,町231.56,"円1,059,232.00",円457.44,-,円-,町26.30,"円1,941.00",円7.38,町,,,,,,円,,,町
~,,,,,,,,,,,,,,,,,,,,
19,-,-,241.42,"1,054,226.67",436.67,-,-,26.74,"1,974.16",7.38,-,-,-,-,-,-,-,-,268.16,"1,056,200.84"
20,-,-,241.10,"1,054,951.72",437.55,-,-,26.74,"1,974.16",7.38,-,-,-,-,-,-,-,-,267.84,"1,056,925.89"
21,-,-,260.19,"1,090,442.11",419.09,-,-,26.74,"1,974.16",7.38,-,-,-,-,-,-,-,-,286.93,"1,092,416.27"
22,-,-,281.10,"1,100,380.16",391.45,-,-,14.36,"1,092.35",7.61,-,-,-,-,-,-,-,-,295.46,"1,101,472.52"
23,-,-,291.96,"1,120,982.97",383.95,-,-,13.32,"1,008.84",7.57,-,-,-,-,-,-,-,-,305.28,"1,121,991.81"
24,-,-,292.78,"1,121,882.34",383.18,-,-,13.31,"1,008.20",7.57,-,-,-,-,-,-,-,-,306.09,"1,122,890.55"
25,-,-,294.26,"1,130,349.37",384.13,-,-,13.31,"1,008.20",7.57,-,-,-,-,0.14,25.20,-,-,307.71,"1,131,382.77"
26,-,-,294.27,"1,130,901.63",384.31,-,-,13.66,959.02,7.58,-,-,-,-,0.14,25.20,-,-,308.07,"1,131,885.85"
27,-,-,296.72,"1,146,403.72",386.36,-,-,12.70,961.43,7.57,-,-,-,-,0.14,25.20,-,-,309.56,"1,147,390.35"
28,-,-,297.36,"1,114,215.83",384.78,-,-,12.70,961.43,7.57,-,-,-,-,0.14,25.20,-,-,310.20,"115,202.46"
29,-,-,…,…,…,-,-,13.30,…,…,-,-,-,-,…,…,-,-,-,-
~,,,,,,,,,,,,,,,,,,,,
37,31.18,"6,372.87",303.10,"1,152,807.47",380.34,9.73,"2,094.81",575.43,"41,005.74",7.13,5.51,46.93,-,-,0.06,8.66,-,-,925.02,"1,202,336.48"
38,31.54,"6,444.05",316.31,"1,156,070.89",365.49,10.08,"2,164.79",577.37,"41,149.83",7.13,6.20,52.95,-,-,0.06,8.66,-,-,941.57,"1,205,891.17"
39,31.86,"6,557.20",314.76,"1,158,104.98",367.93,10.08,"2,164.79",580.66,"41,222.88",7.10,6.20,52.95,-,-,0.06,8.66,-,-,953.63,"1,208,111.46"
40,33.94,"6,698.64",307.87,"1,150,121.86",373.57,10.14,"2,169.35",581.47,"42,106.19",7.24,8.43,595.10,-,-,0.55,542.00,-,-,942.42,"1,202,233.14"
41,35.36,"6,900.78",307.89,"1,142,550.91",371.09,10.14,"2,169.35",582.47,"42,170.27",7.24,8.56,625.25,-,-,0.55,542.00,-,-,944.99,"1,194,959.56"
42,35.43,"6,905.92",295.14,"1,130,815.25",383.14,10.14,"2,169.35",594.43,"44,739.56",7.53,8.56,626.25,-,-,0.55,542.00,-,-,944.27,"1,185,798.33"
43,36.33,"6,956.23",293.08,"1,129,916.99",385.53,10.14,"2,169.35",595.18,"44,853.68",7.54,8.56,625.25,0.49,59.71,1.08,"1,163.80",-,-,944.89,"1,195,746.01"
44,市街宅へー本化,,325.33,"4,320,827.47","1,328.13",10.14,"2,178.68",600.40,"43,188.40",7.19,8.52,720.72,2.85,73.83,1.11,496.35,-,-,948.36,"4,367,485.45"
大正元,,,353.85,"4,405,764.00","1,245.09",9.98,"2,141.00",591.28,"41,607.00",7.04,8.85,76.00,8.81,50.00,5.53,932.00,-,-,978.31,"4,450,570.00"
2,,,354.43,"4,402,694.00","1,242.18",9.98,"2,141.00",591.27,"41,592.00",7.03,9.01,77.00,8.81,50.00,6.06,"1,027.00",-,-,979.57,"4,447,581.00"
3,,,353.57,"4,389,076.00","1,241.35",9.98,"2,141.00",590.73,"41,358.00",7.00,9.01,77.00,9.76,56.00,6.06,"1,027.00",-,-,979.12,"4,433,735.00"
4,,,358.61,"4,434,406.00","1,236.55",10.19,"2,177.00",586.64,"41,082.00",7.00,9.79,83.00,9.76,56.00,7.46,"1,271.00",-,-,982.46,"4,479,075.00"
5,,,,,,,,,,7.00,11.70,100.00,9.77,56.00,7.46,"1,271.00",-,-,983.88,"4,469,029.00"
6,,,358.83,"4,424,397.00","1,233.01",10.19,"2,177.00",585.93,"41,028.00",7.00,11.70,100.00,9.76,56.00,7.46,"1,271.00",-,-,983.87,"4,469,029.00"
7,,,358.83,"4,424,397.00","1,233.01",10.19,"2,177.00",585.93,"41,028.00",6.99,12.20,102.00,9.77,56.00,7.76,"1,325.00",0.59,5.00,985.33,"4,466,360.00"
