,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,公園地,"区，市役

所敷地","警察署

敷　　地","議事堂公

会堂敷地",病院敷地,"隔離舎

敷　　地",官舎敷地,"測候所

敷　　地","検黴所

敷　　地",その他,合　　　計
,11.4527,0.4803,1.0112,0.0316,1.4836,0.3009,0.3901,0.3118,0.0620,0.0202,"1,046.5652"
,-,0.4803,1.0112,-,1.4906,-,-,0.3118,0.0620,-,"1,103.6345"
,-,0.4803,1.0112,-,1.1125,-,-,0.3118,0.0620,-,"1,108.9705"
,-,0.4803,1.0112,-,1.1125,-,-,0.3118,0.0620,-,"1,109.2930"
,-,0.4803,1.0112,-,1.1125,-,-,0.3118,0.0620,-,"1,120.6115"
,-,0.4803,1.0112,-,1.1125,-,-,0.3118,0.0620,-,"1,117.7100"
,-,0.4803,0.5417,-,1.1125,-,-,0.3118,0.0620,-,"1,113.0939"
,-,0.4803,0.5417,0.1205,1.1125,-,0.0412,0.3118,0.0620,0.0013,"1,038.9474"
,-,0.4804,0.5417,0.1205,1.1125,-,0.0412,0.3119,0.0620,0.0013,"1,053.7555"
,-,0.4804,0.5417,0.1205,1.1125,-,0.0412,0.3119,0.0620,0.0013,"1,068.3648"
,-,0.7804,0.5417,0.1205,1.1125,-,0.0412,0.3119,0.0620,0.0013,"1,069.8815"
,-,0.4804,0.5417,0.1205,1.1125,-,0.0412,0.3119,0.0620,0.0013,"1,081.5966"
,-,0.7800,0.5500,0.1200,1.1200,-,0.0500,0.3200,0.0700,0.0100,"1,053.0200"
,-,0.7800,0.5500,ー,1.1200,0.0700,-,-,-,13.6900,"1,069.4700"
,-,0.4800,l.0300,-,1.1200,0.0700,-,-,-,0.3500,"1,049.8600"
,-,0.4800,1.0300,-,1.1200,0.0700,-,-,-,26.8600,"1,085.3700"
,-,0.4800,1.0300,-,1.1100,0.0300,-,-,-,28.8000,"1,098.9700"
,,,,,,,,,,,
,●曾●,●曾●,,,●・●,●●●,,●●●,,●●●,ｆ●●
,●春●,●●●,,●，●,●●●,●争●,ｌ●●,●●●,●●●,者●■,・４●
,1.5633,0.4314,-,0.8202,7.2203,病　院,"・血４








-","●●■








-","●●●








-",14.4128,"1,101.7726"
,肖ｎｊ八「,八丿八肖肖,,ｎ ｌｎｒ丶冖,ｊ ｊ４∩冖,敷地へ,,,,ｉ冖?ir丶癶,ｉ八八r丶rtfl j冖
,"U.J4U0
￠丶r丶ａ入冖","Ｕ．４￡５Ｕｊ
入ａ入入(丶",-,"Ｕ．１乙ＵＤ
冖・八八冖","４．４４∠り

1』rtnr9",,-,-,-,"１．ｒ１乙り
・－入⌒入",１，Ｕｔ〕∠. iり
,Ｕ．ｊ４Ｕｔ）,Ｕ．４６Ｕｊ,-,Ｕ．１ＺＵｔ）,４．∠l(6{,,-,-,-,１．畄ZU,"1,UY8.3Z4≫"
,●●●,●●齒,●●●,・●・,,,■・●,夸・暈,●●ｔ,,"1,118.2340"
,●二二,"・●●



r丶入?丶r丶入",,,・ｒﾂ入ｎｎ,,■・・,●●●,●●●,八入入Λ入八,"1.1Z8.ZZUZ
４・入一一9八-入"
,-,∠-UUUU,-,-,4./UUU,,-,-,-,JS.bUUU,"1,133.7338"
,嗇●●,●嗇●,,,,,,曾●●,,,
,●Ｉ・,●●●,■■●,・●●,,,,二●●,●●●,●●●,ｌ●●
,１・・,,,,,,●●●,●●ｉ,●●●,,Ｉ●●
,"●●Ｉ







皐・●","●二４








●二●",,・●Ｉ,,,"●・●







●●●","４●●








●●嘉","Ｉ盍●








●●●","●●４







●●●",・４齒
,,・嵋r丶入入,,,⌒ａ⌒⌒⌒,,,,,－-ヽ－－－－,・・⌒・⌒⌒⌒⌒
,"一
一","∠i.lUUU
4.4000","一
一","一
一","U.4UUU
6.3000",,"一
一","一
一","一
一","IZ.bUUU
15.0000","1,Ibl.3UUU
1,233.9000"
