,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,山　　　林,,原　　　　野,,雑　種　地,,池　　　沼,,合　　　　　　　　計,
,一反平均,面　積,地　価,面　　積,地　価,面　積,地　　価,面　　積,地価,面　　積,地　　　価
,"円
7.38",町,,,,,円,,,町,円
,,,,,,,,,,,
,7.38,-,-,-,-,-,-,-,-,268.16,"1,056,200.84"
,7.38,-,-,-,-,-,-,-,-,267.84,"1,056,925.89"
,7.38,-,-,-,-,-,-,-,-,286.93,"1,092,416.27"
,7.61,-,-,-,-,-,-,-,-,295.46,"1,101,472.52"
,7.57,-,-,-,-,-,-,-,-,305.28,"1,121,991.81"
,7.57,-,-,一,-,-,-,-,-,306.09,"1,122,890.55"
,7.57,-,-,-,-,0.14,25.20,-,-,307.71,"1,131,382.77"
,7.58,-,-,-,-,0.14,25.20,-,-,308.07,"1,131,885.85"
,7.57,-,-,-,-,0.14,25.20,-,-,309.56,"1,147,390.35"
,7.57,-,-,-,-,0.14,25.20,-,-,310.20,"115,202.46"
,,-,-,-,-,●●●,,-,-,-,-
,,,,,,,,,,,
,7.13,5.51,46.93,-,-,0.06,8.66,-,-,925.02,"1,202,336.48"
,7.13,6.20,52.95,-,-,0.06,8.66,-,-,941.57,"1,205,891.17"
,7.10,6.20,52.95,-,-,0.06,8.66,-,-,953.63,"1,208,111.46"
,7.24,8.43,595.10,-,-,0.55,542.00,-,一,942.42,"1,202,233.14"
,7.24,8.56,625.25,-,-,0.55,542.00,-,-,944.99,"1,194,959.56"
,7.53,8.56,626.25,-,-,0.55,542.00,-,一,944.27,"1,185,798.33"
,7.54,8.56,625.25,0.49,59.71,1.08,"1,163.80",-,-,944.89,"1,195,746.01"
,7.19,8.52,720.72,2.85,73.83,1.11,496.35,-,-,948.36,"4,367,485.45"
,7.04,8.85,76.00,8.81,50.00,5.53,932.00,-,-,978.31,"4,450,570.00"
,7.03,9.01,77.00,8.81,50.00,6.06,"1,027.00",-,-,979.57,"4,447,581.00"
,7.00,9.01,77.00,9.76,56.00,6.06,"1,027.00",-,-,979.12,"4,433,735.00"
,7.00,9.79,83.00,9.76,56.00,7.46,"1,271.00",-,-,982.46,"4,479,075.00"
,,,,,,,,,,,
,7.00,11.70,100.00,9.77,56.00,7.46,"1,271.00",-,-,983.88,"4,469,029.00"
,7.00,11.70,100.00,9.76,56.00,7.46,"1,271.00",-,-,983.87,"4,469,029.00"
,6.99,12.20,102.00,9.77,56.00,7.76,"1,325.00",0.59,5.00,985.33,"4,466,360.00"
,6.97,12.10,100.00,14.10,60.00,7.90,"1,431.00",0.60,5.00,990.00,"4,479,688.00"
,6.98,12.40,245.00,14.80,60.00,10.90,"2,412.00",0.60,5.00,996.90,"4,468,532.00"
,6.99,11.60,94.00,雑種地･,丶　-,26.50,"2,487.00",-,-,976.40,"4,462,973.00"
,,,,,,,,,,,
,●●蕃,6.52,,37.85,Ｉ●●,10.42,●●●,0.25,●●●,955.56,
,7.01,10.44,85.43,12.76,37.52,11.19,"3,828.53",0.47,3.61,982.62,"4,527,928.05"
,6.99,10.44,85.43,13.05,37.72,11.24,"3,838.79",0.47,3.61,995.04,"4,572,376.61"
,,●●●,,●●●,●●●,,●●●,●●●,●●●,993.13,"4,592,090.42"
,,,,●●●,●●●,●●●,●●●,●●●,●●●,996.22,"4,592,941.75"
,6.96,6.81,52.90,8.73,26.73,14.77,"3,936.74",-,-,"1,096.84","4,701,227.90"
,,,,,,,,,,,
,,7.20,●・●,32.80,●●●,15.80,,30.90,●●●,"1,045.50",●●●
,,7.20,●・●,20.?0,,58.40,,31.40,●●●,"1,074.10",●●●
