,,合　　計,宅　　地,田,畑,山　　林,原　　野,雑　種　地,その他
,昭和36,"6,967",919,270,"1,111","3,936",549,172,９
,37,"6,967",925,270,"1,105","3,930",551,173,13
,38,"6,951",925,271,"1,084","3,936",550,171,13
,39,"7,014",971,332,"1,088","4,253",250,104,16
,40,"7,358","1,007",331,"1,112","4,327",434,126,21
,41,"10,620","1,086",390,"2,369","5,982",603,157,33
,∠12,"10,636","1,092",389,"2,330","6,034",603,155,33
,43,"10,625","1,106",383,"2,322","6,027",598,153,36
,44,"10,564","1,132",354,"2,186","6,049",638,157,48
,45,"10,525","1,158",349,"2,111","5,922",667,158,160
,46,"8,619",1，178,337,"2,103","4,000",669,170,162
,47,"8,532","1,202",331,"2,064","3,935",664,173,163
,48,"8,300","1,246",320,"2,038","3,714",668,161,153
,49,"13,332","2,164",547,"3,706","4,531","1,627",559,198
,50,"13,313","2,227",526,"3,649","4,390","1,602",722,197
,51,"13,274","2,242",520,"3,520","4,381","1,532",881,198
,52,"13,278","2,320",506,"3,467","4,389","1,540",860,196
,53,"13,257","2,374",500,"3,433","4,402","1,533",818,197
,54,"13,203","2,389",495,"3,381","4,342","1,534",866,196
,55,"13,163","2,443",485,"3,330","4,349","1,521",841,194
