,,,,,,,,
,合　　　　計,宅　　　　地,田,畑,山　林,原　　野,雑種地,その他
昭和36,"6,135,958",",881,391","27,705","80,598","24,246","12,130","98,338","11,550"
37,"6,154,515","5,898,955","27,676","79,955","24,233","11,851","100,261","11,584"
38,"6,158,597","5,904,867","27,715","78,531","24,241","11,843","99,81∠1","11,586"
39,"22,931,501","22,147,814","51,216","163,644","80,286","35,538","417,665","35,338"
40,"23,260,488","22,393,489","52,282","142,703","79,754","15,326","541,316","35,618"
41,"23,668,766","22,626,750","57,707","248,784","94,850","16,258","588,365","36,052"
42,"23,706,577","22,660,639","57,429","239,558","95,601","21,320","594,817","37,213"
43,"23,818,237","22,811,226","57,137","224,044","95,366","21,106","571,954","37,404"
44,"23,949,215","22,958,130","51,723","198,669","95,808","22,966","583,888","38,031"
45,"61,860,392","59,573,733","50,244","189,921","120,439","32,337","1,836,979","56,739"
46,"62,202,713","59,792,440","48,403","168,474","88,766","31,848","2,015,905","56,877"
47,"63,815,257","60,035,462","186,969","1,354,118","88,004","31,932","2,061,842","56,930"
48,"103,959,654","97,334,721","252,787","2,277,404","94,404","35,874","3,889,897","74,567"
49,"126,511,853","116,807,011","391,050","3,539,034","105,952","86,215","5,506,070","76,521"
50,"128,074,267","118,515,676","291,3∠11","3,321,201","107,561","81,780","5,684,672","72,036"
51,"155,369.000","143,995,000","335,000","3,873,000","124,000","98,000","6,859,000","85,000"
52,"156,689,000","146,131,000","307,000","3,572,000","123,000","93,000","6,377,000","86,000"
53,"157,117,000","147,246,000","295,000","3,330,000","123,000","92,000","5,947,000","84,000"
54,"193,648,000","179,034,000","487,000",",326,000","145,000","89,000","8,478,000","89,000"
55,"193,994,000","180,269,000","453,000","4,985,000","145,000","88,000","7,964,000","90,000"
