,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,町　　名,町　域　面　積　（Ａ）,,道路面積（Ｂ）,,(B)÷(A)×100,,道　　路　　延　　長,
,,明治42年,大正７年,明治42年,大正７年,明治42年,大正７年,明治42年,大正７年
,富岡町,"7,846.78fl","7,904.00^","2,018.30^","1,918.00^",25.72角,24.279,237.00ri,237.00間
,鍛冶町,"11,674.68","9,120.00","4,861.30","4,861.00",41.64,53.30,561.20,561.00
,旅籠町,"10,844.81","11,067.00","6,781.20","4,443.00",62.53,40.15,888.90,565.00
,天神町,"27,385.46","23,671.00","5,687.10","5,600.00",20.77,23.66,848.00,830.00
,駒止町,"4,547.70","4,805.00","1,461.80","1,462.00",32.14,30.43,226.80,227.00
,台　　町,"58,812.63","83,792.00","6,196.20","5,937.00",10.54,7.09,"1,153.30","1,146.00"
,舳見町,"71,123.34","89,580.00","10,887.40","10,475.00",15.31,11.69,"2,115.50","2,113.00"
,山背泊町,"8,365.44","13,290.00",903.90,959.00,10.81,7.22,358.50,396.00
,元　　町,"61,022.69","50,406.00","8,225.00","9,114.00",13.48,18.08,"1,689.40","1,718.00"
,会所町,"12,259.62","17,657.00","5,606.50","5,628.00",45.73,31.87,573.90,574.00
,寿　　町,"4,770.16","4,074.00",981.40,981.00,20.57,24.08,205.30,193.00
,曙　　町,"12,227.23","11,946.00","2,548.20","2,548.00",20.84,21.33,494.60,496.00
,相生町,"27,122.51","25,767.00","6,325.60","6,443.00",23.32,25.00,924.90,925.00
,青柳町,"28,641.64","43,064.00","7,279.10","7,225.00",25.41,16.78,"1,163.20","1,136.00"
,汐見町,"69,382.99","66,000.00","4,081.90","4,082.00",5.88,6.18,710.50,711.00
,春日町,"19,711.04","22,112.00","3,245.30","3,249.00",16.46,14.69,434.80,435.00
,谷地頭町,"133,102.06","119,050.00","13,946.70","13,938.00",10.48,11.71,"2,677.20","2,677.00"
,住吉町,"56,443.02","65,498.00","7,681.00","7,681.00",13.61,11.73,"1,926.60","1,927.00"
,大　　町,"12,613.72","12,995.00","3,032.20","3,787.00",24.04,29.14,356.10,394.00
,仲浜町,"9,581.52","12,897.00","2,548.70","3,257.00",26.60,25.25,373.80,413.00
,弁天町,"29,391.10","18,621.00","6,146.90","6,130.00",20.91,32.92,802.70,803.00
,西浜町,"6,527.22","9,407.00","3,096.50","3,097.00",47.44,32.92,342.40,342.00
,大黒町,"16,334.26","15,243.00","5,749.40","5,749.00",35.20,37.72,834.60,834.00
,祟　　町,"3,360.36","3,618.00","1,515､20","1,215.00",45.09,33.58,217.20,217.00
,鰮澗町,"4,831.01","3,730.00","1,074.30","1,145.00",22.24,30.70,187.20,239.00
,東浜町,"11,371.26","11,904.00","5,252.50","6,308.00",46.19,52.99,508.90,559.00
,末広町,"24,804.61","20,416.00","3,585.20","7,782.00",14.45,38.12,439.00,862.00
