,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,市　　　街　　　宅　　　地,,,郡　村　宅　地,,田,,畑,
,,有　　　租,免　　租,その他,有　　　租,免　　租,有　　　租,免　　租,有　　　租,免　　租
,明治　38,390.1445,-,-,-,-,9.7314,-,575.4321,-
,39,316.3106,44.3603,6.1108,31.5415,1.8020,10.0819,0.2002,577.3702,10.4429
,40,314.7601,45.1012,6.1108,31.8615,2.0211,10.0819,0.2002,580.6607,10.5627
,41,307.8428,48.2523,3.0510,33.9410,1.9015,10.1416,0.2002,581.1742,10.5720
,42,295.1426,48.2523,2.6217,35.4309,1.9015,10.1416,0.2002,594.4308,10.5720
,43,293.0809,49.0919,3.0510,36.3328,1.9015,10.1416,0.2002,595.1817,10.6101
,44,325.3310,42.7318,1.5829,-,2.3812,10.1416,0.2002,600.4003,11.8721
,大正　元,353.8600,-,5.8000,市街宅地に,｡一本化,9.9811,-,591.2817,-
,２,354.4350,-,17.3418,,,9.9811,一,591.2718,-
,３,353.5720,11.4815,5.8004,,,9.9811,8.0515,590.7310,2.1518
,４,358.6122,10.0727,-,,,10.1911,-,586.6427,7.3600
,５,358.8312,-,29.3716,,,10.1911,-,585.9310,7.3106
,６,358.8300,-,5.8000,,,10.1900,-,585.9300,1.2000
,７,360.5200,-,-,,,11.2000,-,590.0000,-
,８,362.6500,-,-,,,10.1900,-,582.1700,-
,９,369.2900,-,-,,,10.1900,-,576.2000,-
,10,373.4000,-,-,,,10.2000,-,574.6000,-
,11,●●●,●●●,,,,●●●,齒●●,●●二,・●●
,12,●●●,●●●,■●●,,,●●●,●●●,●●●,●●●
,13,,●●●,●●●,,,●●●,●●●,●●●,●●●
,14,378.3276,3.8617,,,,9.5253,-,512.6743,3.0127
,昭和　元,459.5710,-,-,,,8.2421,-,479.9423,-
,２,465.5917,-,-,,,8.2421,-,486.0013,-
,３,,●●●,●●●,,,●●●,,,●●●
,４,,・二●,●●●,,,●●●,,●●●,
,５,619.0707,-,-,,,6.4616,-,340.8303,-
,６,,●凖●,●●●,,,●●●,,●●●,
,７,●●●,●●●,●●●,,,,●●●,,●泰●
,８,●●齒,●●昜,●●●,,,●●●,●●●,●●●,●●●
,９,●●●,●●●,●●●,,,,●●●,●●●,●●●
,10,●●●,●●●,●争●,,,,●●蓼,,●●●
,ｎ,658.3000,23.2000,-,,,6.1000,-,294.4000,2.4000
,12,656.6000,43.6000,一,,,6.1000,-,294.4000,2.4000
