,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,山　　　　　　林,,原　　　　　野,,雑　　　　種　　　　地,,,｀｡L　　m,以　下,郷村社,-・４Ｓ．-，
,有　　租,免　　租,有　　租,免　　租,有　　租,免　　租,その他,１廴咄　　１口,免租地,寺院地,tt入34ぺ５
,5.5111,-,0.1000,-,0.3547,-,-,-,,2.1822,8.2122
,6.2011,0.7802,0.1000,-,0.0606,0.2520,0.0421,-,,3.0602,13.6005
,6.2011,0.7802,0.3915,-,0.0606,0.2520,0.0421,-,,3.0702,14.4629
,8.4303,0.7802,0.3915,-,0.5512,0.2520,0.0421,-,,3.0702,15.1601
,8.5602,0.7801,0.7322,-,0.5512,0.2520,0.0421,-,,3.3603,16.1400
,8.5602,0.7802,0.7322,-,1.0824,0.2520,0.3906,-,,3.3603,16.1722
,8.5225,1.5229,0.3915,-,1.1112,0.0521,-,-,,3.3603,16.3418
,8.8518,-,8.8101,-,5.5302,-,0.2500,-,,3.3603,22.5304
,9.0107,-,8.8101,-,6.0608,-,0.3925,-,,3.3603,22.5818
,9.0107,0.7802,9.7616,0.9024,6.0602,0.1421,0.0913,-,,3.3603,22.9109
,9.7909,-,9.7616,0.4416,7.4605,0.1000,-,-,,3.3603,31.0014
,11.7005,-,9.7616,0.4416,7.4605,-,0.1000,-,,1.4507,23.3508
,11.7000,-,9.7700,-,7.4600,-,0.2400,-,,1.4500,23.3500
,12.1000,-,10.1000,-,7.8500,~,-,0.5900,,1.4500,23.3500
,12.2000,-,9.7700,-,7.7600,-,-,0.5900,,1.4500,24.0500
,12.1000,-,14.1000,-,7.9000,-,-,0.5900,,1.4500,26.0900
,12.4000,-,14.8000,-,10.9000,-,-,0.6000,,1.4000,29.8000
,●●●,●●●,●●●,●●■,●●●,●●●,●●●,■●■,,,●●●
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●
,●●●,●●●,昏●●,●●●,●●●,●●●,二●●,●●●,,●■●,●●●
,6.5176,-,37.8496,0.6029,10.4165,-,-,0.2460,,7.0528,37.3127
,10.4412,-,12.7610,-,11.1908,-,-,0.4700,,1.6521,36.7205
,10.4412,-,13.0528,-,11.2429,-,-,0.4700,,1.6521,36.8324
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,・●・
,,●●●,●●●,●●●,●●●,●●●,暑●●,●●●,,●●●,●●・
,6.8103,-,8.7901,-,14.7728,-,-,-,,1.7000,48.9000
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●
,●・●,●●●,●●●,,●●●,●●●,●●●,●●●,,●●●,●●・
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●
,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●
,●●●,●●●,●●●,●●●,●●●,・●●,●●●,●●●,,●●●,●●●
,7.2000,-,32.8000,-,15.9000,2.5000,-,-,,1.5000,43.1000
,7.2000,-,20.2000,-,58.4000,2.3000,-,-,,1.5000,43.1000
