	気温(℃)					"気圧(明治6～昭和24:mmHg,025～55:㍊)"					湿度(％)			
	年平均	高極	測定月日	低極	測定月日	年平均	高極	測定月日	低極	測定月日	年平均	最小	測定月日	
明治6	9.9	30.6	8月8日	-13.3	1月29日	761.9	775.1	3月30日	747.2	4月16日	84.3	36	12月20日	
7	10.4	30.6	8月8日	-10	12月31日	760.7	774.1	3月14日	742.3	10月29日	85	32	"1/11,1/25"	
8	9.3	31.1	8月25日	-14.7	"1/6,7"	785.7	774.4	11月13日	741	12月19日	80.7	41	3月8日	
9	10.2	33.6	7月29日	-10.1	2月17日	760.2	772.6	"12/22,23"	742.6	11月8日	84.9	40	6月15日	
10	10.4	31.1	7月31日	-10.1	1月15日	760.1	778.1	1月24日	737.7	3月27日	88.6	34	2月14日	
11	8.6	28.6	8月18日	-11.7	"1/12,13,24"	760	776.5	4月6日	742.5	3月26日	82.8	8	1月19日	
12	9.1	28.9	8月7日	-12.2	1月11日	759.8	774.4	10月4日	733.8	12月30日	82.6	33	5月29日	
13	8.8	30.3	8月8日	-15.6	2月1日	760.1	775.2	2月25日	737	3月20日	79.6	30	"2/5,11/20,28,12/4"	
14	8.4	30.6	8月29日	-15	1月12日	759.6	776.4	3月8日	736.8	11月21日	80.8	33	12月15日	
15	8.7	29.4	8月1日	-15.8	12月20日	760.2	778.9	2月4日	739.5	10月2日	78.8	13	3月8日	
16	7.6	31.7	8月4日	-18.1	1月15日	760.4	774.1	10月27日	734.6	3月16日	83.9	39	5月24日	
17	7.1	28.9	7月28日	-16.7	1月11日	759.9	772.7	1月3日	741.4	5月18日	82.2	43	"1/21,5/1,4"	
18	8	28.3	8月23日	-18.7	1月20日	759.6	774.6	11月16日	741.6	3月22日	81.9	39	2月18日	
19	9.2	30.8	8月13日	-14.5	12月25日	759.9	774.1	11月11日	738.6	9月25日	80.5	33	2月14日	
20	8.4	31.1	8月11日	-15.3	1月17日	759.5	776.4	1月17日	734.8	3月13日	80.8	35	1月9日	
21	8.1	30.7	8月6日	-18.8	2月12日	759	774.4	11月2日	740.2	5月12日	81.7	28	4月29日	
22	7.4	29.1	8月5日	-15.9	1月28日	759.7	773.2	11月16日	733.2	10月21日	80.7	32	5月12日	
23	9.7	28.5	"8/17,9/9"	-17.2	1月20日	760.4	776.4	11月9日	740	12月14日	78.5	27	4月26日	
24	8.4	27.9	7月25日	-21.7	1月29日	759.6	774.7	12月7日	741	5月25日	77.6	25	11月16日	
25	8.3	31.1	9月13日	-19.4	12月14日	759.5	771.7	1月3日	738.6	4月2日	76.9	19	3月28日	
26	7.6	31.1	8月7日	-19.4	"2/12,13"	759.9	775.5	11月21日	741.9	12月24日	78.7	32	"3/19,12/27"	
27	9	30.5	7月30日	-19.9	1月20日	760.5	774.6	3月14日	733.2	3月29日	78.3	25	12月30日	
28	8.1	30.3	8月17日	-17.2	1月21日	760	774.1	12月5日	737.4	2月24日	78.2	30	3月23日	
29	8.4	29.8	8月17日	-20.4	2月19日	760.1	776.2	2月23日	733.4	1月10日	77.8	26	5月15日	
30	7.5	30.1	8月12日	-18.8	12月24日	760.8	774.9	3月25日	743.9	4月23日	78.1	29	1月31日	
31	8.2	30.8	7月24日	-18.9	3月5日	760.2	777.9	11月29日	738.6	12月14日	76	28	12月22日	
32	8.9	28.5	8月29日	-16.7	12月12日	759.9	776	2月27日	734.4	10月7日	75.3	25	5月9日	
33	8.1	31.2	8月20日	-19.4	2月14日	760.3	775.5	2月17日	738.5	12月7日	76.4	31	4月24日	
34	8.6	28.7	8月5日	-16.4	12月31日	759.9	773.5	11月3日	735.6	12月3日	75.5	25	5月2日	
35	8.1	27.5	9月9日	-18.4	2月12日	760.1	774.5	3月24日	737.9	1月8日	76	27	"4/21,29"	
36	9	28.5	9月4日	-13.7	12月22日	760.6	777.1	4月13日	741.1	11月28日	76.9	31	"2/14,4/13"	
37	8.9	33.5	8月20日	-16.8	1月4日	760.2	774.8	1月27日	743	12月23日	75.3	25	5月20日	
38	8.3	29.5	7月17日	-16.6	2月26日	760.7	774.4	"3/22,23"	742.9	4月21日	75.7	25	4月12日	
39	7.8	28.4	7月30日	-19	1月25日	759.7	775.6	11月11日	738.8	12月19日	76.9	29	12月4日	
40	8.2	30.8	8月13日	-16.7	12月4日	760.2	776.5	11月22日	734.1	12月21日	76.8	24	3月14日	
