,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,風　　　速（s/m）,,,,降　　水　　量　（皿）,,,積　雪　量(cm),,日　　　照
,,平　均,"最　大
風　速","最大風速
の風向",測定月日,総　　量,"日　最　大
降　水　量",測定月日,"日最深
積雪量",測定月日,"時　　数
　　　　(h)"
,昭和11,3.8,20.7,WNW J,"1/27,10/4","1,370.5",56.1,11/ 4,74,1/26,"1,686.0"
,12,3.7,18.3,Ｗ,3/ 5,"1,217.9",66.4,7/16,68,2/15,"1,954.4"
,13,3.6,21.2,ssw,9/ 6,964.4,47.4,6/26,58,2/15,"1,883.6"
,14,3.5,21.4,WSW,1/20,"1,366.2",176.0,8/25,73,2/ 6,"1,892.8"
,15,3.5,23.0,sw,7/15,"1,272,3",66.5,9/ 4,45,2/14,"1,823.0"
,16,3.5,21.5,NW,6/ 7,"1,062.4",52.0,9/25,37,2/即,"1,829.9"
,17,3.4,20.0,sw,4/13,"1,297.1",134.6,8/16,34,"1/30,31","2,002.7"
,18,3.4,19.0,ESE,9/20,"1,000.9",83.9,9/11,30,1/ 4,"2,149.6"
,19,3.2,21.5,Ｅ,10/ 8,985.4,41.6,8/12,48,2/20,"2,038.3"
,20,3.4,17.0,sw,4/12,"1,235.8",66.6,7/22,55,1/24,"1,686.1"
,21,3.5,18.3,ESE,3/ 4,"898,0",46.2,12/ 3,42,2/12,"2,078.6"
,22,3.3,20.3,Ｗ,12/ 2,"1,199.6",122.1,9/15,53,1/ 4,"2,031.3"
,23,3.2,25.0,Ｅ,1/14,"1,079.3",113.0,8/13,20,22-12/24,"2,092.7"
,24,4.3,22.9,ESE,9/ 1,"1,381.3",91.6,10/10,28,B-I2/M.0,"1,934.0"
,25,4.1,21.1,WNW,12/31,"1,136.4",114.1,7/15,36,1/ 2,"2,067.2"
,26,4.1,21.1,ssw,2/22,986.3,77.4,9/ 6,35,2/18,"2,088.8"
,27,3.9,19.0,ENE,3/23,994.4,84.4,3/23,45,2/27,"2,176.9"
,28,4.2,16.5,Ｗ,1/13,"1,065.0",65.6,12/ 7,44,2/11,"2,034.7"
,29,4.2,25.8,Ｓ,9/26,"1,015.1",67.2,10/12,49,1/29,"1,928.7"
,30,4.5,22.2,ssw,3/18,"1,432.0",64.6,8/30,64,2/25,"1,871.5"
,31,4.3,21.7,"W,ESE","1/29,10/31","1,035.3",60.2,8/ 6,28,3/12,"1,849.8"
,32,4.3,20.2,SE,2/ 9,1.254.0,51.8,10/30,82,3/ 6,"1,875.8"
,33,4.3,23.1,Ｗ,1/10,1.281.1,136.2,8/18,48,2/13,"1,906.8"
,34,4.3,24､4,Ｗ,1/30,957.5,40.2,9/26,28,1/20,"1,750.6"
,35,4.2,19.4,WSW,12/12,997.6,63.3,6/27,20,1/14,"2,033.7"
,36,3.6,22.3,Ｓ,5/29,"1,154.1",60.8,7/25,24,2/17.18,"2,092.3"
,37,3.7,26.7,NNW,1/20,"1,147.1",96.5,8/ 8,30,3/ 1,"1,921.7"
,38,3.6,21.3,NW,3/25,"1,275.2",61.2,6/22,31,1/22,"1,797.9"
,39,"3,6",19.2,ssw,4/26,"1,132.2",76.6,9/13,33,3/ 1,"1,737.4"
,40,3.8,21.2,NW,9/18,"1,432.6",128.1,9/ 4,42,"3/4,6,7","1,777.3"
,41,3.8,17.2,WNW,1/15,"1,377.1",60.6,8/19,35,1/28,"1,730.6"
,42,3.4,18.7,WSW,4/ 5,"1,069.3",122.2,8/10,44,1/ 5,"1,885.8"
,43,3.3,16.3,ESE,5/13,"1,215.0",123.0,8/21,46,2/20,"1,867.5"
,44,3.3,14.8,Ｗ,5/ 6,"1,050.5",68.0,8/ 3,46,43-12/31,"1,909.9"
,45,3.3,18.7,ENE,1/31,"1,152.0",90.0,1/31,42,1/23,"2,079.7"
,46,3.3,13.8,WSW,12/ 3,"1,067.5",102.0,9/ 4,28,2/10,"1,938.4"
,47,3.3,17.8,Ｗ,11/ 7,"1,352.0",92.5,8/ 3,30,1/26,2.123.5
,48,3.0,14.3,Ｅ,9/ 3,"1,372.5",104.0,9/24,35,2/11,"1,978.7"
,49,3.1,17.2,ESE,4/21,"1,053.0",60.5,6/ 6,40,2/13,"1,908.1"
,50,2.5,14.4,NE,3/21,"1,254.5",105.0,8/21,65,2/28,"1,930.1"
,51,2.7,17.2,Ｗ,10/21,"1,053.0",48.5,9/14,39,1/31,"1,975.3"
,52,2.6,15.6,Ｅ,4/28,"1,176.0",71.0,9/ 9,91,2/15,"1,905.5"
,53,2.4,13.3,ssw,12/ 2,937.5,55.5,6/21,45,3/14,"2,116.7"
,54,2.6,13.6,WNW,10/19,"1,264.5",78.0,10/19,42,1/23,"2,088.0"
,55,2.7,13.1,WSW,12/ 4,"1,144.0",86.0,8/30,38,2/18,"1,873.4"
