,明治30,明治31,明治32.4-32.9,明治32.10-33.3,明治33,明治34,明治35,明治36,明治37,明治38,明治39,明治41,明治42,明治43,明治44,大正元,大正２,大正３,大正４,大正５,大正６,大正７,大正９,大正10,大正11.4-7
財産ョリ生ズル収入,"10,023.118","10,130.406","5,138.806","5,428.116","42,870.422","45,208.498","105,676.219","197,763.406","29,812.429","30,218.832","31,692.780",-,"17,341.256","43,236.103","5,893.020","20,539.457","21,275.053","20,303.401","18,387.801","17,796.410",32.816.340,"34,474.590","62,721.610","58,348.220","13,018.950"
貸地料,"6,990.966","7,204.468","3,700.804","3,956.428","8,645.994","8,115.778","9,024.528","8,878.965","8,258.679","8,869.074","10,090.279",-,-,-,-,"14,700.064","16,410.866",16.400.356,"16,245.022","15,464.810",15.331.270,"18,986.300","24,121.730","26,939.360","7,890.450"
貸家料,"2,719.325","2,749.250","1,354.252",-,"2,716.500","2,731.650","2,731.650","2,709.294","2,704.200","2,732.300","3,806.300",-,一,-,"1,369.452","1,388.200","1,395.557","1,408.438","1,405.984","1,332.460","1,312.000","1,440.000","3,316.050",6.956.930,"1,775.000"
公債利子,45.000,45.000,22.500,57.500,115.000,"70,000",70.000,70.000,70.000,"70,000",70.000,-,-,-,772.500,772.500,347.860,190.000,190.000,190.000,190.000,190.000,190.000,190.000,95.000
預貸付金利子,123.889,-,-,58.188,107.188,"11,234.836","1,457.930","1,091.200",713.600,-,-,-,-,-,938.680,"1,361.913","2,975.820","2,267.640",458.260,587.800,"5,904.750","5,098.630","10,930.440","23,005.270","3,258.500"
土地売却代,,,,,"29,785.740",-,"70,970.000","178,695.009","12,249.655","12,078.560","11,900.000",-,"17,341.256","43,236.103","2,689.500","2,043.250",-,-,一,-,9.681.310,"8,576.900","24,163.390","1,256.660",-
軽便軌道貸渡料,,,,,"1,500.000","1,197.355","1,408.711",114.682,84.563,47.216,366.401,-,-,-,122.888,273.530,144.950,36.967,88.535,221.340,397.010,182.760,-,-,-
水道公借金利子,143.938,131.688,61.250,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災保険金,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
土地売却代年賦金利子,,,,,,,"15,613.400","6,004.256","5,618.732","5,440.682","4,490.000",~,-,-,-,-,-,-,-,-,-,-,一,-,-
区有建物売却代,,,,,,,,,113.000,31.000,969.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-
軽便軌道売却代,,,,,,,,,,950.000,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-
浚渫器貸渡料,,,,,,400.000,"4,400.000",200.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
使用料,,,,"1,356.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
水道収入,,,,,,"21,458.879",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区有土地売却代,,,,,,"96,958.876",-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区有土地売却代,,,,,,"96,958.876",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本財産消支金,,,,,,,,,,,,,"31,247.460",-,-,-,"38,750.000",-,-,-,-,-,-,-,-
基本財産消支金,,,,,,,,,,,,,"31,247.460",-,-,-,"38,750.000",-,-,-,-,-,-,-,-
使用料及手数料,,,,734.178,"2,565.296","7,181.540","32,693.394","38,789.500","42,728.877","51,719.299","75,059.321","68,166.085","74,246.995","85,990.507","90,081.640","87,352.955","90,270.447","90,796.535","92,425.800","99,447.990","107,308.490","117,836.320","172,326.500","166,024.610","44,699.840"
使用料,,,,,14.604,"3,471.440","27,880.294","32,374.000","36,076.937","43,955.529","67,007.921","60,510.435","63,146.845","71,906.677","72,859.045","76,342.785","75,953.802","77,109.575","77,593.375","83,980.020","92,523.990","105,838.620","157,164.360","151,448.760","40,995.940"
手数料,,,,734.178,2.550.692,"3,710.100","4,813.100","6,415.500","6,651.940","7,763.770","8,051.400","7,655.650","11,100.150","14,083.830","17,222.595","11,010.170","14,316.645","13,686.960","14,832.425","15,467.970","14,784.500","11,997.700","15,162.140","14,575.850","3,703.900"
雑収入,"51,327.422","54,860.444","51,052.635","28,272.757","147,341.159","46,526.359","54,710.731","48,441.237","46,308.609","100,547.105","87,443.171","44,835.804","131,980.493","188,388.559","173,071.450","69,831.569","98,853.391","108,449.311","94,682.827","144,491.450","100,870.805","144,922.140","289,212.430","205,805.940","88,744.960"
病院収入,"24,914.594","27,174.526","13,859.140","13,609.105","17,594.565","15,625.440","16,422.610","16,130.360","17,823.090","32,873.700","55,796.565",-,"52,465.640","85,640.280","97,841.890",-,-,-,-,-,-,-,-,-,-
伝染病院収入,,,,,,,,,,,,,,,,,,,,,,,,,403.220
小学校授業料,7.281.025,"11,190.750","6,316.250",5.701.100,"13,607.530","15,436.300","15,712.400","16,467.800","14,036.750","16,564.000","17,782.800","24,102.450","26,465.750","30,080.000","31,536.230","32,456.010","33,609.910","33,691.130","35,226.250","40,206.250","45,388.830","47,933.500","54,055.900","54,622.300","29,257.800"
