,明治13下期,明治14,明治15,明治16,明治17,明治18,明治19,明治20,明治21,明治22,明治23,明治24,明治25,明治26,明治27
収入,,,,,,,,,,,,,,,
前々年度繰越高,,,,,837.786,-,688.004,845.948,13.965,558.506,-,"2,209.124",568.677,-,＊翳27年よ
前年度繰越高,,281.079,346.289,-,212.618,-,-,-,-,-,-,-,-,-,981.666
共有金繰替借入,,,,,,,,,,,,,,,
豊川病院蓄積金,,,,,,,,,,,,,"1,246.041",-,-
協議費(明治20年より区費)徴収額,"2,466.758","6,112.847","10,233.102",17.267.273,"15,748.194","15,095.316","16,964.977","12,822.561","10,355.101","11,301.737","21,673.008","23,959.483","22,420.837","26,442.311","25,563.753"
地価割,●●●,,,,●●二,"3,208.846","1,509.818","1,505.604","1,511.084","1,531.809","1,521.039","1,549.622","1,571.366","1,568.274","1,594.250"
建物割,,,,,■■●,"11,886.470","15,455.159",-,-,-,-,-,-,-,"23,950.981"
戸別割,,,●●●,,●●●,"5,708.793","7,457.811","11,316.957","8,844.017","9,769.928","20,151.969","22,409.861","20,849.471","24,874.037",18.522
雑収入,,,,,,,,"3,970.511","13,038.739","25,671.560","21,840.104","7,752.727","7,163.299","8,529.161","8,443.067"
共有金より学費補助,500.000,"1,000.000","2,500.000","2,500.000","3,500.000","2,000.000","3,000.000",-,-,-,-,-,-,-,-
改正教科書購入費共有金より補給,,,,307.345,-,-,-,-,-,-,-,-,-,-,-
教育収入（学校授業料等）,362.430,887.538,"3,138.295","3,797.150","3,942.550","3,306.000","3,595.650","3,602.646","4,234.663","6,929.108",712.228,0.000,"0,000",0.000,0.000
宝小学校,,691.975,"1,042.000","1,150.350","1,195.500",●●・,,,,,●●●,●●二,,・●●,●●●
弥生小学校,●●●,195.563,"1,229.500","1,194.925","1,149.600",●●●,●・・,,,,●●●,●●●,,,
女学校,,,340.375,24.375,-,■●・,,＊私立小学校j,なる,,,,,,
幸小学校,,,,493.000,497.100,●●●,●・●,,,,,,,,
住吉小学校,●●●,●●■,176.370,254.750,414.250,■血●,●●●,|/,,,,,,,
東川小学校,,,350.050,480.125,404.100,,,//,,,,,,,
高砂小学校,,,,199.625,282.000,●■●,■・●,,,,,,,,
公園収入（貸地料等）,13.560,7.375,15.500,0.000,-,-,-,-,299.674,507.298,131.080,128.825,175.087,222.550,196.190
水産陳列場雑入,,,,,,,,,,,,,,,
寄付金,,,10.000,-,-,5.000,-,-,30.000,115.000,13.000,30.000,-,-,-
公立学校附属地貸渡料,,,,796.438,865.238,397.793,861.032,364.465,904.438,-,-,-,-,-,-
宝小学校増築に係る受込,,,,,242.096,,,,,,,,,,
その他学校収入,,,,,,,,,102.178,-,-,-,-,-,-
書籍館収入,,,,,,,,,5.195,2.350,1.190,1.375,1.815,-,-
病院収入,,,,,,,,,"7,460.751","7,631.641","13,728.939",0.000,0.000,0.000,0.000
水道雑入,,,,,,,,,,"10,327.818","3,226.667","4,032.197","4,599.487","5,573.941","6,173.633"
土木費雑入,,,,,,,,,,,"4,000.000","3,500,000","2,227.100","2,556.000","2,000.000"
道路小破修繕費18年度受込,,,,,150.000,-,-,-,-,-,-,-,-,-,-
区費処分費雑入,,,,,,,,,,,,,,,
区費督促令状手数料,,,,,,,,,,,27.000,60.330,159.810,171.270,64.770
不用品払下代,,,,,,,,,,,,,,5.400,7.900
区費差押調書調製費,,,,,,,,,,,,,,,0.574
雑収入,1.925,-,-,-,一,-,1.192,3.400,1.840,158.345,-,-,-,-,-
共有金より補給,,,,,,,,,"2,274.794",-,-,-,一,-,-
収入合計,3 354.673,"8,288.839","16,243.186","24,668.206","25,498.482","20,804.109","25,110.792","17,639.020","25,682.599","37,531.803","43,513.112","33,921.334","31,398.854","34,971.472","34,988.486"
支出,,,,,,,,,,,,,,,
区会費,640.416,522.948,471.960,543.014,95.575,169.199,138.457,58.010,41.480,29.202,42.887,33.460,32.780,57.035,162.215
土木費,,,,,,,,,603.399,545.477,"4,533.399","7,617.174","6,358.850","6,653.974","7,634.554"
道路橋梁溝渠等修繕費,,,,,,,,,128.658,306.518,"4,303.465","7,300.540","6,033.050","6,361.999","6,998.025"
道路及下水修繕費,,,,,,,,338.400,5.952,-,"4,000.000","7,000.000","2,877.842","3,552.056",4.708.941
道路小破損修繕費,,,,,150.000,250.801,"350,000",-,-,-,-,-,2.211.176,"1,751.819","1,502.828"
掲示場費,,,,,34.095,1.130,7.080,1.505,-,0.000,5.625,0.600,0.000,1.910,1.390
区内道路掃除費,,,,,24.330,19.640,83.688,83.464,122.706,306.518,297.840,299.940,122.882,196.211,242.756
石垣費,,,,,,,,,,,,,312.∠100,338.684,16.620
樹木植付費,,,,,,,,,,,,,,,
雇給,,,,,,,,,,,,,508.750,521.319,525.490
塵焼費,231.000,300.300,590.034,600.672,414.615,126.565,48.700,52.910,170.610,50.465,37.130,61.030,60.000,45.000,47.720
市街便所費,139.822,380.280,289.547,263.538,139.624,179.438,207.640,498.786,304.131,168.994,192.804,255.604,265.800,246.975,588.809
糞尿投棄場新設費,,,,,,,,,,19.500,-,-,-,-,-
教育費,"1,970.656","4,958.639","12,224.709","15,689.455","14,418.555","10,985.803","14,545.565","5,403.283","5,902.725","7,635.243",226.241,219.631,313.472,344.890,291.088
宝小学校費　明治18ｮﾘ学校費,,4.129.924,"4,063.947","3,869.317","3,724.152","10,306.170",●・・,,,,,●●●,,,●●●
弥生小学校費,,,"3,542.241","3,656.918","3,388.142",,●●・,,,,,,,●●●,春齒●
女学校及幸小学校費,,,,"1,945.512","1,465.626",,,,,,,,,,
女学校費,,,"2,165.755",-,-,呷■・,●●・,,,,,,,,
住吉小学校費,,813.715,876.191,"1,436.226","1,641.400",,●・・,,,,,,,,
東川小学校費,,,"1,147.782","1,763.141","1,616.057",,,,,,,,,,
高砂小学校費,,,,852.515,1.330.866,,●●●,,,,,,,,
学務委員費,,15.000,15.000,307.485,971.679,550.201,-,,,,,,,,
教育会費,,,0.000,142.370,0.000,60.770,-,,,,,,,,
受持訓導費,,,140.126,28.045,162.326,-,-,,,,,,,,
その他教育諸費,,,273.667,"1,687.926",118.307,68.662,●●●,,,,,●●●,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
