,明治30,明　治　31,明治32.4-32.9,明治32.10-33.3,明　治　33,明　治　34,明治35,明治36,明　治　37,明　治　38,明　治　39,明　治　40,明　治　41,明治43,明　治　44,大　正　元,大　正　２,大　正　３,大　正　４,大　正　５,大　正　６,大　正　７,大　正　８,大　正　９,大　正　10,大正11.4-7
水産陳列場費,,,,,,,,,,,,,,,,,,,,,,"1,136.110","1,586.080","1,928.470","1,946.580",745.340
勧業諸費,,,,,,,,,,,,,,,,,,,,,,61.600,81.840,581.470,145.540,113.180
牛馬検査費,,,,,,,,,,,,,,,,,,,,,,33.200,45.300,49.000,87.800,-
度量衡検査費,,,,,,,,,,,,,,,,,,,,,,,123.000,ー,219.770,-
諸　税,524.664,518.984,252.272,253.574,676.511,633.060,672.090,560.860,"2,453.180","6,682.000","7,005,060","6,955.610","7,190.370","6,220.535",3.987.665,"3,915.115","3,913.845","3,881.375","3,788.880","3,561.725","3,583.090","4,112.420","3,781.590","3,981.530","4,128.550",571.810
諸　税,524.664,518.984,252.272,253.574,676.511,633.060,672.090,560.860,2.453.180,6.682.000,"7,005.060","6,955.610","7,190.370","6,220.535","3,987.665","3,915.115","3,913.845","3,881.375","3,788.880","3,561.725","3,583.090","4,112.420","3,781.590","3,981.530","4,128.550",571.810
育児費,624.131,638.000,317.300,315.000,618.440,-,-,-,一,-,-,-,-,-,952.170,950.983,914.499,"1,063.263",998.628,971.160,760.950,876.630,922.190,"1,345.970",0.000,0.000
育児費,624.131,638.000,317.300,315.000,618.440,-,-,-,-,-,-,-,-,-,952.170,950.983,914.499,"1,063.263",998.628,971.160,760.950,876.630,922.190,"1,345.970",-,-
雑支出,"1,168.075","1,745.814","1,190.356","1,910.392","10,492.289","7,170.714","11,528.636","12,476.898","10,381.033","14,730.210","15,226.563","21,276.475","27,539.550","43,812.428","20,754.978","18,257.695","19,188.361","19,455.391","19,497.791","19,982.760","21,205.450","51,011.890","54,848.050","79,567.880","59,669.500","45,043.220"
町会所諸費,877.334,942.584,410.856,633.992,914.246,"1,140.607","1,161.949",960.961,864.424,792.889,786.911,469.460,-,-,-,-,-,-,-,-,-,-,-,-,-,-
物揚場諸費,,,,,,664.733,"1,026.701",679.387,682.573,738.402,775.052,"1,012.814",929.030,945.515,"1,347.900",986.935,"1,152.674",1.079.351,"1,261.536","1,523.970","2,147.770","2,581.420","3,032.880","3,752.600","3,236.970","1,183.910"
区有財産管理費,,,,,501.484,"1,380.551","1,379.143",1.682.580,1.496.665,1.386.476,"1,675.510","2,220.725","3,574.366","3,812.360",408.770,675.310,837.210,657.506,215.000,502.700,282.050,"19,163.610","16,851.270","29,073.710","31,553.250","31,920.240"
修繕費,167.241,606.220,381.200,3.565,81.310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区費取扱・滞納処分費,,,,150.000,"4,901.891",4.200,0.000,0.810,26.740,34.250,41.800,33.050,91.130,313.700,529.100,566.750,375.150,577.250,618.100,650.350,414.200,288.850,206.580,226.440,320.300,67.400
国税徴収費,,,,,1610.091,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-
銀行手数料,,,,,,546.000,564.000,708.000,492.000,540.000,744.000,693.250,705.000,905.000,"1,060.000","1,060.000","1,150.000","1,150.000","1,240.000","1,240.000","1,240.000","1,240.000","1,440.000","1,660.000","1,660.000",-
行旅病人死亡人諸費,,,,1.122.835,"2,415.400","3,410.921","6,756.720","7,405.440","6,579.315","8,134.268","10,592.411","13,601.441","16,741.150","13,200.465",-,-,-,-,-,-,-,-,-,-,-,-
午報費,,,,,,,400.837,302.470,180.568,324.260,320.479,352.685,376.259,316.808,267.250,326.200,340.008,324.128,312.290,487.220,570.150,671.400,675.050,785.450,887.130,280.200
育児費,,,,,,,,,,,,"1,411.800","1,427.900","1,193.964",-,-,-,-,-,-,-,-,-,-,-,-
繰越金,,,,,,,,,3.010,62.000,11 f　=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
過誤納払戻,,,,,10.317,23.702,3.888,737.250,55.738,"2,717.665",1594'30,565.150,998.855,905.030,795.012,539.582,579.080,294.550,310.770,12.720,22.140,335.170,202.090,"2,021.660",342.440,-
一時借入金利子,,,,,,,,,,,-,885.100,"2,695.200","2,651.580","2,027.320",521.520,-,0.000,117.990,168.660,-,-,0.000,-,-,-
過年度支出,,,,,,,,,,,-,27.000,-,58.109,173.359,5.435,25.000,26.500,-,-,-,-,-,-,-,-
繰替金,,,,,,,,,,,130.970,4.000,0.660,4.970,"12,911.560","12,253.020","13,317.924","12,958.335","13,236.495","13,077.570","13,458.210","21,052.220","23,705.000","28,599.800","8,174.700","8,755.570"
基本財産特別会計へ繰入,,,,,,,,,,,,,,"2,000.000",-,-,一,-,-,-,-,-,-,-,-,-
公会堂費,,,,,,,,,,,,,,17504.927,-,-,-,-,-,-,-,-,-,-,-,-
墓地火葬場費,123.500,197.010,398.300,0.000,57.550,-,-,-,-,-,-,-,-,-,"1,133.772","1,125.093","1,302.000","1,306.026","1,335.115","1,607.570","2,384.140","4,886.250","6,981.410","7,458.800","8,278.490","2,816.960"
点灯費,,,,,,,235.398,-,-,-,-,-,-,-,35.535,181.030,53.315,143.200,120.240,144.150,120.650,85.970,182.000,43.850,234.670,18.940
牛馬検査費,,,,,,,,,,,,,,,65.400,-,-,-,-,-,-,-,-,-,-,-
訴訟費,,,,,,,,,,,,,,,,16.820,-,-,-,-,-,-,-,-,-,-
五稜郭管理費,,,,,,,,,,,,,,,,,56.000,938.545,730.255,567.850,566.140,707.000,864.060,"1,991.250","2,002.330",-
日用品供給物費,,,,,,,,,,,,,,,,,,,,,,,707.710,"2,546.600",-,-
交付金,,,,,,,,,,,,,,,,,,,,,,,,"1,407.720","1,700.740",-
統計費,,,,,,,,,,,,,,,,,,,,,,,,,"1,278.480",-
水道費,"9,766.466","9,806.319","4,537.506","5,474.414","9,961.632","7,320.860","7,169.926","8,243.381","8,753.277","9,244.878","10,780.639","14,422.161",15.161.799,"12,216.256","12,780.412","13,136.290","12,874.722","12,708.478","14,906.272","14,808.350","17,274.860","22,779.690","36,560.630","46,199.220","45,775.350","15,391.060"
俸給,"7,087.672","6,485.877","3,287.280","3,391.011","6,699.642",-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
雑給,561.739,591.180,94.550,415.548,469.100,"4,263.225","4,365.340","5,248.386","5,546.317","5,777.370","6,445.965","7,269.980","7,596.150","7,188.200","7,436.330","7,582.020","7,566.550","7,769.018","8,115.672","8,161.600",9.597.600,"11,628.290","17,479.140","23,871.110",25.046.800,"11,542.330"
需用費,617.904,798.636,281.619,527.885,716.654,743.678,494.842,581.209,618.875,850.153,"1,484.407","3,405.560","3,122.242","1,0∠11.240","1,735.460","1,665.051","1,432.853","1,423.448","1,549.905","1,645.280","1,812.010","2,579.770","3,763.780","5,547.450","4,484.960",-
修繕費,"1,499.151","1,930.626",874.057,"1,139.970","2,076.236",57.995,91.491,-,-,-,-,506.024,-,-,-,-,-,-,-,-,-,-,-,-,-,-
保存費,,,,,,"2,255.962","2,218.253","2,413.786",2.588.085,"2,617.355","2,850.267","3,240.597","4,443.407","3,986.816","3,608.622","3,889.219","3,875.319","3,516.012","5,240.695","5,001.470","5,865.250","8,571.630","15,317.710","16,780.660","16,243.590","3,848.730"
社会事業費,,,,,,,,,,,,,,,,,,,,,,,,,"24,667.990","1,202.690"
職業紹介所費,,,,,,,,,,,,,,,,,,,,,,,,,"1,380.320",656.890
住宅修繕費,,,,,,,,,,,,,,,,,,,,,,,,,62.200,100.920
公設市場費,,,,,,,,,,,,,,,,,,,,,,,,,,19.300
行旅病人死亡人諸費繰替,,,,,,,,,,,,,,,,,,,,,,,,,"13,132.430",
精神病者諸費繰替,,,,,,,,,,,,,,,,,,,,,,,,,"7,047.100",-
育児費,,,,,,,,,,,,,,,,,,,,,,,,,"1,694.170",407.540
日用品供給場費,,,,,,,,,,,,,,,,,,,,,,,,,911.370,-
諸費,,,,,,,,,,,,,,,,,,,,,,,,,440.400,18.040
公借費,"92,415.483","77,031.469","42,448.140",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
水道起業費公借金,"10,023.779","9,638.807","5,589.390",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
水道増設費公借金,"64,677.500","36,853.500","12,741.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
函館港改良工事費公借金,"17,714.204","30,539.162","24,117.750",-,-,-,-,-,-,ー,-,-,-,-,-,-,-,ー,-,-,-,-,-,-,-,-
繰替金償還費,"2,767.945",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
共有金繰替償還金,"2,767.945",-,-,-,-,-,-,-,-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-
区費取扱費,"2,394.246","2,765.823","1,867.805",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
徴収費,"2,093.096","2,464.993","1,717.415",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
金庫費,301.150,300.830,150.390,-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区費滞納処分費,0.270,0.100,8.190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区費滞納処分費,0.270,0.100,8.190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本財産造成費,"13,929.180","6,088.130","6,031.383",-,0.000,196.200,-,37.901,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
普通財産造成費,"6,203.412","5,528.062","4,247.643",-,-,196.200,-,37.901,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ー,-,-
特有財産造成費,"7,725.768",560.068,"1,783.740",-,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
給水工事費,,,,,,,,,,,,,,"11,378.299","9,362.186","8,845.965","9,988.399","11,046.911","10,009.996","14,504.620","11,630.550","18,833.180","27,885.440","35,788.670","44,644.600","18,060.960"
工事費,,,,,,,,,,,,,,"11,378.299","9,362.186","8,845.965","9,988.399","11,046.911","10,009.996",14.504.620,"11,630.550",18.833.180,"27,885.440","35,788.670","44,644.600","18,060.960"
公会堂費,,,,,,,,,,,,,,,"4,205.101","2,471.559","2,474.539","2,733.274","2,407.705","1,866.680","1,948.950","2,124.900","1,913.060","2,237.540","2,412.610",838.430
公会堂費,,,,,,,,,,,,,,,"4,205.101","2,471.559","2,474.539","2,733.274","2,407.705","1,866.680","1,948.950","2,124.900","1,913.060","2,237.540","2,412.610",838.430
神社費,,,,,,,,,,,,10.000,10.000,24.000,34.000,158.300,41.000,122.000,114.000,96.000,96.000,96.000,390.000,204.500,222.000,52.820
神饌幣帛料（神社費）,,,,,,,,,,,,10.000,10.000,24.000,34.000,44.000,41.000,122.000,114.000,"96,000",96.000,96.000,96.000,204.500,222.000,52.820
制服調整費,,,,,,,,,,,,,,,,114.300,-,一,-,-,-,-,294.000,-,-,-
