,大正11.8-12.3,大　正　12,大　正　　13,大　　正　　14,昭　和　　６,昭　　和　　７,昭　　和　　８,昭　　和　　９,昭　　和　　元,昭　　和　　２,昭　　和　　３,昭　　和　　４,昭　　和　　５,昭　　和　　10,昭　　和　　11,昭　　和　　12,昭　　和　　13,昭　　和　　14
財産ョリ生ズル収入,"24,616.320","45,268.550","52,653.400","51,288.530","46,099.020","42,000.040","39,558.860","39,524.060",49.425.030,"63,317.980","56,950.830","52,559.070","50,699.280","33,112.280","35,079.560","34,356.410","31,519.27","30,861.65"
基本財産収入,"23,463.960","37,148.100","39,537.860","40,927.820","37,515.040","33,096.290","31,201.780","24,025.460","40,927.320","46,164.510","46,641.040","43,981.490","40,527.550","27,887.760","30,045.600","29,318.230","29,474.69","30,861.65"
貸地料,４●●,●●●,,●●●,●●舎,●●●,"26,975.740","21,376.770",,●●●,●●●,●●●,●●●,"22,438.410","24,715.340","26,131.070","27,638.00","28,352.55"
貸家料,,●●・,●●●,●●●,●●嗇,●●●,"3,365.250","1,800.000",●●●,,●●●,●●●,●●●,"4,536.000","4,536.000","2,334.960",936.00,1.074.00
公債利子,●■●,●●●,,●●●,●●●,●・●,190.000,190.000,●●●,●●●,●●●,●慘●,●●●,174.110,-,-,-,-
預貸付金利子,,●●●,,●●曾,●●●,●●●,670.790,658.690,呷ｆ●,,●●●,●●●,●●●,739.240,794.260,852.200,900.69,"1,435.10"
財産収入,"1,152､360","8,120.450","13,115.540","10,360.710","8,583.980","8,903.750","8,357.080","15,498.600","8,497.710","17,153.470","10,309.790","8,577.580","10,171.730","5,224.520","5,033.960","5,038.180","2,044.58",-
貸付金元利償還金,,,,,,,"8,357.080","15,498.600",,,,,,"5,224.520","5,033.960","5,038.180","2,044.58",-
財産売却代,"47,650.440","4,880.000",483.420,"21,409.210","143,046.360","99,002.900","106,143.530","132,345.810",0.000,"19,388.550","29,786.050","105,387.550","93,680.270","245,578.040","273,250.000","426,341.810","290,723.07","317,620.10"
土地売却代,"47,650.440","4,880.000",483.420,"21,409.210","142,621.360","99,002.900","106,143.530","132,345.810",-,"19,388.550","29,786.050","105,387.550","93,680.270","245,278.040","272,860.000","423,286.810","283,723.07","317,620.10"
建物売払代,,,,,425.000,-,-,-,,,,,,300.000,390.000,"3,055.000","7,000.00",-
使用料及手数料,"158,873.990","252,612.800","123,324.670","147,527.940","133,904.290","156,101.220","182,305.150","198,080.620","157,205.150","124,998.400","128,062.480","143,682.630","144,070.270","267,506.650","293,546.950","304,948.410","327,105.14","346,608.14"
使用料,"148,606.640","236,274.100","104,947.770","127,728.340","113,743.090","135,786.680","157,792.880","150,779.460","138,165.000","103,742.800","105,747.980","121,167.330","123,510.170","212,574.540","236,759.420","245,318.580","265,839.20","282,717.83"
手数料,"10,267.350","16,338.700","18,376.900","19,799.600","20,161.200","20,314.540","24,512.270","47,301.160","19,040.150","21,255.600","22,314.500","22,515.300","20,560.100","54,932.110","56,787.530","59,629.830","61,265.94","63,890.31"
雑収入,"88,541.690","220,471.140","150,741.300","139,753.140","143,944.370","163,930.430","148,379.780","1,300,313.820","112,210.820","224,640.290","265,819.380","248,146.420","237,223.560","150,599.450",178.780.275,"154,951.070","160,742.44","377,852.03"
繰替金戻入,"23,432.080","14,720,770","21,341.860","25,079.690","27,924.320","32,211.530","33,337.680","19,346.860","16,088.840",17.846.690,"13,438.070","53,513.410","85,974.640","15,191.600","37,411.850","34,009.530","33,143.59","34,903.37"
滞納処分戻入,73.800,106.800,48.700,146.000,-,-,-,-,20.700,9.200,12.000,-,-,-,-,-,-,-
雑入,"6,142.030","5,044.380","5,045.370","32,853.870","116,020.050","131,718.900","115,042.100","1,280,966.960","3,248.910","3,498.150","3,870.790","176,695.840","148,963.280","135,407.850",141.368.425,"120,941.540","127,598.85","342,948.66"
延滞金,574.670,"2,409.700",119.800,62.300,-,-,-,-,"4,690.260","5,863.490","9,545.330",-,-,-,-,-,-,-
歳計一時預金利子,"31,233.730","10,164.030","4,803.350","5,904.690",-,-,-,-,"7,601.730","7,632.190","22,775.670",-,-,-,-,-,-,-
