,大正　11.8-12.3,大　正　12,大　正　13,大　正　14,昭　和　元,昭　和　２,昭　和　３,昭　和　４,昭　和　５,昭　和　６,昭　和　７,昭　和　８,昭　和　９,昭　和　10,昭　和　11,昭　和　12,昭　和　13,昭　和　14
報償金,"21,006.930","23,585.980","25,940.750","26,036.830",47.968.140,"37,724.930","26,490.890","16,353.180","34,181.060","72,209.860","4,326.890","3,659.040","1,059.960","3,232.600","3,693.900","4,076.130","4,353.71","54,758.86"
報償金,"21,006.930","23,585.980","25,940.750","26,036.830",47.968.140,"37,724.930","26,490.890","16,353.180","34,181.060","72,209.860","4,326.890","3,659.040","1,059.960","3,232.600","3,693.900","4,076.130","4,353.71","54,758.86"
市税,"571,877.030","1,067,236.170","1,262,527.380","1,235,352.090","1,257,392.280","1,076,663.900","1,200,555.250","1,253,045.410","1,273,097.070","1,217,348.080","1,050,330.120","981,895.610","729,328.160","927,430.620","1,208,715.740","1,263,057.590","1,359,118.71","1,733,979.85"
地価割昭和7ｮﾘ地租付加税,"1,256.090","58,677.160","59,559.120","59,936.120","60,370.790","60,475.270","60,360.470","60,884.490","62,069.830","60,279.160","59,187.230","71,596.890","78,421.140","91,433.400","98,720.840","105,894.680","123,079.01","124,398.78"
特別地税付加割昭和7ｮﾘ付加税,,,,,17.940,14.110,3.530,3.270,6.200,6.060,3.740,4.960,4.980,5.260,5.260,5.260,4.60,169.14
営業収益税割昭和7ｮﾘ付加税,,,,,,"190,190.770","213,575.510","272,383.090","315,361.870","309,058.150","211,806.480","151,328.820","150,262.180",155.158.530,"239,674.080","227,580.270","284,828.26","469,798.49"
鉱業税付加税,,,,,,,,,,,,,,,,,883.72,"5,936.35"
家屋税付加割昭和7ｮﾘ付加税,,,,,,"174,558.600","237,224.360","238,541.390","227,986.390","228,648.410","206,789.510","229,039.840","148,611.910","209,128.240","261,968.130","264,793.440","291,545.93","335,156.16"
営業税付加割昭和7ｮﾘ付加税,"19,437.570","35,475.810","36,501.250","36,198.470","31,981.060","30,646.140","27,244.820","26,778.070","24,494.560","17,463.110","15,441.250","15,092.190",12.002.020,"22,574.670","19,205.560","18,019.990","17,620.45","26,644.42"
雑種税付加割昭和7ｮﾘ付加税,"96,512.820","191,234.790","226,419.680","256,928.470","220,554.990","126,661.430","157,072.400","143,631.960","146,488.940","113,879.140","120,442.220","100,732.470","108,760.470","151,452.800","166,139.740","192,395.320","167,374.08","156,984.40"
特別税戸数割,,,,,,"489,594.750","500,681.260","506,917.120","493,073.440","486,447.280","432,269.750","409,217.330","227,124.100","293,157.710","418,699.190","450,164.920","470,590.47","492,963.25"
都市計画特別税,,,,,,,,,,,,,,,,,,"118,347.59"
特別税建物割,"111,668.480","221,212.560","205,434.080","179,508.470","158,998.350",-,-,-,-,-,-,-,-,-,-,-,-,-
所得税割,"76,067.010","119,377.520","196,008.620","163,222.260","172,468.080",-,-,-,-,-,-,-,-,-,-,-,-,-
営業税割,"138,247.640","206,235.090","217,125.450","261,584.380","291,134.720",-,-,-,-,-,-,-,-,-,-,-,-,-
売薬営業税割,8.330,7.390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
戸数割付加割,"127,669.510","230,044.670","316,848.340","273,549.820","317,772.960",-,-,-,-,-,-,-,-,-,-,-,-,-
特別税観覧税,"l,009.580","4,971.180","4,630.840","4,424.100","4,093.390","4,522.830","4,392.900","3,906.020","3,615.840","1,566.770","1,278.530","1,690.050",892.200,"1,270.850","1,052.520","1,011.530",-,-
特別税軌道税,,,,,,,,,,,"3,111.410",3.193.060,"3,249.160","3,249.160","3,250.420","3,192.180","3,192.19","3,581.27"
市債,"892,000.000","1,381,400.000","276,000.000","385,500.000","981,900.000","1,109,600.000","2,287,600.000","728,700.000","866,300.000","1,147,400.000","570,000.000","4,745,700.000","1,460,000.000","4,076,500.000","340,000.000","737,300.000","246,300.00","65,400.00"
市債,"892,000.000","1,381,400.000","276,000.000","385,500.000","981,900.000","1,109,600.000","2,287,600.000","728,700.000","866,300.000","1,147,400.000","570,000.000","4,745.700.000","1,460,000.000","4,076,500.000","340,000.000","737,300.000","246,300.00","65,400.00"
寄付金,"122,266.000","32,110.920","41,098.560","33,595.370","99,294.390","19,830.000","45,550.000","26,103.600","35,720.000","10,534.000","71,368.140","185,594.420","137,140.000","12,625.000","3,700.000","72,531.890","5,407.83","199,151.45"
寄付金,"122,266.000","32,110.920","41,098.560","33,595.370","99,294.390","19,830.000","45,550.000","26,103.600","35,720.000","10,534.000","71,368.140","185,594.420","137,140.000","12,625.000","3,700.000","72,531.890","5,407.83","199,151.45"
国庫下渡金,"17,620.330","44,571.720","78,109.240","68,035.290","111,499.750","116,229.550","122,927.530","133,467.830","146,042.930","143,213.570","149,451.300","154,709.610","185,391.010","168,760.580","164,492.220","153,551.280","112,139.43","118,377.39"
義務教育下渡金,"17,620.330","44,571.720","78,109.240","68,035.290","111,499.750","116,229.550","122,927.530","132,367.830","144,455.760",142.105.420,"144,797.130","150,407.950","169,480.110",167.782.230,"164,308.920","153,551.280","111,956.13","118,102.44"
短期現役小学校教員俸給費,,,,,,,,"1,100,000","1,587.170","1,108.150",921.510,916.500,549.900,824.850,183.300,0.000,183.30,274.95
衆議院議員選挙公営交付金,,,,,,,,,,,,,,153.500,-,-,-,-
小学校費臨時国庫補助金,,,,,,,,,,,"3,732.660","3,385.160","15,361.000",-,-,-,-,-
御下賜金,,,,,,,,,,,,,,,500.000,-,-,-
御下賜金,,,,,,,,,,,,,,,500.000,-,-,一
繰越金,0.000,"532,605.175","334,561.965","172,290.440","229,495.015","483,137.315","110,920.855","446,666.635","507,279.405","297,595.375","614,286.825",-,-,"626,093.905","573,097.205",-,"525,414.41","120,504.81"
前年度繰越金,-,"532,605.175","334,561.965","172,290.440","229,495.015","483,137.315","110,920.855","446,666.635","507,279.405","297,595.375","614,286.825",-,-,626.093.905,"573,097.205",-,"525,414.41","120,504.81"
負担金,0.000,"34,483.710","44,325.950","32,305.810","18,868.070","17,628.590","23,189.630","19,003.180","16,690.240","9,186.150","11,296.490",-,-,-,-,-,-,-
市道改修負担金,-,"34,483.710","44,325.950","32,305.810","18,868.070","17,628.590","23,189.630","19,003.180","16,690.240","9,186.150","11,296.490",-,-,-,-,-,-,一
特別会計繰入金,0.000,0.000,0.000,"5,000.000","5,000.000","74,000.000","9,300.000","6,000.000","26,000.000","100,450.000",135.542.260,"14,900.000",-,-,-,"3,510.000","4,500.00","4,500.00"
特別会計函館病院費繰入金,,,,,,,,,"20,000.000","20,000.000","7,800.000",-,-,-,-,-,-,一
特別会計水道費繰入金,,,,,,,,,"5,000.000","7,250.000","7,500.000",0.000,-,-,-,"3,510.000","4,500.00","4,500.00"
特別会計教育基本財産繰金,,,,,,,,,,"20,000.000",-,-,-,-,-,-,-,-
特別会計社会事業資金繰入金,,,,"5,000,000","5,000.000","74,000.000","9,300.000","5,000.000",-,"51,000.000","78,042.260","13,900.000",-,-,-,-,-,-
特別会計賑恤救済資金繰入金,,,,,,,,"1,000.000","1,000.000","2,200.000","2,200.000","1,000.000",-,-,-,-,-,-
積立金穀繰入金,,,,,,,,,,,"40,000.000",-,-,-,-,-,-,-
区引継金,"829,405.415",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-
区引継金,"829,405.415",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区未収入金,"286,912.070",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区未収入金,"286,912.070",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一
臨時地方財政補給金,,,,,,,,,,,,,,,,,"56,821.00","103,126.00"
臨時地方財政補給金,,,,,,,,,,,,,,,,,"56,821.00","103,126.00"
次年度歳入繰上金,,,,,,,,,,,"160,284.845","682,466.115",-,,"85,978.040",-,-,-
次年度歳入繰上金,-,-,-,-,,,,,,,"160,284.845","682,466.115",-,,"85,978.040",-,-,-
合　計,"3,154,344.765","3,876,266.415","2,509,392.885","2,401,547.490","3,138,474.245","3,461,924.485","4,402,476.435","3,290,039.335","3,535,146.315","3,558,972.595","3,343,357.980","7,322,013.205","4,264,585.130","6,634,252.975","3,350,092.520","3,352,109.600","3,344,417.92","3,736,428.99"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
