歳　　入　　の　　部,昭　和　15,昭　和　16,昭　和　17,昭　和　18,昭　和　19,昭　和　20,昭　和　21
渉外費補助,,,,,,,
住宅改造費補助,,,,,,,
交付金,"61,799.04","50,997.71","64,506.66","77,035.00","76,545.72","91,076.75","8,514.02"
御料地二関スル交付金,10.00,10.00,10.00,10.00,-,-,-
国税徴収交付金,"54,665.73","41,911.48","54,006.39","66,460.00","75,595.72","83,460.75","2,398.02"
貯蓄奨励交付金,,"1,509.30","5,100.00","5,300.00",950.00,"1,500.00",0.00
海運局交付金,,,,,0.00,"6,116.00","6,116.00"
住宅調査費交付金,,"1,712.00",-,-,-,-,-
宅地制度調査交付金,,,,,,,
徴収奨励交付金,"4,210.00","2,940.00","2,350.00","2,350.00",-,-,-
臨時国勢調査交付金,,,,,,,
夏期調査交付金,,,,,,,
関税交付金,"2,913.31","2,914.93","2,898.77","2,915.00",-,-,-
選挙費交付金,,,,,,,
選挙公営費交付金,,,141.50,-,-,-,-
地方費支出金,,,,,,,
地方費補助,,,,,"34,730.32","212,387.33","770,874.05"
伝染病予防費補助,,,,,"9,952.00","18,086.00","330,109.17"
救民救護費補助,,,,,"5,772.18","4,066.63",-
産業統計費補助,,,,,"3,244.00",-,-
統計費補助,,,,,,,"12,456.00"
母子保護費補助,,,,,"3,991.64","4,049.35",-
生活保護費補助,,,,,,,"386,962.38"
引揚者宿泊所設置費補助,,,,,,,"18,000.00"
産業奨励費補助昭和19ｮﾘ振興費,,,,,995.00,"1,142.00",933.50
農地調整費補助,,,,,50.00,0.00,"20,000.00"
トラホーム予防費補助,,,,,118.35,76.00,0.00
疎開事業費補助,,,,,,"159,820.00",-
医療保護費補助,,,,,"7,464.15","13,897.35",-
妊産婦保護費補助,,,,,"2,363.00","0,00","2,413.00"
企業整備費補助,,,,,780.00,-,-
警防費補助,,,,,0.00,"11,250.00",-
農地委員会費補助,,,,,,,
作付調査費補助,,,,,,,
