,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和35,昭和36,昭和37,昭和38
市税,"271,404,623","376,457,936","341,589,161","428,416,834","634,228,350","699,711,544","750,592,733","789,353,638","831,700,877","980,031,516","1.101,687,214","1,239,648,460","1,366,020,961"
道税付加税,"145,906,823","229,046,867",-,-,-,-,-,-,-,-,-,-,-
地租付加税,"6,571,261","8,223,316",-,-,-,-,-,-,-,-,-,-,-
家屋税付加税,"13,109,175","13,354,880",-,-,-,-,-,-,-,-,-,-,-
事業税付加税,"35,083,758","53,659,034",-,-,-,-,-,-,-,-,-,-,-
特別所得税付加税,"1,346,835","3,211,385",-,-,-,-,-,-,-,-,-,-,-
入場税付加税,"49,211,616","66,892,661",-,-,-,-,-,-,-,-,-,-,-
酒消費税付加税,"7,167,564","19,424,694",-,-,-,-,-,-,-,-,-,-,-
電気ガス税付加税,"3,499,206","7,812,506",-,-,一,-,-,-,-,-,-,-,-
鉱区税付加税,"15,903","74,761",-,-,-,-,-,-,-,-,-,-,-
船舶税付加税,"1,923,701","1,378,175",-,-,-,-,-,-,-,-,-,-,-
自動車税付加税,"899,688","2,426,402",-,-,-,-,-,-,-,-,-,-,-
電話税付加税,"5,790,660","6,129,641",-,-,-,-,-,-,-,-,-,-,-
電柱税付加税,"230,388","245,472",-,-,-,-,-,-,-,-,-,-,-
不動産取得税付加税,"4,199,697","18,913,092",-,-,-,-,-,-,-,-,-,-,-
木材引取税付加税,"26,109","4,521",-,-,-,-,-,-,-,-,-,-,-
漁業権税付加税,48.826,"25,473",-,-,-,一,-,-,-,-,-,-,-
狩猟者税付加税,"64,300","93,600",-,-,-,-,-,-,-,-,-,-,-
遊興飲食税付加税,"13,924,112","23,855,215",-,-,-,-,一,-,-,~,-,-,-
入湯税付加税,"778,539","1,431,530",-,-,-,-,-,-,-,-,-,-,-
原動機税付加税,"13,320","12,745",-,-,-,-,-,-,-,-,-,-,-
家畜税付加税,"41,730","107,842",-,-,-,-,-,-,-,-,-,-,-
建物改修税付加税,"736,150","956,844",-,-,-,-,-,-,-,-,-,-,-
余裕住宅税付加税,"658,220","738,694",-,-,-,-,-,-,-,-,-,-,-
貸席利用税付加税,"524,421","74,384",-,-,-,-,-,-,-,-,-,-,-
