,昭和39,昭和40,昭和41,昭和42,昭和43,,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
市税,"1,547,847,970","1,756,957,658","1,943,594,155","2,291,774,804","2,526,441,473",市税,"2.779,338,601","3,238,584,173","3,790,956,544","4,360,096,057","5,618,405,724","8.057.238,812","8.876,300,456","10,792,309,683","12,668,705,015","14,089,571,744","15,680,744,571"
市民税,"550,468,921","676,641,810","764,694,515","927,404,766","999,345,635",市民税,"1.071,827,173","1,326,712,672","1,587,221,715","1,878,433,544","2,553,067,703","4,107,228,238","4,417,658,005","5,665,605,354","6,461,283,440","7,204,779,741","8,175,407,617"
個人,"379,283,644","485,151,844","547,279,271","678,115,485","726,970,508",個人,"754,990,388","920,602,969","1,156,993,620","1,412,377,734","1,819,662,883","2,754,670,378","3,256,121,045","4,243,135,091","4,884,903,155","5,648,628,996","6,433,192,542"
法人,"171,185,277","191,489,966","217,415,244","249,289,281","272,375,127",法人,"316,836,785","406,109,703","430,228,095","466,055,810","733,404,820","1,352,557,860","1,161,536,960","1,422,470,263","1,576,380,285","1,556,150,745","1,742,215,075"
固定資産税,"629,404,413","678,022,197","732,149,808","814,541,668","925,697,003",固定資産税,"1,013,078,335","1,135,268,969","1,316,599,030","1,499,236,914","1,880,869,460","2,389,672,910","2,804,847,880","3,221,532,856","3,533,691,062","3,831.534,180","4,296,904,850"
固定資産税,"562,629,513","604,688,907","652,659,878","725,128,378","826,731,563",固定資産税,"917,786,835","1,036,964,919","1,206,395,770","1,377,367,634","1.749,033,550","2,193,030,380","2,595,120,010","2,986,881,966","3,256,152,662","3,536,387,760","3,962,012,390"
国有資産等所在市町村交付金及び納付金,"66,774,900","73,333,290","79,489,930","89,413,290","98,965,440",国有資産等所在市町村交付金及び納付金,"95,291,500","98,304,050","110,203,260","121,869,280","131,835,910","196,642,530","209,727,870","234,650,890","277,538,400","295,146,420","334,892,460"
軽自動車税,"17,817,590","20,857,000","22,880,896","25,001,160","27,104,010",軽自動車税,"30,468,960","35,125,530","37,841,420","39,670,310","41,040,020","47,988,640","45,200,970","63,496,100","56,617,610","54,577,010","52,540,370"
軽自動車税,"17,817,590","20,857,000","22,880,896","25,001,160","27,104,010",軽自動車税,"30,468,960","35,125,530","37,841,420","39,670,310","41,040,020","47,988,640","45,200,970","63,496,100","56,617,610","54,577,010","52,540,370"
たばこ消費税,"191,459,230","210,753,980","233,358,120","305,042,010","326,040,620",たぼこ消費税,"389,834,580","422,563,020","460,620,190","513,646,050","586,718,610","711,479,050","774,633,990","768,537,820","1,173,554,870","1,188,482,380","1,238,186,120"
たばこ消費税,"191,459,230","210,753,980","233,358,120","305,042,010","326,040,620",たばこ消費税,"389,834,580","422,563,020","460,620,190","513,646,050","586,718,610","711,479,050","774,633,990","768,537,820","1,173,554,870","1,188,482,380","1,238,186,120"
電気ガス税　昭和49ﾖﾘ電気税,"99,789,693","105,687,179","115,308,569","128,475,863","140,957,973",電気ガス税　昭和49ﾖﾘ電気税,"157,511,265","169,638,837","185,807,039","200,704,861","219,368,580","252,680,918","243,034,802","316,223,170","363,393,085","390,833,525","417,266,415"
電気ガス税　昭和49ﾖﾘ電気税,"99,789,693","105,687,179","115,308,569","128,475,863","140,957,973",電気ガス税　昭和49ｮﾘ電気税,"157,511,265","169,638,837","185,807,039","200,704,861","219,368,580","252,680,918","243,034,802","316,223,170","363,393,085","390,833,525","417,266,415"
ガス税,,,,,,ガス税,,,,,,"29,036,248","28,633.578","25,503,583","21,203,628","20,262,709","19,443,961"
ガス税,,,,,,ガス税,,,,,,"29,036.248","28,633,578","25,503,583","21,203,628","20,262,709","19,443,961"
鉱産税,０,０,０,０,０,鉱産税,０,０,０,０,０,０,０,０,０,０,０
鉱産税,０,０,０,０,０,鉱産税,０,０,０,０,０,０,０,０,０,０,０
木材引取税,"351,064","203,785","151,739","121,918","176,260",木材引取税,"138,375","129,948","124,714","118,389","217,961","215,730","354,755","265,572","597,311","1,148,998","1,097,210"
木材引取税,"351,064","203,785","151,739","121,918","176,260",木材引取税,"138,375","129,948","124,714","118,389","217,961","215,730","354,755","265,572","597,311","1,148,998","1,097,210"
特別土地保有税,,,,,,特別土地保有税,,,,,"16,523.740","125,155,264","131,470,990","137,378,724","139,502,888","109,535,934","120,850.592"
特別土地保有税,,,,,,特別土地保有税,,,,,"16,523,740","125,155,264","131,470,990","137,378,724","139,502,888","109,535,934","120,850,592"
入湯税,"7,952,620","8,789,920","8,696,450","9,458,480","9.989,680",入湯税,"10,522,210","10.917,160","17,843,160","22,744,780","24,533,540","24.973,320","34,004,210","54,033,250","50,840,020","68,788,800","69,669,710"
入湯税,"7,952,620","8,789,920","8,696,450","9,458,480","9,989,680",入湯税,"10,522,210","10,917,160","17,843,160","22,744,780","24,533,540","24,973,320","34,004,210","54,033,250","50,840,020","68,788,800","69,669,710"
事業所税,,,,,,事業所税,,,,,,,,"85,135,337","361,703,599","414,678,180","361,167,609"
事業所税,,,,,,事業所税,,,,,,,,"85,135,337","361,703,599","414,678.180","361,167,609"
都市計画税,"50,589,093","55,991,309","66,350,558","81,728,939","97,130,292",都市計画税,"105,957,703","138,228,037","184,899,276","205,541,209","296,066,110","368,808,494","396,461,276","454,597,917","506,317,502","804,950,287","928,210,117"
都市計画税,"50,589,093","55,991,309","66,350,558","81,728,939","97,130,292",都市計画税,"105,957,703","138,228,037","184,899,276","205,541,209","296,066,110","368,808,494","396,461,276","454,597,917","506,317,502","804,950,287","928,210,117"
旧法による税収入,"15,346","10,478","3,500",-,-,旧法による税収入,-,-,-,-,-,-,-,-,-,-,-
旧法による税収入,"15,346","10,478","3,500",-,-,|日法による税収入,-,-,-,-,-,-,-,-,-,-,-
地方譲与税,"15,052,755","13,797,383","12,323,139","16,417,417","10,776,444",地方譲与税,"19,653,111","17,913,333","26,226,000","90,435,949","130,218,150","217,185,549","231,633,949","374,383,350","402,992,799","423,882,250","670,078,250"
自動車重量譲与税,,,,,,自動車重量譲与税,,,"13,571,000","63,273,000","79,891,000","147,738,000","161,020,000","224,768,000","236,743,000","238,827,000","292,361,000"
自動車重量譲与税,,,,,,自動車重量譲与税,,,"13,571,000","63,273,000","79,891,000","147,738,000","161,020,000","224,768,000","236,743,000","238,827,000","292,361,000"
特別とん譲与税,"15,052,755","13,797,383","12,323,139","16,417,417","10,776,444",特別とん譲与税,"19,653,111","17,913,333","12,655,000","16,645,949","19,833,150","22,459,549","16,714,949","12,135,350","16,410,799","15,306,250","12,074,250"
特別とん譲与税,"15,052,755","13,797,383","12,323,139","16,417,417","1(〕,776,444",特別とん譲与税,"19,653,111","17,913,333","12,655,000","16,645,949","19,833,150","22,459,549","16,714,949","12,135,350","16,410,799","15,306,250","12,074,250"
航空機燃料譲与税,,,,,,航空機燃料譲与税,,,,"10,517,000","30,494,000","46,988,000","53,899,000","52,480,000","59,057,000","67,791,000","182,397,000"
航空機燃料譲与税,,,,,,航空機燃料譲与税,,,,"10,517,000","30,494,000","46,988,000","53,899,000","52,480,000","59,057,000","67,791,000","182,397,000"
地方道路譲与税,,,,,,地方道路譲与税,,,,,,,,"85,000,000","90,782,000","101,958,000","183,246,000"
地方道路譲与税,,,,,,地方道路譲与税,,,,,,,,"85,000,000","90,782,000","101,958,000","183,246,000"
娯楽施設利用税交付金,,,"576,400","733,900","746,500",娯楽施設利用税交付金,"812,150","834,000","1,575,550","2491,000","6,761,150","14,093,850","20,422,550","23,364,525","25,553,150","28,477,350","29,075,250"
娯楽施設利用税交付金,,,"576,400","733,900","746,500",娯楽施設利用税交付金,"812,150","834,000","1,575,550","2,191,000","6,761,150","14,093,850","20,422,550","23,364,525","25,553,150","28,477,350","29,075,250"
娯楽施設利用税交付金,,,"576,400","733,900","746,500",娯楽施設利用税交付金,"812,150","834,000","1,575,550","2,191,000","6,761,150","14,093,850","20,422,550","23,364,525","25,553,150","28,477,350","29,075,250"
自動車取得税交付金,,,,,"27,756,000",自動車取得税交付金,"50,817,000","50,914,000","46,291,000","60,959,000","87,620,000","141,712,000","171,167,000","190,543,000","200,520,000","234,924,000","281,254,000"
自動車取得税交付金,,,,,"27,756,000",自動車取得税交付金,"50,817,000","50,914,000","46,291,000","60,959,000","87,620,000","141,712,000","171,167,000","190,543,000","200,520,000","234,924,000","281,254,000"
自動車取得税交付金,,,,,"27,756,000",自動車取得税交付金,"50,817,000","50,914,000","46,291,000","60,959,000","87,620,000","141,712,000","171,167,000","190,543,000","200,520,000","234,924,000","281,254,000"
臨時地方財政交付金　昭和41は特例交付金,,,"61,917,000","1,955,000",-,臨時地方財政交付金　昭和41は特例交付金,-,-,-,-,-,-,-,-,-,-,-
臨時地方財政交付金　昭和41は特例交付金,,,"61,917,000","1,955,000",-,臨時地方財政交付金　昭和41は特例交付金,-,-,-,-,-,-,-,-,-,一,-
臨時地方財政交付金　昭和41は特例交付金,,,"61,917,000","1,955,000",-,臨時地方財政交付金　昭和41は特例交付金,-,-,-,-,-,-,-,-,-,-,-
国有提供施設等所在市町村助成交付金,"314,000","318,000","418,000","639,000","706,000",国有提供施設等所在市町村助成交付金,"928,000","1,173,000","1,735,000","2,343.000","3,236,000","4,886,000","6,035,000","7,773,000","10,686,000","12,747,000","14,761,000"
