,大1 11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12
修繕費,,,,,,,,"1,729.010",892.690,686.600,894.310,270.440,577.310,138.200,146.470,149.990
赤川診療所費,,,,,,,,,,,,,,,,259.510
療養所費（柏野療養所）,,,"4,347.760","39,849.570","43,745.950","42,455.260","42,933.650","42,333.070","40,569.360","34,425.730","33,376.630","32,703.360","42,482.110","35,438.050","39,881.690","40,978.320"
給料,,,,,,,,"16,510.050","13,140.000",12.762.000,"13,167.830","13,161.830","13,056.000","13,056.000","13,425.770","13,116.550"
雑給,,,,,,,,"6,147.920","10,022.330","9,302.130","9,043.230","8,374.420","8,440.850","7,609.140","8,292.950","7,828.190"
需用費,,,,,,,,"19,098.230","16,994.780","12,046.630","10,869.420","10,857.650","20,888.460","14,332.240","15,636.730","18,849.980"
修繕費,,,,,,,,576.870,412.250,314.970,296.150,309.460,96.800,440.670,"2,526.240","1,183.600"
汚物掃除費　昭和９ﾖﾘ昭和14ﾏﾃﾞ清掃費,"54,697.090","82,254.940","81,119.700","84,145.180","80,938.320","82,491.060","86,721.100","72,570.880","74,890.670","77,700.880","74,995.660","78,498.780","89,656.100","102,175.910","106,885.190","115,851.610"
給料,,,,,,,,99.000,-,一,-,-,"5,573.230","5,589.440","5,531.820","5,661.200"
雑給,"9,996.780","14,823.370","13,981.640","14,666.800","14,856.720","16,766.440","18,135.610","70,546.290","72,724.960","75,379.760","71,401.430","74,823.220","79,314.030","85,280.000",92.033.840,"102,520.960"
需用費,445.340,1.474.410,1.308.490,"13,184.070","4,053.480","3,796.390",3.768.070,"1,151.150",986.860,"1,136.310","1,145.920","1,550.810","1,702.050","3,808.440","1,684.720",1.497.900
汚物運搬費,"43,793.280","65,480.280","65,505.250",55.923.310,"61,681.050","61,630.970",64.117.820,-,-,-,-,-,-,-,-,-
修繕費,461.690,476.880,324.320,371.000,347.070,297.260,699.600,-,-,-,-,-,-,-,-,-
諸費,,,,,,,,774.440,"1,178.850","1,184.810","2,448.310","2,124.750","3,066.790","7,498.030","7,634.810","6,171.550"
屠場費,,,,,,,,,,,,,,,"2,696.130","3,270.520"
給料,,,,,,,,,,,,,,,550.000,600.000
雑給,,,,,,,,,,,,,,,"1,245.050","1,728.950"
