,大正11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和10,昭和11,昭和12,昭和13,昭和14
警備費,67.774.050,"119,557.640","125,173.220","129,056.790","137,773.960","137,037.950","139,658.040","137,586.080","137,062.250","134,225.710","139,689.880","128,841.510","141,186.490","144,667.740","155,354.61","171,689.72"
火防費,"67,774.050","119,557.640","125,173.220","129,056.790","137,773.960","137,037.950","139,658.040",-,-,-,-,-,-,-,-,-
給料,,,,,,,,,,"92,182.500","91,722.600","93,381.720",93.883.570,"96,544.370","97,153.85","106,051.25"
雑給,,,,,,,,"111,125.940","111,535.570","18,250.100","19,315.300","15,800.010","23,366.370","22,271.710","36,489.45","40,191.52"
需用費,,,,,,,,"21,637.490","19,937.400","18,308.710","23,023.280","17,126.560","18,682.000","23,267.150","18,987.99","21,882.00"
修繕費,,,,,,,,"4,822.650","5,589.280","5,484.400","5,628.700","2,533.220","5,254.550","2,584.510","2,723.32","3,564.95"
財産管理費,,"29,568.860","32,346.010","23,766.000","20,370.660","21,453.710","21,139.390",20766.740,"19,233.320","16,715.340","16,166.810","25,999.030","29,461.090","24,245.130","24,360.17","24,748.80"
管理費,,"29,568.860","32,346.010",23.766.000,"20,370.660","21,453.710","21,139.390","20,766.740","19,233.320","16,715.340","16,166.810","25,999.030","29,461.090","24,245.130","24,360.17","24,748.80"
諸　税,"4,069.390","31,304.600","4,829.220","5,041.770","4,938.530","5,162.420","5,178.710","5,050.930","4,824.930","3,993.350","4,589.180","5,537.050","6,253.190","6,223.330","4,856.33","5,566.87"
諸　税,"4,069.390","5,872.600","4,829.220","5,041.770","4,938.530","5,162.420","5,178.710","5,050.930","4,824.930","3,993.350",4.589.180,"5,537.050","6,253.190","6,223.330","4,856.33","5,566.87"
負担金,,"25,432.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-
神社費,272.000,313.460,383.940,387.020,256.950,200.810,441.540,276.770,329.140,262.700,307.110,253.710,858.650,"2,165.140","1,861.57","2,764.64"
供進費,272.000,313.460,383.940,387.020,256.950,200.810,441.540,-,-,-,-,-,460.000,460.000,460.00,950.00
神饌幣帛料,,,,,,,,90.000,90.000,90.000,90.000,90.000,90.000,90.000,90.00,176.00
祭典費,,,,,,,,,,,,,,"1,535.470","1,188.64","1,500.21"
需用費,,,,,,,,186.770,239.140,172､700,217.110,163.710,308.650,79.670,122.93,138.43
勧業費　　昭和９ｮﾘ産業費,"2,302.120","7,357.480","7,079.340","6,858.400","7,999.160","9,148.020","5,338.790","6,104.080","5,359.570","4,788.160","4,718.980","7,754.300","11,567.220","16,653.450","24,105.92","30,338.12"
水産陳列場費,"1,703.390","2,944.100","2,181.270","2,051.370","2,312.940","2,392.710","2,077.970","1,975.050","2,329.360","1,838.900","1,663.160","1,361.810","1,395.750","1,544.340","1,597.34","1,783.06"
産業奨励費　　昭和10ｮﾘ指導費,,,,,,,,"1,833.730","1,792.810","1,712.600","1,655.000","1,860.250","1,876.210","1,901.820","1,920.61","2,035.35"
産業助成費,,,,,,,,,,,,"3,346.700","6,994.330","11,935.360","6,256.93",5.562.09
時局産業費,,,,,,,,,,,,,,,,"3,059.82"
牛馬検査費,,,,,,,,124.960,121.200,88.900,100.700,61.240,48.990,93.690,215.27,"1,409.92"
家畜伝染病予防費,,,,,,,,,,66.600,99.700,40.000,36.000,36.000,50.00,383.40
勧業諸費,598.730,"4,413.380","4,898.070","4,807,030","4,398.900","5,535.440","2,016.910",-,-,-,-,-,-,一,"12,891.85","14,596.40"
度量衡取締費,,,,,"1,287.320","1,219.870","1,243.910","2,170.340","1,116.200","1,081.160","1,200.420","1,084.300","1,215.940","1,142.240","1,173.92","1,229.28"
