歳　　出　　臨　　時　　部,大正11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12
新営費　昭和４ｮﾘ営繕費,12.324.150,"234,624.680","289,932.760","149,921.050","146,935.430","90,981.550","5,856.000","1,350.390",-,-,-,-,-,-,-,-
新営費　昭和４ｮﾘ建築費,,"234,624.680","289,932.760","149,921.050",146.935.430,"90,981.550","5,856.000",1.350.390,-,-,-,-,-,-,ー,-
小学校舎増築費,"6,488.960",-,-,-,-,-,-,-,-,-,-,-,-,一,-,-
市街便所新築費,"1,300.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
伝染病院増築費,700.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
療養所新築費,8.200,-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-
火防設備費,"3,826.990",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行幸記念事業費,,,,,,,,,,,,,,,35.350,"5,750.300"
市民運動場築造費,,,,,,,,,,,,,,,35.350,"5,140.800"
記念碑建設費,,,,,,,,,,,,,,,,609.500
土木費,"118,482.780","100,231.220","172,868.540","131,985.960","87,417.150","53,915.190","25,847.990","37,981.460","36,627.780","28,138.970","21,138.380",0.000,-,-,-,一
事務費,"2,296.640","3,696.070","4,495.850","1,990.000",800.000,176.000,0.000,0.000,0.000,0.000,-,-,-,-,-,-
道路橋梁費,,,,,,,,"37,981.460","30,428.760","24,666.790",21.138.380,-,-,-,-,-
中ノ橋改修費,,,,,,,,,,,,,,,,
道路橋梁堤防復旧費,,,,,,,,,,,,,,,,
補償費,,,,,,,,,,"3,472.180",0.000,-,-,-,-,-
冬季失業救済土木工事費,,,,,,,,,"6,199.020",-,-,-,-,-,-,-
事業費,"116,186.140","96,535.150","168,372.690","129,995.960","86,617.150","53,739.190","25,847.990",-,-,-,-,-,-,-,-,-
衛生費,,,,,,,,,,"50,985.240","11,268.560",241.140,-,-,-,-
塵芥焼却爐改造費,,,,,,,,,,"2,926.860",-,-,-,-,-,-
塵芥焼却爐建設費,,,,,,,,,,"47,588.380",-,-,-,-,-,-
柏野療養所拡張費,,,,,,,,,,,"10,809.360",-,-,-,-,-
公衆便所建設費,,,,,,,,,,470.000,459.200,241.140,-,-,-,-
公園費,,,,,,,,,"5,008.200","1,418.540",70.080,-,-,-,-,-
公園費,,,,,,,,,"5,008.200","1,418.540",70.080,-,-,-,-,-
動物檻新設費,,,,,,,,,,,,,,,,
水道費,"2,44(〕.000","2,637.500",-,-,-,-,-,-,-,-,-,-,-,-,-,-
量水器購入費,"2,440.000","2,637,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-
勧業諸費,,,,,,,,"2,986.410","4,714.640","4,306.020","5,558.030","5,508.090","1,220.000",-,-,-
奨励費,,,,,,,,"2,805.460","4,713.890","4,281.430",5.534.070,"5,505.690","1,220.000",-,-,-
度量衡一種取締費,,,,,,,,130.950,-,-,-,-,-,-,-,-
ｊ－トル法宣伝費,,,,,,,,50.000,0.750,24.590,23.960,2.400,0.000,-,-,-
積立金,,,,,,,,"10,000.000","10,000,000","10,000.000","10,000,000",-,-,-,-,-
市役所積立金,,,,,,,,"10,000.000","10,000.000","10,000,000","10,000.000",-,-,-,-,-
分担金,,,,,,,,,,,,,,,,
官立商船学校設置期成会費分担金,,,,,,,,,,,,,,,,
消防庁舎改築費分担金,,,,,,,,,,,,,,,,
奨励費,,,,,,,,,,,,,,,"6,434.950",6.495.940
納税奨励費,,,,,,,,"4,141.830","5,138.940","4,495.700","4,273.340","3,814.230","2,145.100","2,627.640","2,624.950","3,644.530"
納税奨励費,,,,,,,,"4,141.830","5,138.940","4,495.700","4,273.340","3,814.230","2,145.100","2,627.640",-,-
火防奨励費,,,,,,,,,,,,,,,"3,810.000",2.851.410
公債費,"938,292.670","942,831.690","494,080.870","382,424.550","368,763.070","1,068,275.850","1,372,943.550","407,875.920","573,235.240","701,903.980","1,414,427.880","5,388,953.560","721,768.850","3,197,648.650","842,199.930","749,041.590"
償還元利　　昭和４ｮﾘ償還金,"938,292.670","942,831.690","494,080.870","378,736.710","367,656.900","1,056,729.660","1,357,529.330","153,625.570","308,971.740","412,452.770","1,106,459.910","5,097,041.870","496,429.560","2,945,604.660","557,289.710",470.383.690
利子,,,,,,,,"253,274.240","263,171.180","288,414.100","306,673.280","267,159.100","224,224.860","242,225.650","283,235.520","277,502.310"
手数料,,,,"3,687.840","1,106.170","11,061.430","14,148.130",-,-,-,-,-,-,-,-,-
雑費　　昭和８ｮﾘ諸費,,,,,,484.760,"1,266.090",976.110,"1,092.320","1,037.110","1,294.690","24,752.590","1,114.430","9,818.340","1,674.700","1,155.590"
積戻金,,,,,,,,"12,836.300","12,296.000","12,895.040","5,742.400","5,806.890",-,-,-,-
積戻金,,,,,,,,"12,836.300","12,296.000","12,895.040","5,742.400","5,806.890",-,-,-,-
訴訟費,,,,,,,,,0.000,39.660,0.000,"53,793.100","1,500.000","2,060.000",100.000,"1,500.000"
訴訟費,,,,,,,,,0.000,39.660,0.000,"53,793.100","1,500.000","2,060.000",100.000,"1,500.000"
補助費,"2,844.000","7,850.000","9,000.000","9,499.920","25,499.920","25,383.320","28,850.0〔)0","27,200.000","20,900.000","28,400.000","25,200.000","20,400.000","9,400.000","8,200.000",11.550.000,"14,055.000"
補助費,-,"7,850.000","9,000.000","9,499.920","25,499.920","25,383.320","28,850.000",-,-,-,-,-,-,-,-,-
教育補助費,"2,544.000",-,-,-,-,-,-,"6,400.000","6,400.000","6,400.000","7,100.000","6,300.000","3,150.000","3,050.000","3,200.000","5,000.000"
衛生費補助,,,,,,,,700.000,700.000,700.000,700.000,700.000,350.000,350.000,350.000,600.000
勧業費補助,,,,,,,,"2,000.000",-,-,-,-,-,-,-,-
地方改良費補助,,,,,,,,300.000,300.000,300.000,300.000,300.000,150.000,150.000,150.000,150.000
社会事業費補助,,,,,,,,"2,000.000","1,700.000","1,700.000","1,800.000","3,800.000","1,100.000",-,-,-
航路費補助,,,,,,,,"11,500.000","9,500.000","15,000.000","13,000.000","7,000.000","3,500.000","3,500.000","3,500.000","3,375.000"
火災予防費補助　昭和15ｮﾘ組合連合会,,,,,,,,"3,000.000","1,000.000","1,000.000","1,000.000","I,000.000",500.000,500.000,500.000,"1,000.000"
在郷軍人連合分会費補助,,,,,,,,"1,300.000","1,300.000","1,300.000","1,300.000","1,300.000",650.000,650.000,650.000,"1,300.000"
函館市防護団演習費補助,,,,,,,,,,,,,,,"3,200.000","2,630.000"
湯倉神社社殿造営費補助,,,,,,,,,,,,,,,,
展覧会費補助,,,,,,,,,,"2,000.000",-,-,-,-,-,-
感化救済事業補助費,300.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
市民懇和会費,,,,"1,986.160",952.130,113.150,0.000,0.000,0.000,0.000,0.000,-,-,-,-,-
市民懇和会費,,,,"1,986.160",952.130,113.150,0.000,0.000,0.000,0.000,0.000,-,-,-,-,-
共進会費,,,,"4,000.000",-,-,-,-,-,一,0.000,-,-,-,-,-
共進会費,,,,"4,000.000",-,-,-,-,-,-,-,-,-,-,-,-
体育奨励費,,,,498.000,948.650,-,-,-,-,-,0.000,-,-,-,-,-
体育奨励費,,,,498.000,948.650,-,-,-,-,-,0.000,-,-,-,-,-
調査費,284.380,"3,754.230","23,063.010","32,411.280","15,781.590","16,406.130","3,862.390","17,567.320",14.167.540,9.767.980,"6,072.400","11,190.200",-,"4,941.570",-,-
調査費,,,"23,063.010","32,411.280","15,781.590","16,406.130","3,862.390",-,-,-,-,-,-,-,-,-
市営事業調査費,,,,,,,,250.000,"9,238.470","6,472.460","6,053.200","7,396.200",-,一,-,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
