歳　　出　　臨　　時　　部,XE11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和10,昭和11,昭和12,昭和13,昭和14
財政調査費,,,,,,,,0.000,0.000,0.000,19.200,,-,-,-,
国勢調査費,,,,,,,,,"4,929.070",-,-,"2,855.420",-,-,-,"3,448.38"
家屋賃貸価格調査費,,,,,,,,"16,682.850",-,-,-,"2,086.150",-,-,-,-
臨時建物調査費,,,,,,,,,,,,,,,,"4,788.31"
耕地調査費,,,,,,,,634.470,-,-,-,-,-,-,-,-
財源調査費,0.000,30.640,-,-,-,-,-,-,-,-,-,-,-,-,-,-
市政調査費,0.000,17.220,-,-,-,-,-,-,-,-,-,-,-,-,-,-
町名地番改正調査費,,,,,,,,,,"3,295.520",-,-,-,-,-,-
屎尿処分調査費,239.380,"1,560.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-
塵芥処分調査費,45.000,"2,146.370",一,-,-,-,-,-,-,-,-,-,-,-,-,-
図書館建築費本年度支出額,,,,,"45,524.310","34,582.740",0.000,0.000,-,-,0.000,-,-,-,-,-
図書館建築費本年度支出額,,,,,"45,524.310","34,582.740",0.000,"0,000",一,-,-,-,-,-,-,-
小学校校舎増設及改築費本年度度支出額,,,,,"383,254.930","537,586.310","271,872.120",-,-,-,0.000,-,-,-,-,-
小学校校舎増設及改築費本年度度支出額,,,,,"383,254.930","537,586.310","271,872.120",-,-,-,-,-,-,-,-,-
小学校費,,,,,,,,"125,593.470","44,337.660","19,939.160","168,878.470","170,522.930","5,072.770","230,203.210","334,699.53","69,655.64"
小学校校舎増築費,,,,,,,,"125,593.470","44,337.660","19,939.160",-,"170,522.930","5,072.770",686.810,-,"2,523.70"
小学校新築並増改築費,,,,,,,,,,,"168,878.470",-,-,"229,516.400","293,250.00",-
小学校校舎復旧費,,,,,,,,,,,,,,,150.00,-
小学校校舎修繕費,,,,,,,,,,,,,,,"35,299.55","27,853.59"
小学校校地保護設備費,,,,,,,,,,,,,,,"5,999.98","1,000.00"
小学校付属舎改築費,,,,,,,,,,,,,,,,"6,190.00"
小学校校舎付属建物買収費,,,,,,,,,,,,,,,,135.00
小学校校舎建設費,,,,,,,,,,,,,,,,"31,953.35"
中学校仮校舎修繕並設備費,,,,,,,,,,,,,,,,"46,217.88"
中学校仮校舎修繕費,,,,,,,,,,,,,,,,"31,563.52"
中学校設備費,,,,,,,,,,,,,,,,"14,654.36"
港湾費,,,,,"106,846.440","45,898.820","103,954.650","19,340.390","7,396.420","7,009.610",-,-,-,-,-,-
調査費,,,,,"27,678.330","18,199.990","4,896.390","2,271.030","1,515.370","1,997.350",-,-,-,-,-,-
事業費,,,,,"79,168.110","27,698.830","6,226.880","17,069.360","5,881.050","5,012.260",-,-,-,-,-,-
改良費,,,,,,-,"92,831.380",-,-,-,-,-,-,-,-,-
都市計画調査費本年度支出額,"2,552.720","4,364.690",-,-,-,-,-,-,-,-,-,-,-,-,-,-
都市計画調査費本年度支出額,"2,552.720","4,364.690",-,-,-,-,-,-,-,-,-,-,-,-,-,-
防災家屋建築費補助本年度支出額,"66,184.000","11,816.000","3,649.920",150.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,-,-,-
防災家屋建築費補助本年度支出額,"66,184.000","11,816.000","3,649.920",150.000,0.000,0.000,0.000,0.000,0.000,"0,000",0.000,-,-,-,-,-
防災家屋建築費貸付金本年度支出額,"63,152.000",12.258.000,"5,409,000",150.000,0.000,0.000,0.000,0.000,0.000,"0,000",0.000,-,-,-,-,-
防災家屋建築費貸付金本年度支出額,"63,152.000","12,258.000","5,409.000",150.000,0.000,0.000,0.000,0.000,0.000,"0,000",0.000,-,-,-,-,-
高等水産建設費寄付金本年度支出額,,,,,,,,,"19,695.560",-,-,-,-,-,-,-
高等水産建設費寄付金本年度支出額,,,,,,,,,"19,695.560",-,-,-,-,-,-,-
高等水産建設費本年度支出額,,,,,,,,,,0.000,"14,755.890","4,728.330",0.000,-,-,-
高等水産建設費付属研究室費,,,,,,,,,,0.000,0.000,-,-,-,-,-
高等水産建設費整地費,,,,,,,,,,0.000,"14,755.890","4,728.330",0.000,一,-,-
水産試験場函館支場建設費,,,,,,,,,"11,811.040",426.460,0.000,"4,989.010",-,-,-,-
水産試験場函館支場建設費,,,,,,,,,"11,811.040",426.460,0.000,"4,989.010",-,-,-,-
東川町及旭町地先海岸災害予防護岸工事費本年度支出額,,,,,,,,,"87,550.470","182,395.890","52,598.980",-,-,-,一,-
東川町及旭町地先海岸災害予防護岸工事費,,,,,,,,,"87,550.470","182,395.890","52,598.980",-,-,-,-,-
土木事務所長官舎建築費,,,,,,,,,0.000,0.000,"4,686.000",-,-,-,-,-
土木事務所長官舎建築費,,,,,,,,,0.000,0.000,"4,686.000",-,-,-,-,-
工業学校費,,,,,,,,,898.430,-,-,-,-,-,-,-
工業学校費,,,,,,,,,898.430,-,-,-,-,-,-,-
失業救済事業費,,,,,,,,,,,"148,304.790",-,-,-,-,-
失業救済市道改良費,,,,,,,,,,,"140,756.380",-,-,-,-,-
失業救済排水渠改修費,,,,,,,,,,,,-,-,-,-,-
失業救済道路橋梁下水修繕費,,,,,,,,,,,,-,-,-,-,-
設計監督費,,,,,,,,,,,,-,-,-,-,-
失業救済高等水産学校敷地地均費,,,,,,,,,,,"7,548.410",-,-,-,-,-
特別会計水道拡張費へ繰入金,"427,858.000","557,125.000",-,-,"25,244.000",-,-,-,-,-,-,-,-,-,-,-
特別会計水道拡張費へ繰入金,"427,858.000","557,125.000",-,-,"25,244.000",-,-,-,-,-,-,-,-,-,-,-
住宅組合貸付資金,"40,000.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
住宅組合貸付資金,"40, OC〕0.000",-,-,-,-,-,-,-,一,-,-,-,-,-,-,-
木材購入費,"171,005.780",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
木材購入費,"171,005.780",-,-,-,-,-,-,-,-,-,-,ー,-,-,-,-
慈善事業資金,"2,809.230",-,-,ー,一,-,-,-,-,-,-,-,-,-,-,-
