歳　　出　　臨　　時　　部,人正11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12
函館港修築費本年度支出額,,,,,,,"5(〕5,612.740","564,252.350","828,039.680","362,541.440",-,-,-,-,-,-
函館港修築費,,,,,,,,,,,"11,454.340","1,156.140",-,-,-,-
函館港修築費,,,,,,,,,,,"11,454.340","1,156.140",-,-,-,-
港湾事務所建設費,,,,,,,,,,,,"2,999.010",-,-,-,-
港湾事務所建設費,,,,,,,,,,,,"2,999.010",-,-,-,-
工業学校敷地費,,,,,,,"12,830.000",-,-,-,-,-,-,-,-,-
工業学校敷地費,,,,,,,"12,830.000",-,-,-,-,-,-,-,-,-
不動産買収費S4ｮﾘ財産買入費,,"175,257.800",-,"20,689.040",-,"3,806.610","36,648.000","50,669.330",0.000,"53,376.370","3,643.540","35,000.000",-,ー,-,0.000
不動産買収費,,,,"20,689.040",-,"3,806.610","36,648.000",-,-,-,-,-,-,-,-,-
土地買収費,,"110,257.800",-,-,-,-,-,"50,669.330",0.000,"53,376.370","3,393.540","35,000.000",-,-,-,0.000
土地建物買収費,,"65,000.000",-,-,-,-,-,-,-,-,250.000,-,-,-,-,-
土地建物買収費本年度支出額,,,,,,,,,"58,000.000","16,670.000","16,666.000","16,666.000","16,666.000","16,666.000","16,666.000",-
土地建物買収費本年度支出額,,,,,,,,,"58,000,000","16,670.000",16.666.000,"16,666.000","16,666.000","16,666.000","16,666.000",ー
営物建築復旧費本年度支出額,,,,,,,,,,,,,39.680.340,"1,176.764.700","751,397.020","1∠14,996.340"
小学校建築費,,,,,,,,,,,,,239.490,"1,081,888.170","751,397.020","144,996.340"
消防設備復旧費,,,,,,,,,,,,,0.000,"89,992.260",-,-
庁舎内備品簿冊等復旧費,,,,,,,,,,,,,"39,440.850","4,884.270",-,-
公営物復旧費,,,,,,,,,,,,,"469,533.350","5,787.160",-,-
小学校修繕費,,,,,,,,,,,,,"400,466.320","5,787.160",-,-
市民館修繕費,,,,,,,,,,,,,"37,420.010",-,-,-
市長公舎補強及修繕費,,,,,,,,,,,,,"2,813.890",-,-,-
元市庁舎焼跡整理費,,,,,,,,,,,,,50.000,-,-,-
消防仮庁舎建築費,,,,,,,,,,,,,"20,818.650",-,-,-
水産陳列場修繕費,,,,,,,,,,,,,375.000,-,-,-
上家修繕費,,,,,,,,,,,,,"2,639.760",一,-,-
図書館修繕費,,,,,,,,,,,,,"1,118.550",一,-,-
塵芥埃焼却場事務所復旧費,,,,,,,,,,,,,"1,023.080",-,-,-
橋梁復旧費,,,,,,,,,,,,,"2,808.090",-,-,-
植物検査場建設費,,,,,,,,,,,,"2,997.260",-,-,-,-
植物検査場建設費,,,,,,,,,,,,"2,997.260",-,-,-,-
特別会計函館病院費補充金,,"50,000.000",-,"44,000.000","3,800.000",-,-,-,-,-,-,-,-,-,-,-
