,明治30,明　治　31,明治32.4-32.9,明治32.10-33.3,明　治　33,明　治　34,明治35,明治36,明　治　37,明　治　38,明　治　39,明　治　40,明　治　41,明　治　42,明治43,明　治　44,大　正　元,大　正　２,大　正　３,大　正　４,大　正　５,大　正　６,大　正　７,大　正　８,大　正　９,大　正　10,大正11.4-7
区役所費,＊自治区制か『,)区費に入る。,,"9,240.709","23,673.542","36,785.496","38,157.769","42,985.196","37,056.671","42,847.491","42,011.167","51,220.167","52,〔335.109","60,579.173","52,563.422","58,677.938",51.380.298,50.342.213,"51,804.150","54,622.382","63,531.950","66,668.150","78,922.190","126,145.000","167,268.940","177,906.480","85,421.790"
給料,,,,"5,612.919","17,011.853","24,178.415","23,412.026","25,834.496","22,851.525","23,467.940","26,057.562",28.416.342,27.055.437,29.571.618,"28,640.174","30,254.826",30.169.964,"29,520.956","30,958.598","33,153.953","39,108.010","37,516.090","46,049.730","73,706.730","89,261.920","103,278.880","42,598.750"
雑給,,,,"1,324.348","2,128.500","6,137.210","6,406.616","8,169.425","6,560.213","10,165.735","7,183.984",10.808.359,"10,807.005",16.075.732,"11,338.083","13,996.245","10,408.096","9,982.115","9,936.335","10,562.690","12,634.240","13,815.650","15,924.190","32,613.480","43,456.180","42,112.280","26,937.050"
需用費　　大正10ｮﾘ庁費,,,,"2,154.337","3,779.966","6,199.611","7,944.426","8,610.521","7,376.921","8,871.833","8,460.870","11,468.869","13,870.100","13,069.273","12,395.090","14,285.432","10,002.917","10,248.402","10,403.032","10,536.639","11,030.620","14,389.610","16,377.770","18,962.540","33,877.380","31,724.060","15,619.650"
修繕費,,,,149.105,753.223,270.260,394.701,370.754,268.012,341.983,308.751,526.597,302.567,"1,862.550",190.075,141.435,799.321,590.740,506.185,369.100,759.080,946.800,570.500,862.250,673.460,791.260,266.340
会議費,144.908,200.322,25.930,461.055,802.010,554.900,728.700,686.327,334.070,381.595,647.475,700.210,958.560,726.080,784.528,634.630,726.770,625.160,737.177,674.860,815.860,742.790,"1,112.150","1,603.680","2,246.220","3,705.800",802.600
雑給,6.650,10.100,2.400,184.950,323.600,173.000,424.000,376.000,-,-,288.000,300.000,533.000,320.000,-,-,-,-,-,-,-,-,-,-,-,-,-
需用費,138.258,190.222,23.530,276.105,478.410,381.900,304.700,310.327,334.070,381.595,359.475,400.210,425.560,406.080,-,-,-,-,-,-,-,-,-,-,-,-,-
区会費,,,,,,,,,,,,,,,784.528,634.630,726.770,625.160,737.177,674.860,815.860,742.790,"1,112.150","1,603.680","2,246.220","3,705.800",802.600
土木費,"9,174.491","13,355.333","10,394.351","5,446.736","15,106.061","16,071.031","21,648.779","26,618.371","15,103.515","24,003.513","32,344.820",33.603.065,"26,080.035",25.540.666,"24,008.798","42,399.372","23,506.916","25,893.229","28,704.779","27,675.729","30,019.580","30,991.280","44,138.350","61,406.010","130,143.270","79,633.540","73,505.100"
道路橋梁費,"8,616.478","12,688.542","10,094.448","5,010.606","15,096.061","16,061.031","21,648.779","26,618.371","15,103.515","24,003.513","32,344.820","33,603.065","26,080.035","25,540.666","24,008.798","42,399.372","23,506.916","25,893.229","28,704.779","27,675.729","29,409.350","30,201.340","43,328.420","59,934.830","128,361.270","78,156.790","73,111.840"
塵捨場費,109.220,111.948,38.400,47.360,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
市街便所費,448.793,554.843,261.503,388.770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
治水費,,,,,10.000,10.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
雑用水道費,,,,,,,,,,,,,,,,,,,,,610.230,789.940,809.930,"1,471.180","1,782.000","1,476.750",393.260
教育費,"13,622.129","26,640.463","13,812.702","15,851.176","34,960.407","42,057.512","44,671.828","51,063.531","51,073.778","52,860.240","52,614.851","60,844.509","65,894.411","74,182.727","79,767.247","84,891.043","87,063.717","88,464.758","93,063.097","94,507.300","97,638.480","112,730.210","143,625.600","219,789.170","304,996.450","343,590.860","116,630.340"
