,大正元,大正２,大正３,大正４,大正５,大止６,大正７,大正８,大正９,大正10,"大正11,4-7",11.8-12.3,大正12,大正13,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12,昭和13,昭和14
歳入の部,,,,,,,,,,,,,,,,,,,,,,,,,,,
窮民救助費特別基本財産より繰入金,5.00D,387.000,478.000,534.000,203.000,371.000,0.000,374.000,"1,015.000","1,222.380",142.370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
窮民救助費特別基本財産より繰入金,5.000,387.000,478.000,534.000,203.000,371.000,-,374.000,"1,015.000","1,222.380",1∠12.370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
資金ョリ生ズル収入　大正4ｮﾘ諸収入,,,,,,,,,,,,"1,203.480","1,657.620","1,364.360","1,590.530","1,371.460",1.197.920,"1,192.590","2,515.020","2,592.370","1,986.980","2,188.400","1,986.510",974.340,960.080,984.85,966.94
資金ョリ生ズル収入,,,,,,,,,,,,"1,203.480","1,357.620","1,364.360","1,590.530","1,271.460","1,197.920",1492.590,"1,155.91〔)","1,192.370","1,073.400","1,057.760","1,043.590",974.340,960.080,984.85,966.94
寄付金,,,13.290,11.670,45.675,32.820,60.500,"1,189.500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
指定寄付金,,,13.290,11.670,45.675,32.820,60.500,"1,189.500",-,-,-,-,300.000,0.000,"0,000",100.000,0.000,"0,000","1,359.110","1,400.000",913.580,"1,130.640",942.920,0.000,0.000,0.00,0.00
繰越金,,0.100,139.406,407.571,505.173,464.598,563.468,199.568,"1,295.918","1,510.258","1,336.938",-,500.000,769.200,0.000,200.000,200.000,100.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.00,50.00
前年度より繰越金,,0.100,139.406,407.571,505.173,464.598,563.468,199.568,"1,295.918","1,510.258","1,336.938",-,500.000,769.200,0.000,200.000,200.000,100.000,"50,000",50.000,50.000,50.000,50.000,50.000,50.000,50.00,"50,00"
区引継金,,,,,,,,,,,,"21,946.816",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合計,5.000,387.100,630.696,953.241,753.848,868.418,60.550,"1,563.500",1.015.000,"1,222.380",142.370,"23,150.296","2,157.620","2,133.560","1,590.530","1,571.460","1,397.920",1.292.590,"2,565.020","2,642.370","2,036.980","2,238.400",2.036.510,"1,024.340","1,010.080","1,034.85","1,016.94"
歳出の部,,,,,,,,,,,,,,,,,,,,,,,,,,,
窮民救助費　大正12ｮﾘ賑恤救済費,4.900,247.694,223.125,448.068,292.250,304.950,424.450,467.150,800.660,"1,395.700",302.200,"22,630.298","1,388.420","1,933.560","1,390.530","1,371.460","1,191.800","1,242.590","2,515.020","2,592.370","1,986.980","2,188.400","1,986.510",974.340,960.080,984.850,"1,016.940"
窮民救助費　大正13ｮﾘ賑恤救済費,4.900,247.694,223.125,448.068,292.250,304.950,424.450,467.150,800.660,"1,395.700",302.200,"1,013.200","1,251.420","1,196.700",691.200,"1,118.000",191.800,200.000,199.000,297.700,982.000,"1,448.980","1,504.850",473.610,154.600,71.45,36.20
資金繰入金,,,,,,,,,,,,"21,617.098",137.000,736.860,699.330,253.460,-,42.590,116.020,94.670,4.980,739.420,481.660,500.730,805.480,913.40,980.74
一般会計繰入金,,,,,,,,,,,,,,,,,"1,000.000","1,000.000","2,200.000","2,200.000","1,000.000","0,000",-,-,-,-,-
区未払金,,,,,,,,,,,,20.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合計,4.900,247.694,223.125,448.068,292.250,304.950,424.450,467.150,800.660,"1,395.700",302.200,"22,650.298","1,388.420","1,933.560","1,390.530","1,371.460","1,191.800","1,242.590","2,515.020","2,592.370","1,986.980","2,188.400","1,986.510",974.340,960.080,984.850,"1,016.940"
差引（歳入一歳出）,0.100,139.406,407.571,505.173,461.598,563.468,△363.900,"1,096.350",214.340,△173.320,△159.830,499.998,769.200,200.000,200.000,200.000,206.120,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.00,"0,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
