,大正11.4-7,11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和12,昭和13,昭和14
歳入の部,,,,,,,,,,,,,,,,,,
諸収入,"97,150.180","1,670.840","8,951.540","6,638.110","6,991.620","7,186.000","104,335.650","34,398.470","23,035.720","23,429.210","124,318.820","84,502.650","15,035.630","28,904.420","4,967.240","3,424.080","3,251.06","4,234.96"
資金ョリ生ズル収入,,"1,670.840","8,951.540","6,638.110","6,991.620","7,186.000","4,825.510",902.470,923.640,"2,199.430","2,355.930","1,450.470",960.950,811.470,929.940,"1,027.780","1,106.36","1,155.09"
施設ョリ生ズル収入,,,,,,,,,,,,,,"4,542.860","4,037.300","2,396.300","2,144.70","2,082.40"
一般会計戻入金,,,,,,,"2,010.140","19,896.000","22,112.080","21,229.780","20,962.890","13,052.180",7074.68,-,-,-,-,-
旧湯川町救済基金引継金,,,,,,,,,,,,,,,,,,997.47
雑収入,,,,,,,,,,,,,,,,-,-,-
資金繰入金,97.150.180,-,-,-,-,-,"97,500.000","13,600.000",-,-,"51,000.000","70,000.000","7,000.000",-,-,-,一,-
寄付金,,,,,,,,,,,"50,000.000",-,-,"23,550.090",-,一,-,-
区引継金,,"97,150.180",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区引継金,,"97,150.180",-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-
合計,"97,150.180","98,821.020","8,951.540","6,638.110","6,991.620","7,186.000","104,335.650","34,398.470","23,035.720","23,429.210","124,318.820","84,502.650","15,035.630","28,904.420","4,967.240","3,424.080","3,251.06","4,234.96"
歳出の部,,,,,,,,,,,,,,,,,,
積立金,0.000,"98,821.020","8,951.540","6,638.110","1,991.620","2,186.000","1,835.650","34,398.470","23,035.720","23,429.210","124,318.820","84,502.650",1.135.630,"5,235.090","2,843.000","2,177.620",884.98,"2,568.36"
社会事業資金,0.000,"98,821.020","8,951.540","6,638.110","1,991.620","2,186.000","1,835.650","15,798.470","18,035.720","23,429.210","73,318.820","6,460.390","1,135.630","5,235.090","2,843.000","2,177.620",884.98,"2,568.36"
繰入金,,,,,"5,000.000","5,000.000","102,500.000",-,-,-,-,-,"13,900.000","9,944.390","1,913.830",448.840,572.60,627.19
一般会計繰入金,,,,,"5,000.000","5,000.000","102,500.000","18,600.000","5,000,000",-,"51,000.000","78,042.260","13,900.000",-,-,-,-,-
公益質屋費繰入金,,,,,,,,,,,,,,"9,944.390","1,913.830",448.840,572.60,627.19
社会事業施設費,,,,,,,,,,,,,,"13,724.940",210.410,797.620,"1,793.48","1,039.41"
社会事業施設費,,,,,,,,,,,,,,"13,724.940",210.410,797.620,"1,793.48","1,039.41"
合計,0.000,"98,821.020","8,951.540","6,638.110","6,991.620","7,186.000","104,335.650","34,398.470","23,035.720","23,429.210","124,318.820","84,502.650","15,035.630","28,904.420","4,967.240","3,424.080","3,251.06","4,234.96"
差引（歳入一歳出）,"97,150.180",０,０,０,０,０,０,０,０,０,０,０,０,０,０,０,０,０
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
