,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12,昭和13
歳入の部,,,,,,,,,,,,,,,
諸収入,665.000,"1,377.660","1,753.330","1,408.100","1,392.140","1,066.460","1,649.940","21,350.920","1,440.600","1,444.510",537.220,541.370,515.570,520.490,540.58
資金ョリ生ズル収入,665.000,"1,377.660","1,753.330","1,408.100","1,392.140","1,066.460","1,649.940",826.990,500.600,504.510,537.220,541.370,515.570,520.490,540.58
一般会計戻入金,,,,,,,,523.930,940.000,940.000,"0,000",-,-,-,-
資金繰入金,,,,,,,,"20,000.000",-,-,-,-,-,-,-
合計,665.000,"1,377.660","1,753.330","1,408.100","1,392.140","1,066.460","1,649.940",21.350.920,"1,440.600","1,444.510",537.220,541.370,515.570,520.490,540.58
歳出の部,,,,,,,,,,,,,,,
積立金,665.000,"1,377.660","1,753.330","1,408.100","1,392.140","1,066.460","1,649.940","1,350.920","1,440.600","1,444.510",537.220,541.370,515.570,520.490,540.58
積立金,665.000,"1,377.660","1,753.330","1,408.100","1,392.140","1,066.460","1,649.940","1,350.920","1,440.600","1,444.510",537.220,541.370,515.570,520.490,540.58
繰入金,,,,,,,,"20,000.000",-,-,-,-,-,-,-
一般会計繰入金,,,,,,,,"20,000.000",-,-,-,-,-,-,-
合計,665.000,"1,377.660","1,753.330","1,408.100","1,392.140","1,066.460","1,649.940","21,350.920","1,440.600","1,444.510",537.220,541.370,515.570,520.490,540.58
差引（歳入一歳出）,０,０,０,０,０,０,０,０,０,０,０,０,０,０,０
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
