,昭　　和　　15,昭　　和　　16,昭　　和　　17,昭　　和　　18,昭　　和　　19,昭　　和　　20,昭　　和　　21
防空実施費,,,,"108,245.22",-,-,-
防空実施費,,,,"4,374.63",-,-,-
設備資材整備費,,,,"103,870.59",-,-,-
市庁舎建築費,,,"140,393.10","342,819.35","502,561.02","24,151.70","64,916.13"
市庁舎建築費,,,"140,393.10","342,819.35",502.561.02,"24,151.70","64,916.13"
療養所費,,,"3,119.90",-,-,-,-
療養所費,,,"3,119.90",-,-,-,-
耕地実態調査費,,,,,"1,808.29",-,-
耕地実態調査費,,,,,"1,808.29",-,-
復興事業整理費,,,,,"8,550.03",-,-
復興事業整理費,,,,,"8,550.03",-,-
庁舎移転費,,,,,"3,980.20",-,-
庁舎移転費,,,,,"3,980.20",-,-
戦時特別費,,,,,,"282,006.99",-
供出衣料疎開備蓄費,,,,,,"259,038.08",-
学童集団疎開費,,,,,,"22,008.91",-
戦災者慰問費,,,,,,960.00,-
疎開事業費,,,,,,"470,968.66",-
疎開事業費,,,,,,"470,968.66",-
渉外費,,,,,,"54,176.56",-
渉外費,,,,,,"54,176.56",-
昭和22年夏期調査費,,,,,,,
調査費,,,,,,,
臨時国勢調査費,,,,,,,
臨時国勢調査費,,,,,,,
昭和22年作付調査費,,,,,,,
昭和22年作付調査費,,,,,,,
宅地制度調査費,,,,,,,
宅地制度調査費,,,,,,,
衛生費,,,,,,,"408,391.65"
予防費,,,,,,,"408,391.65"
選挙費,,,,,,"11,203.90","43,211.29"
選挙費,,,,,,"11,203.90","43,211.29"
函館山施設費,,,,,,,
函館山施設費,,,,,,,
農場費,,,,,,,
管理費,,,,,,,
事業費,,,,,,,
表彰費,"2,367.00",-,-,"4,400.80",-,-,-
表彰費,"2,367.00",-,-,"4,400.80",-,-,-
寄付金,,,,"75,355.00","291,056.00","232,570.00",371.000.00
寄付金,,,,"75,355.00","291,056.00","232,570.00","371,000.00"
保証損失金,,,,,"7,573.21",-,-
保証損失金,,,,,"7,573.21",-,-
合　計,"1,573.909.51","2,479,160.12","2,710.409.37","2,758,036.43","1,397,373.51","3,755,134.39","3,728,555.31"
歳出の部　通計,"3,329.994.75","4,477,453.09","4,985,823.28","4,932,710.34","5,772,750.42","10,207,516.91","24,800,099.39"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
