,昭和23,昭　和　24,昭　和　25,昭　和　26,昭　和　27,昭　和　28,昭　和　29,昭　和　30,昭　和　31,昭　和　32,昭　和　33,昭　和　34,昭　和　35
特殊教育費,,,,,"151,914","446,973","407,291","488,697","449,723","390,659","467,086","788,133","472,323"
盲唖学校費,"388,050.27",-,-,-,-,-,-,-,-,-,-,-,-
養護学校林間学校費,"80,043.20","222,136.64","732,430.00","643,722.00",-,-,-,-,-,-,-,-,-
教員再教育費,,,"633,132.00",-,-,-,-,-,-,-,-,-,-
教育会館費,,,,,,,,,,"208,267","179,770","282,668","223,576"
教育研究所費,,,,,,,,,,"514,977","426,594","498,485","1,471,909"
社会教育費,"352,742.95","997,544.01","2,128,442.00","2,660,226.00","2,688,268","3,812,679","3,766,367","5,461,000","3,041,509","4,113,446","3,745,187","4,813,223","4,012.160"
体育費,"991,418.90","1,487,067.00","1,871,023.00","2,512,213.00","2,489,589",社会教育費へ,,,,,,,
図書館費,"2,292,179.78","1,030,532.04","1,458,846.70","5,419,036.00","6,910,299","9,015,303","9,669,890","10,753,586","10,605,512","11,891,547","12,917,726","13,692,991","14,885,897"
C.I.E.図書館費,"398,981.30",-,-,-,-,-,-,-,-,-,-,-,-
芸大分校施設拡充費,,,"4,208,086.00","2,784,826.00",-,-,-,-,-,-,-,-,-
寄付金,,,,"300,000.00","200,000","200,000",-,-,-,-,-,-,-
博物館建築費,,,"360,288.00",-,-,-,-,-,-,-,-,-,-
博物館費,"188,368.78","424,408.42","579,777.00","3,980,976.00","1,156,744","1.378,995","1,623,356","3,943,724","2,410,957","2,679,971","2,669,145","2,933,956","3,653,835"
公民館費,"423,104.82","134,896.42","1,273,482.59","2,095,279.00","2,300,545","2,423.179","2,600,862","2,958,095","2,809,406","2,982,530","2,989,212","3,281,943","3,552,396"
営繕費,,,"59,870,364.43","48,182,827.10","152,539,066","85,000,549","66,062,002","58,631,743","113,930,435","103,458,080","95,228,151","88,343,338","115,922,687"
社会及労働施設費,"42,125,390.11","108,225,172.57","235,617,142.74","250,456,747.76","245,826,448","306,811,980","352,302,017","430,394,277","464,145,604","568,308,215","590,939,111","652,429,978","721,763,624"
社会福祉費,,,,"1,997,240.00","144,441,115","178,485,606","202,496,339","224,658,970","232,419,069","249,056,533","244,823,387","272,829,652","37,267,432"
生活保護費,"28,637,166.86","52,130,737.11","97,008,509.50","112,828,749.00",社会福祉費に含む(昭,和27～34）,,,,,,,"257,470,971"
老人保護費,,,,,,,,,,,,,
保育所費,,"321,400.58","634,051.20",児童福祉費へ,,,,,,,,,
児童保護費,"50,004.39","991,812.17","4,304,037.00",-,-,-,-,-,-,-,-,-,-
児童福祉費,,,,"9,417,438.00",社会福祉費に含む(昭,和27～34）,,,,,,,"32,594,446"
保護費昭和31ｮﾘ児童福祉費,,,,"5,509,525.00",-,-,-,-,-,-,-,-,"25,152,575"
保育所費,,,,"3,217,827.00",-,-,-,-,-,-,-,-,"4,445,314"
季節保育所費,,,,,,,,,,,,,
母子寮費,,,,"690,086.00",-,-,-,-,-,-,-,-,-
ゆのかわ学園費,,,,,,,,,,,,,"2,996,557"
ふたば学園費,,,,,,,,,,,,,
児童館費,,,,,,,,,,,,,
精神薄弱児施設建設費,,,,,,,,,,,,,
罹災救済費,2.535.20,-,-,-,-,-,-,-,-,-,-,-,-
引揚者収容施設委託工事費,"9,633,900.88",-,-,-,-,-,-,-,-,-,-,-,-
引揚者収容所費,"900,000.00","2,906,000.00","5,108,917.00","3,492,880.00","22,332,906","3,233,009","3,344,460","6,115,246","8,821,473","14,155,601","2,214,288","2,376,010","2,467,101"
引揚者援護費,,"203,636.00","26,000.00","18,944.00",-,-,-,-,-,-,-,-,-
引揚者収容所管理費,,"94,895.69","162,152.00",-,-,-,-,-,-,-,-,-,-
養老院費,,,"488,650.00","2,991,313.00","2,702,420","3,280,760","3,678,882","4,196,670","4,550,790","10,157,090","6,312,581","7,132,761","8,155,303"
精神薄弱児通園施設費,,,,,,,,,,"5,705,294",-,ゆのかゎ学園1,1へ
労働会館費,,"378,373.40","8,407.501.30","1,108,742.00","1,102,114","1,399,862","1,396,321","1,392,594","1,349,857","1,361,668","1,479,533","1,349,115","1,538,091"
公益質屋費,,"516,293.46","838,339.30","1,063,729.00","1,213,547","1,393,823","1,276,979","1,593,167","1,519,586","4,467,555","4,487,410","3,551,561","2,873,366"
国民健康保険調査費,,,,,社会福祉費に含む,,,,,"3,739,346",-,-,-
国民年金事務費,,,,,,,,,,,,"1,296,650","6,717,500"
公園費,"641,272.03","3,127,004.90","2,286,445.78","2,809,558.00","3,058,968","4,751,788","5,492,155","4,709,316","5,143,974","7,223,971","8,216,935","9,151,600","10,005,362"
函館山管理費,"390,701.95",公園費へ,,,,,,,,,,,
市営住宅建築費昭和30ｮﾘ住宅建築費,,,"29,811,898.18","49,732,519.00","8,584,408","31,277,740","47,692.416","72,042,939","54,406,208","66,016,387","66,837,715","71,816,035","67,649,145"
住宅改造費,0.00,"622,326.00",-,-,-,-,-,-,-,-,-,-,-
木材乾燥工場新設費,,"5,816,301.02",-,-,-,-,-,-,-,-,-,-,-
臨時失業対策支部事務所費,,"246,146.50",-,-,-,-,-,-,-,一,-,-,-
失業応急事業費昭和25ｮﾘ失業対策事業費,,"26,409,479.81","59,265,416.30","53,484,790.76","60,705,412","81,234,131","85,668,525","115,685,375","155,934.647","206,424,770","256,567,262","282,926,594","295,024,907"
民生委員費,,"571,336.00","552,595.00",-,-,-,-,-,-,-,-,-,-
民生委員事務所費,"80,829.80","769,603.76","1,905,256.60","2,872,610.00",-,-,-,-,-,-,-,-,-
葬儀事業費,,"1,086,703.03","752,240.20","1,465,602.00","1,685,558","1,755,261","1,255,940",-,-,-,-,-,-
砕石共同作業所費,0.00,"3,623,578.50","2,442,429.90","1,260,284.00",-,-,-,-,-,-,-,-,-
眼鏡レンズ時計硝子共同作業所費,,"4,156,827.79","12,486,087.98",-,-,-,-,-,-,-,-,-,-
無料宿泊所委託費,,,"3,426,760.00","5,899,529.00",-,-,-,-,-,-,-,-,-
無料宿泊所費,,"2,513,274.35","345,000.00",-,-,-,-,-,-,-,-,-,-
災害救助費,,"45,442.50",0.00,820.00,社会福祉費に含む,,,,,,,,
諸費,"1,788,979.00","1,694,000.00","1,001,500.00",-,-,-,-,-,-,-,-,-,-
身体障害者福祉費,,,"5,250.00","12,000.00",社会福祉費に含む,,,,,,,,
労働者福利厚生費,,,"42,100.00",-,-,-,-,-,-,-,-,-,-
母子寮費,,,"3,641,005.50",-,-,-,-,-,-,-,-,-,-
日雇労務者集合所費,,,"675,000.00",-,-,-,-,-,-,-,-,-,一
保健衛生費,"36,037.751.93","38,582,372.52","62,923,559.14","87,902,390.25","104,621,630","128,470,511","146.417,987","177,411,467","211,543,803","194,768,300","214,020,354","213,188,027","247,575,423"
健民費,"463,756.26","305,611.40","280,233.80",-,-,-,-,-,-,-,-,-,-
保健所費,"4,878,470.12","4,204,219.96","6,814,853.60","18,040,463.20","19,743,384","25,835,012","25,683,371","28,258,485","31,109,324","34,591,583","36,838,739","39,329,958","44,770,244"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
