,昭　　和　　23,昭　　和　　24,昭　　和　　25,昭　　和　　26,昭　和　27,昭　和　28,昭　和　29,昭　和　30,昭　和　31,昭　　和　　35,昭　　和　　36,昭　　和　　37,昭　　和　　38
結核予防費,"1,132,772.93",-,-,"4,030,043.00","8,179,351","11,151,637","10,331,233","8,330,443","10,797.822","16,928,655","48,871,637","95,556,579","128,898,794"
伝染病予防費,"6,235,211.51","8,961,991.38","25,184,210.05","7,119,734.00","5,396,322","8,187,015","7,336,599","6,381,421","6,045,397","13,172,697","16,832,321","11,439,364","10,696,521"
部落巡回診療費,,,,"80,645.00","83,530","95,460","60,310","60,865","2U,064",-,-,-,-
衛生試験所費,,,,,,,,,,,,,"8,616,791"
消毒所費,371.524.91,"510,043.31","501,419.12",-,"608,650","1,180,504","1,449,729","1,445,639","1,518,558","2,229,408","1,994,774","2,425,697","3,052,487"
柏木病院費,"3,207,589.83","3,962,033.20","4,185,267.20","11,795,807.00","12,973,473","13,363,741","23,103,582","18,089,133","21,452,109",-,-,-,-
康生病院費,"1,066,590.27","644,747.54","808,050.05","3,030,849.00","3,829,100","4,780,530","7,323,772","6,240,753","5,818,292",-,-,-,-
療養所拡張費,,,,,"350,000",-,-,-,-,-,-,-,-
赤川診療所費,"37,036.86","105,083.18","206,475.90","111,075.00","84,820","110,311","115,813","62,790","66,315",-,-,-,-
社会病予防費,"96,719.90",-,-,-,-,-,-,-,-,一,-,-,-
汚物掃除費昭和30ｮり清掃事業費,"15,105,978.46","16,549,272.79","21,484,314.65","36,742,789.92","47,458,616","55,595,775","61,870,536","92,610,587","88,792,045","154,026,051","153,831,433","168,559,278","187,622,651"
火葬場費,"1,910,488.49","1,538,049.36","1,406,632.20","3,006,866.00","2,726,836","2,569,669","3,543,849","4,313,840","17,058,053","3,476,225","3,847,639","4,506,932","4,371,624"
下水道費,"1,213,577.05","1,449,723.17","1,611,452.17","2,755,929.13","1,785,340","3,782,402","3,471,625","3,085,731","4,931,641","12,918,258",-,一,-
墓地費,"14,960.00","22,730.00","46,321.00","49,925.00","27,891","25,320","25,672","30,492","30,156","53,885","53,851","74,318","74,450"
と畜場費,"303,075.34","328,867.23","394,329.40","1,138,264､00","1,374,317","1,793,135","2,101,896","8,501,288","23,713,027",-,-,-,-
産業経済費,"6,204,534.43","7,644,268.71","13,166,836.07","30,390,557.00","31,546,499","94.659,885","140,138,626","67,930,382","57,394,147","118,544,507","159,678,420","188,214,743","213,767,189"
農地委員会費昭和26ｮﾘ農業委員会費,"1,330,234.95","1,828,659.40","1,739,499.20","1,339,424.00","1.529,358","2,098,221","2,348,621","2,177,318","2,349,172","4,150,347","4,524,583","5,185,010","6,196,398"
農業調整委員会費,,"385,606.40","458,811.50","175,003.00",-,-,-,一,-,-,-,-,-
農業費昭和25ｮﾘ農林費,"462,544.82","1,043,923.25",926.266.00,"2,265,366.00","2,797,173","7,671,725","8,414,663","6,357,191","12,443,081","11,844,018","18,398,744","15,211,832","17,095,950"
