,昭　　和　　23,昭　和　　24,昭　　和　　25,昭　　和　　26,昭　　和　　27,昭　　和　　28,昭　　和　　29,昭　　和　　30,昭　和　31,昭　和　32,昭　和　33,昭　和　34,昭　和　35
函館市長及び市会議員選挙費,,,,"1,785,136,00",-,-,-,-,-,-,一,"1.011,404",-
北海道及び函館市教育委員会選挙費,"862,277.99",-,"1,073,971.00",-,"1,412,459",-,-,-,０,-,-,-,-
渡島東部海区漁業調整委員会委員選挙費,,,,,,,,,"79,337",-,"145,000",-,"105,401"
函館湾海区漁業調整委員会委員選挙費,,,"97,491.00",-,"74,000",-,"98,000",-,-,-,-,-,-
地方選挙準備費,,,,,,,,,,,,,
公債費,"6,625,465.85","15,734,528.02","25,785,546.27","31,686,906.58","45,532,556.09","47,417,794","57,849,621","83,376,240","92,679,964","85,850.944","91,346,977","101,863,252","114,929,820"
元利償還金,"4,001,553.88","11,620,373.39","13,353,286.27","18,865,907.58","29,125,329.09","39,621,634","51,871,470","80,802,056","91,065,672","85,565,696","90,094,466","98.248,272","111,447,849"
利子(一時借入金利子),"2,517,582.16","3,903,047.74","12,432,260.00","12,820,999.00","16,407,227","7,796,160","5,971,606","2,570.084","1,608,240","271,750","1,244,511","3,611,480","3,481,971"
公債諸費,"106,329.81","211,106.89",-,-,-,-,"6,545","4,100","6,052","13,498","8,000","3,500",-
諸支出金,"10,984,269.57","33,332,264.34","69,948,615.29","159,112,644.14","69,207,398","109,527,243","162,986,161","107,298,542","99,662,329","156,574,069","186,554,035","210,203,577","189,930,948"
公金取扱費,"41,005.00","67,926.00",70.256.00,"70,018.00","71,760","73,535","88,130","92,455","96,270","90,845","91,510","105,885","123,160"
徴税費,,,,"29,123,143.00","36,358,048","68,704,699","63,173,516","63,427,721","64,724,548","70,659,033","66,515,936","66,974,703","72,896,020"
戸籍事務費,,,,"4,358,988.00","6,913,109","8,033,684","9,842,472","10,251,868","11,483,928","13,275,957","13,841,988","12,581,976","16,018,940"
青少年育成費,,,,,,,,,,,,,"2,688,646"
建築行政費,,,,"1,515,591.00","3,361,648","3,045,041","3,001,134","3,095,492","3,523,845","3,629,119","4,069,938","4,345,172","4,905,632"
防災街区造成費,,,,,,,,,,,,,
車輛運営費,,,,"12,445,610.24","11,133,629","12,550,939","15,264,420","9,898,038","7,850,150","9,587,055","10,871,534","11,142,266","11,551,454"
広報費,,,"1,091,870.00","1,625,761.00","1,076,867","1,568,807","1,934,299","1,982,914","2,105,067","2,232,000","2,488,036","2,611,964","2,696,153"
市民生活推進費,,,,,,,,,,,,,
市勢振興調査費昭和25ｮﾘ市勢振興費,,"105,000.00","570,967.00","661,686.00","900,030","2,120,342","1,226,533","9,895,480",,"493,174","7,623,819","2,807,802","2,108,800"
表彰費,,"52,490.00","220,723.00","419,145.00","418,282","372,032","548,399","784,405","797,794","625,027","587,325","681,789","383,534"
市制記念行事費,,,,,"298,312",-,-,-,-,-,一,-,-
職員厚生費,"245,575.03","15,187,181.99","19,913,614.97","14,425,435.30","1,229,588","1,627,063","1,674,249","2,587,616","2,915,593","3,433,655","3,621,862","3,690,742","3,434,444"
繰替金,"9,143,143.52","14,544,478.43","1,447,112.00","38,700.00","26,000","15,520","975,858","32,255","18,114","20,817","20,056","17,945","29,097"
物件購買運営費,,,,,"1,601,151","1,333,227","1,310,229","1,488,510","2,487,377","4,795,946","4,259,657","4,968,350","6,125,195"
遅延利子,,,,"102,500.00",０,０,０,０,０,０,０,０,０
過年度支出金,"123,740.81","1,884,114.92","18,426,284.32","84,015,294.60","3,809,401","1,349,453","3,392,984","1,990,138","2,413,743","2,165,230","1,413,725","1,904,954","1,556,575"
繰出金,,,"16,000,000.00","1,000,000.00","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","44,753,411","55,079,007","58,163,979","65,208,482"
開港記念行事費,"299,975.00",-,-,-,-,-,-,-,-,-,-,-,-
国民体育大会準備費昭和29開催費,,,,,,"549,385","3,147,638",-,-,-,-,一,-
史蹟名勝天然記念物保存費,,"20,000.00",一,-,-,-,-,-,-,-,一,一,-
亀田村合併記念式典費,,"244,412.00",-,-,-,-,-,-,-,-,-,-,-
市史編さん費,,,,,,,-,"72,165","245,900","312,800","222,800","206,050","204,816"
行幸啓諸費昭和33奉迎諸費,,,,,,,"3,372,173",-,-,-,"846,842",-,-
渉外費,"1,010,234.86","1,180,095.00","1,074,023.00","1,021,046.00","997,613","684,456","515,482","699,485",一,-,-,-,-
貯蓄奨励費,"120,595.35","46,566.00","25,340.00","39,726.00","11,960",-,-,-,-,-,-,-,-
納税奨励費,,,"336,806.00",-,-,-,-,-,-,-,-,-,-
15号台風災害応急費,,,,,,,"38,106,903",-,-,-,-,-,-
諸費,,,"21,619.00",-,-,-,-,-,-,-,-,-,-
宝くじ発行費,,,"5,500,000.00",-,-,-,-,-,-,-,-,-,-
貸付金,,,"5,250,000.00","8,250,000.00",-,"6,499,060","12,999,240",-,-,-,-,-,-
転貸債貸付金,,,,,,,,,,,"15,000,000","40,000,000",-
受託工事費,,,,,,,"1,412,502",-,-,"500,000",-,-,-
繰上充用金,,,,"62,973,198.40","145,580,459.05","63,125.391.45",-,-,-,-,-,-,-
繰上充用金,,,,"62,973,198.40","145,580,459.05","63,125,391.45",-,-,-,-,-,-,-
寄付金,,"5,452,055.79","3,329,752.00",-,-,-,-,-,-,-,-,-,-
寄付金,,"5,452,055.79","3,329,752.00",-,-,-,-,-,一,-,-,-,一
出資金,"2,800,000,00","500,000.00","7,500,000.00",-,-,-,-,-,-,-,-,-,-
出資金,"2,800,000.00","500,000,00","7,500,000.00",-,-,-,-,-,-,-,-,-,-
公益質屋費,"333,390.51",-,-,-,-,-,-,-,-,-,-,-,-
葬儀事業費,"861,800.00",-,-,-,-,-,-,-,-,-,-,-,-
交付金,"100,000.00",-,-,-,-,-,-,-,-,-,-,-,-
給与特別措置費,"16,646,886.17",-,-,-,-,-,-,-,-,-,-,-,-
歳出合計,"445,385,885.17","712,004,802.78","940,737,708.00","1,188,634,910.88","1,381,586,937","1,481,915,457","1,544,488,182","1,562,025,096","1,794,702,701","1,964,874,731","2,066,085,813","2,229,736,108","2,387,923,368"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
