,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　50,昭　和　51,昭　和　52,昭　和　53,昭　和　54
道路橋梁新設改良費,"44,562,306","29,780,225","108,220,023","132,479,912","178,571,449","179,382,636","225,459,380","306,524,630","484,416,789","485,355,346","690,673,323","538,645,325","624,268,694","680,155,079","977,914,721","962,498,502"
路面復旧受託工事費,"3,070,000","3,750,000","5,340,000",-,"1,569,944","995,000",-,-,-,-,-,-,-,-,-,-
交通安全施設整備事業費,,,,,"59,039,682","57,144,070","31,382,614","51,285,036","66,777,207","n2,530,010","135,238,193","117,765,019","51,854,616","73,575,756","106,170,020","208,916,904"
河川費,"6,349,000","24,000,000","36,971,907","38,207,870","40,500,091","37,560,641","37,424,397","45,785,465","30,325,197","63,124,139","104,353,203","78,201,763","38.468,265","51,418.433","165,711,316","179,494,996"
河川費,"6,349,000","24,000,000","36,971,907","38,207,870","40,500,091","37,560,641","37,424,397","45,785,465","30,325,197","63,124,139","104,353,203","78,201,763","38,468,265","51,418,433","165,711,316","179,494,996"
都市計画費,"197,628,152","251,435,308","330,231,678","322,015,295","380,235,570","519,455,192","644,045,815","773,710,165","956,629,007","1,203,075,621","1,256,178,489","1,440,401,591","2,096,405,846","1.818,604,219","2,051,362,382","2,545,002,128"
都市計画総務費,"22,880,808","23,793,148","21,958,454","18,317,355","38,539,366","28,733,788","54,158,183","63,816,151","75,070,984","90,847,210","157,307,317","174,703,831","161,750,657","15,763.458","19,578,467","32,353,933"
緑化推進費,,,,,,,,,,,,"67,455,524","71,383,301","82,048,849","71,364,766","65,631,320"
街路事業費,"12,174,465","16,682,070","6,999,904","13,603,955","14,188,907","19,860,091","18,323,580","9,999,928","31,449,003","27,741,600","25,291,120",-,-,-,-,-
街路整備事業費,"77,341,643","100,190,343","136,607,473","190,095,383","171,192,542","172,446,941","197,010,704","221,905,200","389,548,313","426,165,831","550,426,167","541,512,293","826,297,313","900,630,910","884,349,099","1,082,960,545"
土地区画整理費　昭和45ｮﾘ区画整理事業費,"5,001,289","397,368",-,-,-,-,"233,549,173","245,335,592","307,595,945","412,273,806","120,000,000","203,005,836","602,933,254","334,398,399","418,289,299","507,370,751"
都市改造事業費　昭和49ｮﾘ市街地再開発事業費,"60,356,317","90,740,506","126,334,911","44,276,881","91,066,635","217,919,690",-,-,-,-,"8,490,000","844,410","99,520","470,636","2,766,839","84,674,224"
公共施設整備事業費,"12,362,140","1,920,000","6,900,000","18,691,862","37,590,920","41,264,610","80,297,268","97,198,150","62,716,567","153,213,418","173,290,369","232,796,901","242,053,610","353,653,084","426,675,040","405,394,026"
都市下水路整備費,,,"10,500,000","12,000,000",-,"4,450,000","3,690,000","4,380,000","19,339,668","14,694,417","107,544,600","84,622,893","39,418,389","82,144,690","161,000,000","153,994,456"
駐車場費,,,,,,"2,323,571","31,960,739","20,014,957","30,590,773","52,792,912","76,057,822","89,707,062","97,630,311","11,070,281","12,441,527","12,713,273"
