,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭‘和　51,昭　和　52,昭　和　53,昭　和　54,昭　和　55
中学校費,"154,679,333","161,831,449","213,420,981","160,405,301","173,851,321","199,302,854","229,732,078","283,237,636","339,203,653","441,130,281","668,441,370","823,830,618","403,871,110","429,603,802","476,994,335","542,145,939"
学校管理費,"98,429,669","105,711,538","121,156,011","141,452,514","154,810,939","179,415,084","210,355,576","260,904,856","314,447,349","408,647,553","616,276,553","767,893.893","340,866,017","362,337,459","400,175,535","449,358,330"
教育振興費,"9,206,664","10,437,911","14,131,512","18,952,787","19,040,382","19,887,770","19,376,502","22,332,780","24,756,304","32,482,728","52,164,817","55,936.725","63,005,093","67,266,343","76,818,800","92,787,609"
学校建築費,"47,043,000","45,682,000","78,133,458",-,-,-,-,-,-,-,-,-,-,-,-,-
義務教育施設整備費,,,,"131,306,078","126,725,338","158,370,528","244,722,885","390,550,201","334,824,276","760,786,297","824,995,755","1,613,449,896","2,147,565,765","2,320,130,169","2,326,445,734","1,852,728,974"
施設整備費,,,,"131,306,078","126,725,338","158,370,528","244,722,885","390,550,201","334,824,276","760,786,297","824,995,755","1,613,449,896","2,147,565,765","2,320,130469","2,326,445,734","1,852728,974"
高等学校費,"179,903,393","124,837,311","127,052,617","148,714,299","163,969,923","173,241,627","199,605,387","232,011,181","274,332,652","336,936,011","504,062,312","606,485,976","47,760,652","134,699,343","394,313,989","443,223,778"
学校管理費,"94,104,354","113,339,645","126,488,617","140,722,299","163,969,923","172,941,627","199,155,387","232,011,181","273,832,652","334,596,011","504,062,312","606.485,976","47,760,652","51,268,768","59,093,467","60,913,846"
教育振興費,,,"564,000",-,-,"300,000","450,000",-,"500,000","2,340,000",-,-,-,-,-,-
施設整備費,,,,"7,992,000",-,-,-,-,-,-,-,-,-,-,-,-
学校建設費,"400,000","11,497,666",一,-,-,-,-,-,-,-,-,-,-,"83,430,575","335,220,522","382,309,932"
学校建築費,"75,599,039",-,-,-,-,-,一,-,-,-,-,-,-,-,-,-
教職員住宅建設受託工事費,"9,800,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
幼稚園費,"7,236,427","10,344,517","15,809,940","14,844,048","17,184,602","19,778,424","26,661,654","35,137,858","65,298,171","44,414,395","63,644,173","100,681,328","13,041,527","14,420,617","16,079,568","16,825,717"
