,昭　和　15,昭　和　16,昭　和　17,昭　和　18,昭　和　19,昭　和　20,昭　和　21
図書館費,"27,916.46","26,058.45","25,440.93","31,748.07","40,555.15","38,018.79","92,709.03"
給料,"7,503.89","8,778.82","9,035.72","10,249.81",-,-,-
雑給昭和19ｮﾘ諸給,"2,186.35","2,897.11","2,585.96","3,581.72",-,-,-
図書費,"6,099.69","6,490.52","6,391.53","7,977.80",-,-,-
需用費,"6,228.91","4,940.00","5,930.92","6,743.14",-,-,-
修繕費,"5,897.62","2,952.00","1,496.80","3,195.60",-,-,-
公民館費,,,,,,,
体育費,,,,,,,
学校体育費,,,,,,,
市民体育費,,,,,,,
運動場費,,,,,,,
学事諸費昭和15ﾖﾘ昭和18ﾏﾃﾞ教育費,"29,667.81","33,611.98","34,235.63","29,822.25","2,615.54","3,987.92","56,152.09"
給料,"16,633.77","17,119.95","19,361.37","18,887.11",-,-,-
雑給,"6,644.60","8,504.58","7,920.81","7,793.68",-,-,-
需用費,"2,903.33","5,169.78","1,955.51","1,355.61",-,-,-
社会教育費,,,,"1,785.85",-,-,-
教職員運動助成費,,,,,,,"51,466.00"
就学奨励費,"3,486.11","2,817.67","4,997.94",-,"2,615.54","3,987.92","4,686.09"
盲唖小学校費,,,,,,,
新制中学校費,,,,,,,
衛生諸費　　昭和19ｮﾘ予防費,"222,509.42","232,614.77","272,680.47","325,665.74","38,315.97","90,620.28","340,933.45"
事務費,"16,690.40","8,249.04","9,909.28","11,253.77",-,-,-
伝染病予防費,"22,860.88","23,565.99","18,431.69","21,072.50","32,262.51","86,437.51","308,059.17"
結核予防治療費,"1,996.16",434.19,"3,307.55","2,033.78","5,639.15",801.22,"2,910.00"
小児結核予防治療費,,,,,,"3,315.30","29,964.28"
トラホーム予防費,"1,694.16","1,748.35","1,663.97",576.74,414.31,66.25,0.00
花柳病予防費,,,,,,,
細菌検査室費,,,,,,,
清掃費,"179,267.82","197,193.21","236,699.87","285,932.76",-,-,-
体力向上費,,"1,423.99","2,668.11","4,796.19",-,-,-
