,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　50,昭　和　51,昭　和　52,昭　和　53,昭　和　54
利子,"54,058,123","61,038,432","66,604,817","82,293,838","102,757,542","131,554,909","169,574,011","193,787,613","235,889,449","322,403,379","467,563,425","638,288,298","838,306,361","1,031,267,239","1,199,207,122","1,397,957,127"
公債諸費,"10,000","90,000","149,706","179,419","172,969","192,980","191,254","217,919","187,453","204,456","390,842","414,822","2,813,332","11,560,049","5,836,933","3,567,298"
諸支出金,"22,099,925","46,571,199","20,306,010","56,999,674","59,365,341","253,177,993","279,836,711","127,412,580","167,109,643","395,083,430","451,542,812","632,146,446","757,906,487","1,423,983,386","2,111,224,049","1,821,449,852"
用品準備購入費,"6,443,507","6,978,003","6,987,040","7,999,674","9,138,638","9,419,133",-,-,-,-,-,-,-,-,-,-
用品準備購入費,"6,443,507","6,978.003","6,987,040","7,999,674","9,138,638","9,419,133",-,-,-,-,-,-,-,-,-,-
普通財産取得費,"15,656,418","15,939.840","13,318,970",-,-,-,-,"29,676,000","31,920,000","29,960,000",-,-,"50,000,000",-,"354,826,886","254,000,000"
土地取得費,"15,587,418","15,939,840","9,600,000",-,-,-,-,"29,676,000","31,920,000","29,960,000",-,-,"50,000,000",-,"354,826,886","254,000,000"
建物取得費,,０,"3,718,970",-,-,-,-,一,-,-,-,-,-,-,-,-
有価証券取得費,"69,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
豪雨等災害応急対策費,,"23,653,356",-,-,-,-,-,-,-,-,一,一,-,-,-,-
災害救助費,,"753,324",-,一,-,-,-,-,-,-,-,-,-,-,-,-
応急対策費,,"22,900,032",-,-,-,-,-,-,-,-,-,-,-,-,-,-
土地開発公社貸付金,,,,,,,,,,,,,,"200,000,000","200,000,000","200,000,000"
土地開発公社貸付金,,,,,,,,,,,,,,"200,000,000","200,000,000","200,000,000"
土地開発公社出資金,,,,,,,,,,"10,000,000",-,-,-,-,-,-
土地開発公社出資金,,,,,,,,,,"10,000,000",-,一,-,-,-,一
備荒資金組合納付金,,,,,,,,,,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000"
備荒資金組合納付金,,,,,,,,,,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000"
自動車損害賠償自家保障費,,,,,"226,703","208,860","6,698,455",-,-,-,-,-,-,-,-,-
自動車損害賠償自家保障費,,,,,"226,703","208,860","6,698,455",-,-,-,-,-,-,-,-,-
公営企業費,,,,"49,000,000","50,000,000","80,000,000","97,500,000","85,000,000","126,372,252","269,153,000","385,025,779","576,384,875","674,114,320","1,147,932,096","1,502,689,666","1,310,754,418"
市場事業費,,,,,,,,,,,,"61,019,000","66,800,000","104,290,000","133,994,000","146,988,000"
病院事業費,,,,"40,000,000","41,000,000","54,000,000","50,000,000","55,000,000","95,000,000","110,000,000","93,243,000","190,903,000","202,486,000","227,012,000","272,219,000","317,329,000"
水道事業費,,,,"5,000,000","5,000,000","6,000,000","6,500,000","9,000,000","10,000,000","12,000,000","25,000,000","30,000,000","33,100,000","25,100,000","42,170,000","45,810,000"
交通事業費,,,,"4,000,000","4,000,000","20,000,000","41,000,000","21,000,000","21,372,252","147,153,000","266,782,779","294,462,875","371,728,320","791,530,096","1,054,306,666","800,627,418"
大森町有財産費,,,,,,"550,000","6,800,000","7,050,000","8,342,000","9,900,000","11,749,000","5,900,000",-,-,-,-
大森町有財産貸付金,,,,,,"550,000","6,800,000","7,050,000","8,342,000","9,900,000","11,749,000","5,900,000",-,-,-,-
土地開発基金費,,,,,,"163,000,000","168,838,256","5,686,580","475,391","71,070,430","12,887,033","7,361,171","28,792,167","35,287,890","17,350,097","23,888,034"
土地開発基金積立金,,,,,,"163,000,000","168,838,256","5,686,580","475,391","71,070,430","12,887,033","7,361,171","28,792,167","35,287,890","17,350,097","23,888,034"
諸費,,,,,,,,,,,"36,881,000","37,500,400",-,"35,763,400","31,357,400","27,807,400"
建設工事特別措置費,,,,,,,,,,,"36,881,000","37,500,400",-,"35,763,400","31,357,400","27,807,400"
繰上充用金,,,,,,,,,,,,,"1,811,961,680",-,-,-
繰上充用金,,,,,,,,,,,,,"1,811,961,680",-,-,-
繰上充用金,,,,,,,,,,,,,"1,811,961,680",-,-,-
職員費,,,,,,,,,,,,,,"13,826,549,828","14,761,251,924","15,815,036,883"
職員費,,,,,,,,,,,,,,"13,826,549,828","14,761,251,924","15,815,036,883"
