,明治14.1-6,明治14,明治15,明治16,明治17,明治18,明治19,明治20,明治21,明治22,明治23,明治24,明治25,明治26,明治27,明治28,明治29
収入,,,,,,,,,,,,,,,,,
財産より生ずる収入,,,,,,,,,,,,,,,,,
貸地料,996.915,2674.482,3043.064,"3,313.751","3,425.826","2,462.014","3,133.346","2,479.093","2,229.658",832.493,"1,703.056","2,487.941","2,787.953","2,787.953","3,093.447","3,547.224","3,810.932"
貸家庫料,,,,,,,,,,36.000,27.000,3.000,"1,563.000","2,628.000","2,604.000","2,604.000","2,604.000"
預金利子,339.092,723.037,868.172,810.274,560.076,407.445,449.089,409.000,260.000,7.000,-,29.011,59.598,349.723,790.680,628.190,268.135
公債利子,,,,,,,,,,,,,,,,,
軽便軌道貸渡料,,,,,,,,,,,,,,,,,
土地（建物）売却代,,,,,,,,,,,,,,,,54.800,-
雑収入,,,,,,,,,,,,,,,,,
不用品売却代,,,,,,,,,,,,,,,,,
区有土地売却代,,,,,,,,,,,,,,,,,
区有土地売却代年賦金利于,,,,,,,,,,,,,,,,,
過年度収入,,,,,,,,,,,,,,,,,
火災保険金,,,,,,,,,,,,,,,,,
町会所諸収入（席料等）,,,,,,,,,,730.578,743.116,511.462,470.806,876.587,801.874,699.291,910.962
雑入,,,,,,,873.276,-,350.000,640.936,432.462,395.192,"4,919.045","1,938.821","1,571.527",528.439,"2,446.707"
前年度繰越金,,,,,,,,,,,,,,,,,
前年度繰越金,,,,,,,,,,,,,,,,,
基本財産特別会計繰入金,,,,,,,,,,,,,,,,,
基本財産支消補填金,,,,,,,,,,,,,,,,,
一般会計より補充金,,,,,,,,,,,,,,,,,
一般会計より補充金,,,,,,,,,,,,,,,,,
基本財産支消金,,,,,,,,,,,,,,,,,
基本財産支消金,,,,,,,,,,,,,,,,,
計,1336.007,3397.519,3911.236,"4,124.025","3,985.902","2,869.459","4,455.711","2,888.093","2,839.658","2,247.007","2,905.634","3,426.606","9,800.402","8,581.084","10,684.703","8,061.944","10,040.736"
支出,,,,,,,,,,,,,,,,,
蓄積金,,,,,,,,,,,,,,,,,
基本財産蓄積金,,,,,,,,,,,,,,,,,
繰入金,,,,,,,,,,,,,,,,,
雑支出　一般会計繰入金,,,,,,,,,,,,,,,,,
財産造成費,,,,,,,,,,,,,,,,,
財産造成費,,,,,,,,,,,,,,,,,
共有土地建物等管理費,155.429,346.812,257.399,"2,301.021",530.665,"1,866.487","1,098.680",235.550,187.821,"1,007.050","1,067.800","1,643.658","1,188.160","1,382.663","2,233.240","1,711.167","2,958.864"
町会所諸費,,,,,,,,,200.000,"1,046.634",947.456,"1,127.773","1,048.973","1,178.065",871.874,769.291,824.779
共有地建物等購入代,,,,,,,,,,,,,,,"3,043.987","10,508.648","4,260.426"
諸税,265.075,575.187,290.668,256.119,265.122,255.873,256.443,249.941,201.251,137.388,219.781,251.261,259.129,259.129,259.129,259.129,316.073
学資補助金等,500,1000,2500,"2,500.000","3,868.600","2,000.000","3,000.000",-,-,-,-,-,-,-,-,-,-
火災都市救助金,,,,,,,54.132,-,-,-,50.000,100.000,-,-,-,-,-
共有財産取扱手数料(113銀行）,,,,,,,∠16.456,276.800,300.000,45.830,23.690,40.674,53.060,6.978,14.561,-,-
雑費,,,,,,,,,,10.105,-,-,-,-,147.360,129.880,-
計,920.504,1921.999,3048.067,"5,057.140","4,429.887","4,122.360","4,455.711",762.291,889.072,"2,247.007","2,308.727","3,163.366","2,549.322","2,826.835","6,570.151","13,378.115","8,360.142"
収入一支出,415.503,1475.52,863.169,△933.115,△443.985,"△1,252.901","0,000","2,125.802","1,950.586",0.000,596.907,263.240,"7,251.080","5,754.249","4,114.552","△5,316.171",1.680.594
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
