,明治16,明治17,明治18,明治19,明治20,明治21,明治22,
収入,,,,,,,36.000,　　236.000　＊拝借金7
前年度越高,,,,,200.000,-,-,"　　　　　　　　㎜㎜■･=J"""
"明治15年度持越（明治13,14,15分）",2432,-,-,-,-,-,-,"2,432.000　返済額5,100円"
小学補助金の内繰替受込,310,180.000,444.000,200.000,-,-,200.000,1.134.000　返納残額2.540円
当年度寄付金,624,624.000,250.000,-,-,100.000,236.000,－　　　　7W･･㎜㎜㎜-=r　　7
合計,3366,804.000,694.000,200.000,200.000,100.000,-,
支出,,,,,,,-,"5,364.000　　納付完結"
"明治13,14年度分県庁へ上納",1658,-,-,-,-,-,-,"1,658.000"
前年度分県庁へ上納,854,-,-,-,-,-,236.000,854.000
当年度分県庁へ上納,854,804.000,-,-,-,-,-,1.658.000
道庁へ納付,,,694.000,-,-,-,236.000,-●　’－
教育積金繰替分戻入,,,,,200.000,64.000,0.000,
合計,3366,804.000,694.000,0.000,200.000,64.000,,"264,000･"
差引,0,0.000,0.000,200.000,0.000,36.000,,"5,364.000"
総計,,,,,,,,0.000
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
