,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８
収入,,,,,,,,,,,,,
財産より生ずる収入,"20,554.669","22,020.400","17,267.335","16,615.698","14,379.830",272.660,-,-,"1,392.000","11,485.000",-,-,"1,055.500"
貸地料,"13,178.783","13,817.723","13,311.823","13,456.846","14,379.830",272.660,-,-,-,-,-,-,-
貸家庫料,"2,274.100","1,580.380","1,455.700","1,388.800",-,-,-,-,-,-,-,~,-
預金利子,"3,182.540","5,318.270","1,335.940",682.470,-,-,-,-,-,-,-,-,-
公債利子,826.438,896.688,887.500,826.247,-,-,-,-,-,-,-,-,-
軽便軌道貸渡料,"1,092.808",407.339,276.372,261.335,-,-,-,-,-,-,-,-,-
土地（建物）売却代,-,一一,-,-,一,-,-,-,"1,392.000","11,485.000",-,-,"1,055.500"
雑収入,"208,969.923","12,042.945","3,608.824","1,571.234","1,935.347",456.425,880.211,577.000,822.000,357.000,"1,128.000",357.840,666.010
不用品売却代,"2,796.330","1,713.615",527.339,214.610,221.235,286.415,463.701,447.000,707.000,312.000,"1,058.000",327.840,636.010
区有土地売却代,"47,000.000","10,134.340","2,984.460",-,"1,714.112",-,-,-,-,-,-,-,-
区有土地売却代年賦金利子,"3,538.000",12.000,-,-,-,-,-,-,-,-,-,-,-
過年度収入,174.963,182.990,97.025,"1,287.164",-,170.010,185.622,55.000,20.000,45.000,70.000,30.000,30.000
火災保険金,"155,110.630",-,-,69.460,-,-,-,-,-,-,-,-,-
町会所諸収入（席料等）,-,-,-,-,-,-,-,-,-,-,-,-,-
雑入,350.000,-,-,-,一,-,230.888,75.000,95.000,-,-,-,-
前年度繰越金,,,,,,,,,,,"2,124.000",-,0.000
前年度繰越金,,,,,,,,,,,"2,124.000",-,-
基本財産特別会計繰入金,,,,"2,000.000",-,-,"2,000.000",-,"2,000.000","1,000.000",-,-,-
基本財産支消補填金,,,,"2,000.000",-,-,"2,000.000",-,"2,000.000","1,000.000",-,-,-
一般会計より補充金,,,,,,,,,,,,"36,860.470",-
一般会計より補充金,,,,,,,,,,,,"36,860.470",-
基本財産支消金,,,,,,,,,,"2,699.000",-,"7,800.000",-
基本財産支消金,,,,,,,,,,"2,699.000",-,"7,800.000",-
計,"229,524.592","34,063.345","20,876.159","20,186.932","16,315.177",729.085,"2,880.211",577.000,"4,214.000","15,541.000","3,252.000","45,018.310","1,721.510"
支出,,,,,,,,,,,,,
蓄積金,"147,547.496","12,253.399","4,595.468","5,403.932","2,518.697",627.000,"2,880.211",577.000,"3,805.000","1,358.000",595.000,-,"1,721.510"
基本財産蓄積金,"147,547.496","12,253.399","4,595.468","5,403.932","2,518.697",627.000,"2,880.211",577.000,"3,805.000","1,358.000",595.000,-,"1,721.510"
繰入金,"81,977.096","21,809.946","16,280.691","14,783.000","13,796.480",-,-,-,-,-,-,-,-
一般会計繰入金,"81,977.096","21,809.946","16,280.691","14,783.000","13,796.480",-,-,-,-,-,-,-,-
財産造成費,,,,,,,,,,"12,060.000",550.000,"44,659.510",-
財産造成費,,,,,,,,,,"12,060.000",550.000,"44,659.510",-
共有土地建物等管理費,-,-,-,-,-,-,-,-,-,-,-,-,-
町会所諸費,-,-,-,-,-,-,-,-,-,-,-,-,-
共有地建物等購入代,-,-,-,-,-,-,-,-,-,-,-,-,-
諸税,-,-,-,-,-,-,-,-,-,-,-,-,-
学資補助金等,-,-,-,-,-,-,-,-,-,-,-,-,-
火災都市救助金,-,-,-,-,-,-,-,-,-,-,-,-,-
共有財産取扱手数料（n3銀行）,-,-,-,-,-,-,-,-,-,-,-,-,-
雑費,-,-,-,-,-,-,-,-,-,-,-,-,-
計,"229,524.592","34,063.345","20,876.159","20,186.932","16,315.177",627.000,"2,880.211",577.000,"3,805.000","13,418.000","1,145.000","44,659.510","1,721.510"
差引（収入一支出）,0.000,0.000,0.000,0.000,0.000,102.085,0.000,0.000,409.000,"2,123.000","2,107.000",358.800,0.000
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
