,明治19,明治20,明治21,明治22,明治23,明治24,明治25,明治26,明治27,明治28,明治29,明治30,明治31,明治32.4-9,32.10-33.3
教育蓄積金,小学補助金,,,,,,,,,,,,,,
収入,↓,,,,,,,,,,,,,,
前年度越高,"3,100.663","3,873､332","4,063.125",∠t503.238,"4,503.238","4,503.238","4,808.130","5,009.810","5,416.542",-,"3,420.857","2,375.012","3,986.539","4,396.071","5,896.071"
付属地貸下料,,,,,,"1,144.174",一,-,-,-,-,-,-,-,-
･｣ヽ学校費収支残,,,,,,,201.680,406.732,310.806,-,"1,166.457",-,-,-,-
本年度蓄積金,,,,,,,,,,,,"1,584.200",-,"1,500.000",-
雑入,,,,,,,,,,,,,92.260,-,一
寄付金,,,300.000,-,-,-,-,-,-,-,-,-,-,-,-
道庁補助金,606.216,-,-,-,-,-,-,-,-,-,-,-,-,-,-
預金利子,166.453,189.793,242.291,200.083,194.861,238.163,-,-,-,-,53.561,27.327,317.272,-,10.917
合計,"3,873.332","4,063.125","4,605.416","4,703.321","4,698.099","5,885.575","5,009.810",",416.542","5,727.348",,"4,640.875","3,986.539","4,396.071","5,896.071","5,906.988"
支出,,,,,,,,,,,,,,,
本年度小学校費に支出,,,102.178,200.083,194.861,"1,077.445",-,-,-,-,-,-,-,-,-
女子高等小移転費,,,,,,,,,"1,500.000",-,-,-,-,-,-
付属小校舎払下代,,,,,,,,,362.000,-,-,-,-,-,-
元大蔵省官舎地払下代,,,,,,,,,444.491,-,-,-,-,-,-
合計,,,102.178,200.083,194.861,"1,077.445",-,-,"2,306.491",-,一,-,-,-,-
差引残,"3,873.332","4,063.125","4,503.238","4,503.238","4,503.238","4,808.130","5,009.810","5,416.542","3,420.857",-,"4,640.875","3,986.539","4,396.071","5,896.071","5,906.988"
内,,,,,,,,,,,,,,,
函館港改良工事費繰替,,,,,,,,,,,,,"4,244.446","4,244.446","4,244.446"
道庁拝借金返納繰替,264.000,64.000,-,-,-,-,-,-,-,-,-,-,-,-,-
私立一貫小貸付金,280.000,215.000,203.000,173.000,137.000,101.000,80.000,56.000,26.000,-,-,-,-,-,-
窃取金,,,,,,,,,,,"2,705.251",-,-,-,-
損害利子,,,,,,,,,,,396.965,-,-,-,-
内　償還金,,,,,,,,,,,△836.353,-,-,-,-
銀行預入分,"3,329.332","3,784.125","4,300.238","4,330.238","4,366.238","4,707.130","4,929.810","5,360.542",3.394.857,-,"2,375.012","3,986.539",151.625,"1,651.625","1,662.542"
公立小学校費,,,,,,,,,,,,,,,
収入,,,,,,,,,＊！,j治30より区l,1一般へ,,,,
授業料,,,,,,"5,442.313","5,768.813","6,780.286","7,297.865","5,970.400","6,623.825",,,,
弥生学校,,,,,,"2,852.813","2,991.113","3,081.866","3,168.577","2,569.275","2,894.575",,,,
宝学校,,,,,,"2,589.500","2,777.700","2,867.445","2,968.288","2,177.175","2,293.700",,,,
女子高等小学校,,,,,,,,830.975,"1,161.000","1,223.950","1,435.550",,,,
附属地貸付料,,,,,,"1,144.174","1,499.718","1,480.927","1,596.582","1,579.345","2,088.930",,,,
附属舎貸付料,,,,,,,,,7.258,"90,000",-,,,,
教育積金利子,,,,,,238.163,247.794,236.407,74.674,0.000,"0,000",,,,
寄付金,,,,,,,4.129,-,-,6.667,-,,,,
区費補助,,,,,,,,"1,770.905","1,661.876","3,118.831","11,096.340",,,,
不用品払下代,,,,,,1.010,-,-,-,5.100,-,,,,
雑入,,,,,,,,3.556,-,-,-,,,,
没収金,,,,,,,,19.597,-,-,-,,,,
合計,,,,,,"6,825.660","7,520.454","10,291.678","10,638.255","10,770.343","19,809.095",,,,
支出,,,,,,,,,,,,,,,
弥生小学校費,,,,,,"3,139.972","3,366.099","3,282.646","4,440.781","3,906.226","4,896.357",,,,
宝小学校費,,,,,,"3,162.641","3,372.929","4,164.094","3,684.991","4,067.677","3,767.743",,,,
女子高等小学校費,,,,,,,,"1,942.442",1.939.131,"2,489.713","2,469.423",,,,
公立小学校附属地諸費,,,,,,218.335,579.746,410.704,262.546,262.546,"7,553.296",,,,
合計,,,,,,"6,520.948","7,318.774","9,799.886","10,327.449","10,726.162","18,686.819",,,,
収支,,,,,,304.712,201.680,491.792,310.806,44.181,"1,122.276",,,,
函館女学校費,,,,,,,,,,,,,,,
創立費,,,600.000,,,一,-,,,,,,,,
収入の部,,,,,,＊昭和26よ,公立小学校j,1へ,,,,,,,
授業料,,,,,,912.750,"1,084.260",,,,,,,,
手工品販売料,,,,,,69.270,105.035,,,,,,,,
区費補給,,,,,,"1,115.950",728.287,,,,,,,,
前年度女学校費残,,,,,,,77.595,,,,,,,,
合計,,,600.000,,,"2,097.970","1,995.177",,,,,,,,
支出の部,,,,,,,,,,,,,,,
俸給,,,,,,"1,290.985","1,607.792",,,,,,,,
雑給,,,2.950,,,475.298,198.010,,,,,,,,
校費,,,183.403,,,227.827,186.005,,,,,,,,
修繕費,,,413.647,,,26.265,3.370,,,,,,,,
合計,,,600.000,,,"2,020.375","1,995.177",,,,,,,,
収支差引,,,0.000,,,77.595,0.000,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
