,R1.4-23.3,明治23,明治24,明治25,明治26,明治27,明治28,明治29,明治30,明治31,32.4-32.9,32.10-33.3,明治33,明治34,明治35,明治38,明治39,明治40,明治41,明治42,明治43
収入,＊これ以前,については冫,頌,,,,,,,,,,,,,,,,,,
前年度より越高,"14,843.216","11,838.948","12,435.855","12,699.095","17,110.668","21,320.578","24,272.079","18,944.906","20,025.500","21,082.548","21,627.530",26.968.798,"60,807.923","13,663.913","1,596.200","45,227.741","13,819.801","15,863.027","180,004.190","62,109.659","35,457.667"
元育児基本金前年度越高,,,,,,,,,,,,,,,,,,"16,593.667","12,253.399",-,-
当該年度蓄積金,,,,,,,,,"6,203.412","5,528.062","4,247.643",-,-,196.200,-,409.560,"1,568.956","147,547.496",-,"4,595.468","5,403.932"
当座預金利子,,,,,,,,,298.088,184.810,"1,093.625",65.500,77.953,-,14.110,"3,582.500",474.270,-,-,-,-
前年度調査費決算残,,,,,,,,,195.877,-,-,-,-,-,-,-,-,-,-,-,-
国債整理公債交換割増額面,,,,,,,,,,,,,,,,,,,"1,650.000",-,-
同上調整現金,,,,,,,,,,,,,,,,,,,15.000,-,-
共有土地売却代,"56,669.048",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
同入札取消徴収金,33.792,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
通常共有金収支残額,"1,950.586",596.907,263.240,"4,403.287",3.659.910,"2,951.501",-,"1,080.594",-,-,-,-,-,-,-,-,-,-,-,-,-
通常共有金収支繰替分,,,,,550.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
旧貸付金整理残金,,,,219.371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災保険金,,,,,,,,,,,,,"15,916.000",-,-,-,-,-,-,-,-
水道起業費剰余金返戻の分,"3,080.066",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
旧亀田村引継高,,,,,,,,,,,,"1,430.346",-,-,-,-,-,-,-,-,-
計,"76,576.708","12,435.855","12,699.095","17,321.753","21,320.578","24,272.079","24,272.079","20,025.500","26,722.877","26,795.420","26,968.798",28.464.644,76.801.876,"13,860.113","1,610.310","49,219.801","15,863.027","180,004.190","193,922.589","66,705.127","40,861.599"
支出,,,,,,,,,,,,,,,,,,,,,
水道起業費へ補給,"41,250.671",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-●,-,-
旧貸付金棄損払,"1,992.342",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区費へ補給,"11,197.874",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
汐見町配水池用地買入費,814.068,-,-,-,-,-,-,-,"5,000.000",-,-,-,-,-,-,-,-,-,-,-,-
若松町水面埋立費,,,,,,,,,400.000,-,-,-,-,-,-,-,-,-,-,-,-
共有土地建物売却諸費,,,,,,,,,240.329,-,-,-,-,-,-,-,-,-,-,-,-
水道用品代繰替払切,,,,,,,,,,"1,419.242",-,-,-,-,-,-,-,-,-,-,-
防火機械購入費繰替払切,,,,,,,,,,"1,507.500",-,-,-,-,-,-,-,-,-,-,-
明治29区費建物割不足額繰替払切,,,,,,,,,,"2,241.148",-,-,-,-,-,-,-,-,-,-,-
改良火葬場新築費,"1,999.650",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
