,明治25,明治26,明治27,明治28,明治29,明治30,明治31,明治32.4-9,32.10-33.3,明治33,明治34,明治35,明治36,明治37,明治38,明治39
育児費,,,,,,,,,,,,,,,,
歳入の部,,,,,,,明治30-33 1,1は区費一般,,,,,,,,
育児費,,"1,038.092","1,207.735","1,207.875","1,243.368",,,,,,-,-,-,-,-,-
付属地貸下料,,603.354,601.651,691.111,718.121,,,,,,-,-,-,-,-,-
付属舎貸下料,,,74.400,128.326,115.663,,,,,,-,-,-,-,-,-
水道公借金利子,,192.938,180.688,168.438,156.188,,,,,,-,-,-,-,-,-
公債証書利子,,45.000,45.000,45.000,22.500,,,,,,-,-,-,-,-,-
預ヶ金利子,,,125.996,"0,000",55.896,,,,,,-,-,-,-,-,-
水道公借償還金,,175.000,175.000,175.000,175.000,,,,,,-,一,-,-,-,-
寄付金,,,5.000,-,-,,,,,,-,-,-,-,-,-
未納分収入,,21.800,-,-,-,,,,,,-,-,-,-,-,-
財産より生する収入,,,,,,,,,,,"1,300.526","1,823.840","1,434.650","1,721.003","2,210.089","2,391.915"
貸地料,,,,,,,,,,,"1,079.588","1,221.372","1,286.902","1,283.647",1.367.445,"1,412.027"
貸家料,,,,,,,,,,,81.000,0.000,-,-,-,-
預貸付金利子,,,,,,,,,,,139.938,127.688,115.438,437.356,727.738,843.688
建物売却代,,,,,,,,,,,,451.200,-,-,-,-
雑入,,,,,,,,,,,,23.580,-,ー,-,-
過年度収入,,,,,,,,,,,,,32.310,-,114.906,136.200
前年度繰越金,,,,,,,,,,,623.495,-,-,-,-,-
前年度繰越金,,,,,,,,,,,623.495,-,-,-,-,-
合計,,"1,038.092","1,207.735","1,207.875","1,243.368",,,,,,"1,924.021","1,823.840","1,434.650","1,721.003","2,210.089","2,391.915"
歳出の部,,,,,,,,,,,,,,,,
育児費,,296.467,276.134,397.073,520.792,,,,,,"1,924.021","1,823.840","1,434.650","1,721.003","2,210.089","2,391.915"
育児諸費,,270.262,249.929,370.868,490.235,,,,,,702.720,806.570,818.450,990.825,"1,203.420","1,152.945"
養育費,,238.008,244.329,365.418,482.895,,,,,,696.000,800.610,812.000,980.450,"1,192.535","1,145.525"
吊祭(育児死亡者)費,,10.850,5.600,5.450,7.340,,,,,,6.720,5.960,6.450,10.375,10.885,7.420
付属地修繕,,21.404,-,-,-,,,,,,-,-,-,-,-,-
諸税,,26.205,26.205,26.205,26.207,,,,,,32.756,32.750,32.780,152.860,414.900,414.890
地租((827-29地方税含),,26.205,26.205,26.205,26.207,,,,,,21.837,21.850,21.850,141.940,403.980,403.980
地方税,,,,,,,,,,,10.919,10.900,10.930,10.920,10.920,10.910
特別基本財産造成費,,,,,,,,,,,"1,188.545",984.520,583.420,577.318,591.769,824.080
育児資金蓄積費,,,,,,,,,,,"1,188.545",984.520,583.420,577.318,591.769,824.080
合計,,296.467,276.134,397.073,520.792,,,,,,"1,924.021","1,823.840","1,434.650","1,721.003","2,210.089",2.391.915
育児特別基本金,,,,,,,,,,,,,,,,
収入,,,,,,,,,,,,,,,,
元育児会社より引継高,"5,644.732",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
貸地料未納引継高,51.120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前年度越高,,"5,640.052","6,184.877",-,"6,921.458","6,285.441","6,815.289","7,695.855","8,204.185","8,303.929","8,769.135","10,423.440","11,974.470","13,202.070","14,931.668","15,764.167"
育児費収支残,,544.825,736.581,635.802,547.576,-,-,-,-,-,-,-,一,一,-,-
本年度蓄積金,,,,,,460.723,560.068,283.740,-,-,"1,188.545",984.520,583.420,577.318,591.769,824.080
利子,,,,,,69.125,249.358,224.590,99.744,465.206,465.760,566.510,644.180,395.280,20.330,5.420
国庫債券額面額との差額,,,,,,,,,,,,,,757.000,190.000,-
国庫債券割引高,,,,,,,,,,,,,,,30.400,-
雑入,,,,,22.500,-,71.140,-,-,-,-,-,-,-,-,-
合計,"5,695.852","6,184.877","6,921.458",-,8.127.336,"6,815.289","7,695.855","8,204.185","8,303.929","8,769.135","10,423.440","11,974.470","13,202.070",14.931.668,"15,764.167","16,593.667"
未収残,41.820,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
支出,,,,,,,,,,,,,,,,
育児預り料,55.800,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-
差引,"5,640.052","6,184.877","6,921.458",-,"8,127.336","6,815.289","7,695.855","8,204.185","8,303.929","8,769.135","10,423.440","11,974.470","13,202.070","14,931.668","15,764.167","16,593.667"
内,,,,,,,,,,,,,,,,
水道起業公借証書,"2,800.000","2,625.000","2,450.000",-,"2,100.000","1,925.000","1,750.000","1,662.500","1,575.000","1,400.000","1,225.000","1,050.000",875.000,700.000,525.000,350.000
整理公債証書,900.000,900.000,900.000,-,900.000,900.000,900.000,900.000,900.000,900.000,900.000,900.000,900.000,900.000,900.000,900.000
国庫債券,,,,,,,,,,,,,200.000,13.100.000,"10,000.000","10,000.000"
臨時事件費債券,,,,,,,,,,,,,,,"3,800.000","3,800.000"
窃取金,,,,,"2,652.086",-,-,-,-,-,-,-,-,-,-,-
損害利子,,,,,9.725,-,-,一,-,-,-,-,-,-,-,-
内　償還金,,,,,△819.916,-,-,-,-,-,-,-,-,-,-,-
銀行預入分,"1,898.232","2,639.857","3,571.458",-,"3,285.441","3,990.289","5,045.855","5,641.685","5,828.929","6,469.135","8,298.440","10,024.470","11,227.070",231.668,539.167,"1,543.667"
貸地料未納高,41.820,20.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
