,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和11,昭和12,昭和13,昭和14,昭和15,昭和16,昭和17,昭和18,昭和19,昭和20,昭和21
歳入の部,,,,,,,,,,,,,,,,,,,,,,
使用料及手数料,"216,983.540","318,750.460","314,692.130","328,961.490","345,256.040","410,800.310","430,009.250","404,612.370","396,141.660","336,287.040","292,888.830","433,023.390","477,889.910","480,027.66","485,886.38","514,403.26","546,573.88","585,543.70","613,874.62","671,740.49","622,728.96","3,458,050.68"
使用料,"211,566.240","313,115.860","311,167.730","322,797.170","333,490.470",405.326.210,"422,317.920","396,337.490","386,197.910","325,908.680","285,027.420","431,277.140","476,988.690","479,368.97","485,043.64","513,933.69","546,093.96","585,042.00","613,124.17","671,031.47","622,451.86","3,454,418.58"
手数料,"5,417.300","5,634.600","3,524.400","6,164.320","11,765.570","5,474.100","7,691.330","8,274.880","9,943.750","10,378.360","7,861.410","1,746.250",901.220,658.69,842.74,469.57,479.92,501.70,750.45,709.02,277.10,"3,632.10"
工費収入,"69,484.590","76,321.020","54,836.500","57,853.800","60,304.370","75,633.680","119,633.440","43,528.800","47,263.820","37,337.760","142,598.040","182,036.010","353,148.730",152.039.28,"182,402.64","141,918.16","100,172.31","131,950.75","165,755.94","134,633.97","133,330.48","706,387.96"
給水工費収入,"69,484.590","76,321.020","54,836.500","57,853.800","60,304.370","75,633.680","119,633.440","43,528.800","47,263.820","37,337.760","142,598.040","182,036.010","353,148.730","152,039.28","182,402.64","141,918.16","100,172.31","131,950.75","165,755.94","134,633.97","133,330.48","706,387.96"
補助金,"90,000.000","60,000.000","56,000.000","3,000.000","1,000.000","1,000,000","1,000,000","1,000.000","2,000,000","3,000.000","3,000.000","10,000.000","2,000.000","2,000.00","10,000.00","12,563.20","20,000.00","30,000.00","72,733.00",-,-,-
国庫補助金,"90,000.000","60,000.000","56,000.000","3,000.000",1.000.000,"1,000.000","1,000.000","1,000.000","2,000.000","3,000.000","3,000.000","10,000.000","2,000.000","2,000.00","10,000.00","12,563.20","20,000.00","30,000.00","72,733.00",-,-,-
市債,"1,041,000.000","1.959,900.000",-,"1,843,700.000","448,900,000","200,000.000",-,"417,400.000",-,"3,531,500.000",0.000,"270,000.000","200,000.000",-,"180,000.00",0.00,"120,000.00","96,600.00",0.00,0.00,-,-
市債,"1,041,000.000","1,959,900.000",一一,"1,843,700.000","448,900.000","200,000.000",-,"417,400.000",-,"3,531,500.000",0.000,"270,000.000","200,000,000",-,"180,000.00",0.00,"120,000.00","96,600.00",0.00,0.00,-,-
雑収入,"3,600.200","51,165.830","9,658.020","26,457.440","15,236.330","13,101.570","14,228.370","4,864.650","22,788.160","14,134.290","51,248.850",23.144.390,"6,432.780","7,424.44","5,565.01","6,619.56","17,281.57","9,120.17","9,442.39","48,825.29","11,943.49","46,902.16"
雑入,"3,600.200","40,818.190","2,241.210","1,489.120",261.590,"5,039.810","1,176.200",876.760,"11,078.120","3,537.980","33,870.030","5,130.570","5,409.830","6,113.48","5,407.55","6,610.91","17,271.80","9,120.17","9,442.39","48,825.29","11,943.49","46,902.16"
過年度収入,,"10,347.640","7,416.810","24,514.920","11,754.740","8,061.760","13,052.170","3,987.890",11710.040,"10,596.310",17.378.820,"18,013.820","1,022.950","1,310.96",157.46,8.65,9.77,-,-,-,-,-
歳計一時預金利子,,,,453.400,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上水協議会費交付金,,,,,"3,220.000",-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-
繰越金,,"30,028.980","3,275.780",0.000,-,-,"4,159.310","5,115.930","373,813.890","343,003.520",-,"2,576.490","109,765.170","52,323.70",0.00,"107,474.79","108,072.05","110,205.45","159,777.21","249,575.63","648,651.44","326,833.44"
前年度繰越金,,"30,028.980","3,275.780",0.000,-,-,"4,159.310","5,115.930","373,813.890",343.003.520,-,"2,576.490","109,765.170","52,323.70",0.00,"107,474.79","108,072.05","110,205.45","159,777.21","249,575.63","648,651.44","326,833.44"
寄付金,,"6,341.300","2,896.350",0.000,0.000,600.000,"2,738.350",0.000,0.000,0.000,-,450.000,0.000,300.00,0.00,-,-,-,-,"524,200.00",-,-
指定寄付金,,"6,341.300","2,896.350",0.000,0.000,600.000,"2,738.350",0.000,0.000,0.000,-,450.000,0.000,300.00,0.00,-,-,一,-,"524,200.00",-,-
繰入金,,,"25,244.〔)00","28,500.000","9,300.000",-,-,-,-,-,-,-,-,"8,000.00",-,-,-,-,-,-,-,-
一般会計より,,,"25,244.000",-,-,-,-,-,-,-,-,-,-,"8,000.00",-,-,-,-,-,-,一,-
特別会計社会事業資金より,,,,"28,500.000","9,300.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
次年度歳入繰上金,,,"31,982.310","38,167.480",32.159.200,-,-,-,-,"154,038.000","237,057.690",-,-,"31,616.08",-,-,一,-,-,-,-,-
合　計,"1,421,068.330","2,502,507.590","498,585.090","2,326,640.210","912,155.940","701,135.560","571,768.720","876,521.750","842,007.530","4,419,300.610","726,793.410","921,230.280","1,149,236.590","733,731.16","863,854.03","782,978.97","912,099.81","963,420.07","1,021,583.16","1,628,975.38","1,416,654.37","4,538,174.24"
歳出の部,,,,,,,,,,,,,,,,,,,,,,
経常部,,,,,,,,,,,,,,,,,,,,,,
水道費,"136,822.180","202,866.840","181,938.600","179,403.220","183,845.570","236,498.380","278,217.400","216,857.100",193.610.930,"208,414.180","308,757.410","343,297.180","627,757.530","325,889.21","351,719.70","336,877.38","312,063.11","313,618.91","349,648.19","465,876.22","674,462.69","3,579,100.67"
給料,"17,254.960","20,259.890","27,417.950","31,291.890","27,824.220","25,402.500","31,288.830","33,396.000","34,015.310","33,211.010","33,507.560","38,788.320","41,136.040","42,121.27","42,630.00","48,617.80","51,870.85","56,165.70","60,312.27","68,993.26","77,543.67","521,415.24"
雑給,"27,229.940","50,213.560","51,672.600","47,027.000","46,296.190","48,317.200","53,334.140","51,847.900","50,617.770","48,486.420","48,444.210","49,263.080","48,261.330","55,356.49","58,792.98","75,005.69","80,057.26","88,473.01","115,904.47","214,805.11","386,894.76","1,509,411.45"
需用費,"7,774.950","9,982.740","5,556.200","5,206.240","6,352.020","5,389.780","10,321.340","11,364.500","6,556.850",8.979.160,"8,140.740","11,105.710","13,496.080","15,325.29","16,931.13","16,928.01","18,061.85","18,410.43","22,773.63","20,630.23","27,383.38","235,397.50"
保存費,"14,338.940","44,858.330","32,365.190","35,617.880","36,280.770","40,555.920","41,475.530","36,101.620","35,011.960","33,958.220","29,345.260",36.362.570,"44,953.250","39,144.63","44,608.08","45,270.65","51,738.49","51,936.42","51,879.32","48,483.35","83,508.09","447,111.29"
給水工事費,"70,223.390","70,681.240","63,149.910","57,254.660","64,867.720","109,866.710","136,906.570","81,255.720","65,830.070","78,722.260","184,996.210","207,452.920","479,540.540","172,316.25","184,309.66","147,950.18","93,916.08","75,348.39","87,421.44","82,661.56","98,947.45","865,485.46"
雑支出,,"6,871.080","1,776.750","3,005.550","2,224.650","6,966.270","4,890.990","2,891.360","1,578.970","5,057.110","4,323.430",324.58,370.290,"1,625.28","4,447.85","3,105.05","16,418.58","23,284.96","11,357.06","30,302.71",185.34,279.73
臨時部,,,,,,,,,,,,-,-,-,-,-,,,,,,
水道費,"2,187.980","86,∠136.540","13,066.150","8,727.880",12.312.920,"4,629.210","26,605.820","35,475.680","22,950.800","12,536.080","17,125.010","12,524.540","12,449.050",51.656.82,"58,051.41","23,407.27","19,969.77","67,767.29","47,155.48","32,488.44","24,873.72","255,791.65"
事業費,"2,187.980","16,595.120","13,066.150","7,737.880","3,906.900","4,629.210","26,605.820","35,475.680","22,950.800","12,536.080","17,125.010","12,524.540","12,449.050","51,656.82","58,051.41","23,407.27","19,969.77","67,767.29","47,155.48","32,488.44","24,873.72","255,791.65"
水質試験所新設費,,,,990.000,"8,406.020",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
船舶給水事業買収費,,"69,841.420",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-
公債費,"1,252,029.190","2,209,928.430","303,580.340","2,106,081.740","669,140.970","203,835.700","233,295.790","233,231.010","263,140.200","4,188,806.040","201,517.890","213,683.030","228,969.400","236,111.38","252,690.34","263,356.27","259,791.97","268,891.62","276,643.92","257,005.09","258,581.21","301,982.93"
公債,"1,252,029.190","2,209,928.430","303,580.340","2,106,081.740","669,140.970","203,835.700","233,295.790","233,231.010","263,140.200","4,188,806.040","201,517.890","213,683.030","228,969.400",236.111.38,"252,690.34","263,356.27","259,791.97","268,891.62","276,643.92","257,005.09","258,581.21","301,982.93"
（特会）社会事業資金戻入金,,,,445.060,"7,689.000","9,275.780","8,933.780","8,591.780","8,249.780","2,207.790",-,-,-,-,-,-,-,-,-,-,~,-
（特会）社会事業資金戻入金,,,,445.060,"7,689.000","9,275.780","8,933.780","8,591.780","8,249.780","2,207.790",-,-,-,-,-,-,-,-,-,-,-,-
繰入金,,,,,,,"5,000.000","7,250.000","7,500.000",0.000,-,"2,178.970","6,733.420","8,235.06","4,500.00","13,500.00","3,600.00","18,100.00",-,"6,500.00","8,783.00",-
一般会計繰入金,,,,,,,"5,000.000","7,250.000",7.500.000,0.000,-,-,"3,510.000","4,500.00","4,500.00","4,500.00",-,-,-,-,-,-
（特会）温泉費繰入金,,,,,,,,,,,,,,,,"9,000.00","3,600.00","18,100.00",-,"6,500.00","8,783.00",-
（特会）復興事業費繰入金,,,,,,,,,,,,"2,178.970","3,223.420","3,735.06",-,-,-,-,-,-,-,-
財産買入費,,,,,,,,"1,302.290","3,552.300","7,336.520","3,219.310","5,561.300","25,104.920","10,269.91","2,279.26","3,406.95","23,448.46","8,113.05","18,688.57",249.50,-,"48,069.50"
土地買入費,,,,,,,,"1,302.290","3,552.300","7,336.520","3,219.310","5,561.300","25,104.920","10,269.91","2,279.26","3,406.95","23,448.46","8,113.05","18,688.57",249.50,-,"48,069.50"
補助金,,,,,,,,,,,200.000,-,-,-,-,-,-,-,-,-,-,-
補助金,,,,,,,,,,,200.000,-,-,-,-,-,-,-,-,-,-,-
寄付金,,,,,,,,,,,,,,,457.75,347.00,"347,00",-,-,-,-,-
寄付金,,,,,,,,,,,,,,,457.75,347.00,"347,00",-,一,-,-,-
