,明治40,明治41,明治42,明治43,明治44,大正元,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12
歳入の部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
財産ヨリ生ズル収入,"20,554.669","22,020.400","17,267.335","16,615.698","14,379.830",272.660,ー,-,"1,391.720","11,485.000",-,-,"1,055.500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
貸地料,"13,178.783","13,817.723","13,311.823","13,456.846","14,379.830",272､660,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
貸家庫料,"2,274.100","1,580.380","1,455.700","1,388.800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
貸付金利子,"3,182.540","5,318.270","1,335.940",682.470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
公債利子,826.438,896.688,887.500,826.247,-,-,-,-,-,-,-,-,-,~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
軽便軌道貸渡料,"1,092.808",407.339,276.372,261.335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,一,-,-,-,-,-,-,-,-
土地（建物）売却代,,,,,,,,,"1,391.720","11,485.000",-,-,"1,055.500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
雑収入,"208,969.923","12,042.945","3,608.824","1,571.234","1,935.347",456.425,880.211,577.125,821.835,357.930,"1,127.010",357.840,666.010,3.528.320,"1,663.170",210.730,176.490,"1,454.810",140.910,712.680,172.670,100.720,610.840,963.420,434.780,412.780,1.741.020,611.320,51.050,1.158.520
不用品売却代,"2,796.330","1,713.615",527.339,214.610,221.235,286.415,463.701,446.979,707.335,312.930,"1,057.010",327.840,636.010,"3,498.320","1,580.670",210.730,176.490,"1,454.810",140.910,712.680,172.670,100.720,610.840,963.420,434.780,412.780,"1,741.020",611.320,51.050,1.158.520
区有土地売却代,"47,000.000","10,134.340","2,984.460",-,"1,714.112",-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区有土地売却代年賦,"3,538.000",12.000,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
過年度収入,174.963,182.990,97.025,"1,287.164",-,170.010,185.622,55.290,20.000,45.000,70.000,30.000,30.000,30.000,82.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災保険金,"155,110.630",-,-,69.460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-
雑入,350.000,-,-,-,-,-,230.888,74.856,94.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-
前年度繰越金,,,,,,,,,,,"2,123.110",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前年度繰越金,,,,,,,,,,,"2,123.110",-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-
基本財産特別会計繰入金,,,,"2,000.000",-,-,"2,000.000",,"2,000.000","1,000.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本財産支消補填金,,,,"2,000.000",-,-,"2,000.000",,"2,000.000","1,000.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
