,明治44,大正元,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正11.4-7,11.8-12.3,大正12,大正13,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12,昭和13,昭和14
歳入の部,,,,,,,,,,,,,,,,,,,,,,,,,,,,
諸収入,252.470,527.790,549.290,565.610,581.650,566.130,582.390,615.830,623.110,640.990,652.020,268.400,413.820,687.320,704.030,803.340,795.860,794.810,859.990,871.320,922.430,912.050,929.090,932.000,911.890,915.460,931.27,933.09
資本より生ずる収入,252.470,527.790,549.290,565.610,581.650,566.130,582.390,615.830,623.110,640.990,652.020,268.400,413.820,687.320,704.030,803.340,795.860,794.810,859.990,871.320,922.430,912.050,929.090,932.000,911.890,915.460,931.27,933.09
寄付金,,,,,,,,,,400.000,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
寄付金,,,,,,,,,,400.000,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区引継金,,,,,,,,,,,,,"13,129.660",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合計,252.470,527.790,549.290,565.610,581.650,566.130,582.390,615.830,623.110,"1,040.990",652.020,268.400,"13,543.480",687.320,704.030,803.340,795.860,794.810,859.990,871.320,922.430,912.050,929.090,932.000,911.890,915.460,931.27,933.09
歳出の部,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慈恵費　大正11ｮﾘ施薬救療費,61.050,381.700,261.850,412.800,537.950,190.300,147.450,587.300,603.500,432.990,479.130,0.000,"13,543.480",687.320,704.030,803.340,795.860,794.810,859.990,871.320,922.430,912.050,929.090,932.000,911.890,915.460,931.27,933､09
施薬救療費,61.050,381.700,261.850,412.800,537.950,190.300,147.450,587.300,603.500,432.990,479.130,0.000,74.050,349.100,393.400,324.600,220.200,0.000,0.000,"0,000",0.000,0.000,494.480,499.200,500.000,510.000,496.80,494.98
資金繰入金,,,,,,,,,,,,,"13,469.430",338.220,310.630,478.740,575.660,794.810,859.990,871.320,922.430,912.050,434.610,432.800,411.890,405.460,434.47,438.11
合計,61.050,381.700,261.850,412.800,537.950,190.300,147.450,587.300,603.500,432.990,479.130,0.000,"13,543.480",687.320,704.030,803.340,795.860,794.810,859.990,871.320,922.430,912.050,929.090,932.000,911.890,915.460,931.27,933.09
差引（歳入一歳出）,191.420,146.090,287.440,152.810,43.700,375.830,434.940,28.530,19.610,608.000,172.890,268.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
