,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38
寄付金,,,,,,,,,,,,,,,,"150,000"
寄付金,,,,,,,,,,,,,,,,"150,000"
寄付金,,,,,,,,,,,,,,,,"150,000"
雑収入,"768,112","5,865,418","8,645,766","1,302,911","1,841,010","4,025,372","3,639,839","6,660,505","5,974,466","3,622,025","4,018,277","10,529,020","10,916,451","9,790,132","11,463,857","9,282,178"
雑入,"768,112","4,253,703","6,675,971","1,302,911","1,841,010","3,499,141","3,591,583","6,570,157",5.974.466,"3,622,025","4,018,277","10,529,020","10,916,451","9,790,132","11,463,857","9,282,178"
物品売払収入,"3,679","115,033","45,516","58,580","168,255","122,642","30,944","438,442","112,379","128,578","135,970","986,483","1,000,214","1,653,827","1,141,382","1,804,331"
雑入,"763,067","2,837,604","5,929,340",760.214,"1,113,450","1,207,002","1,617,159","1,628,535","1,846,811","1,077,181","1,266,313","1,731,126","2,049,306","1,482,193","1,567,975","1,412,835"
過年度収入,,"1,363,606","640,405","392,872","339,959","1,866,995","1,498,977","3,736,298","3,241,398","1,592,004","1,802,234","6,732.206","6,605,298","5,168,716","7,670,024","6,065,012"
恩給納付金,,"47,460","60,711","91,244","219,346","302,502","444,503",766.882,"773,878","824,262","813,760","1,079,205","1,261,633","1,485,396","1,084,476",-
弁償金,"1,366",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
貸付金戻入,,"1,611,716","1,969,795",０,-,"526,231",48.256,"90,348",-,-,-,-,-,-,-,一
貸付金戻入,,"1,611,716","1,969,795",０,-,"526,231","48,256",90.348,-,-,一,-,-,-,-,-
市債,,,,,,,,,"50,000,000","100,000,000","60,000,000","80,000,000","75,000,000","65,000,000","75,000,000","80,000,000"
市債,,,,,,,,,"50,000,000","100,000,000","60,000,000","80,000,000","75,000,000","65,000,000","75,000,000","80,000,000"
市債,,,,,,,,,"50,000,000","100,000,000","60,000,000","80,000,000","75,000,000","65,000,000","75,000,000","80,000,000"
次年度歳入繰上金,,,,,"1,000,338",-,-,-,-,-,-,-,-,-,-,-
歳入合計,"41,166,154","73,406,085","80.197,235","95,131,601","121.086,410","139,550,472.02","154,219,396","163,198,660","200,815,293","295,856,919","255,895,524","319,114,741","356,668,905","400,358,173","492,384,058","493,295,391"
歳出の部,,,,,,,,,,,,,,,,
病院費,"36,726,112","63,781,430","67,542,669","91,482,257","116,260,601","127,053,566","134,583,707","159,147,507","185,962,206","288,570,583","238,604,782","296,461,180","321,617,667","359,309,174","442,225,110","459,321,113"
病院費昭和34ｮﾘ函館病院費,"36,726,112","54,142,539","67,542,669","91,482,257","116,260,601","127,053,566","134,583,707","159,147,507","141,170,156","143,577,544","155,283,338","170,238,889","193,022,428","218,162,742","275,103,498","296,907,126"
職員基本給他,"36,726,112","54,142,539","67,542,669","91,482,257","116,260,601","127,053,566","134,583,707","159,147,507","141,170,156","143,577,544","155,283,338","170,238,889","193.022,428","218,162,742","275,103,498","296,907,126"
諸費,,,,,,,,,,"6,926ぶ〕7","7,022,008","6,889,250","6,826,357","6,102,323","10,480,764","12,997,698"
恩給退職年金及び退職一時金,,,,,,,,,,"6,926,107","7,022,008","6,889,250","6,826,357","6,102,323","10,480,764","12,997,698"
病院改築費,,,,,,,,,"44,792,050","138,066,932","76,299,436","80,491,132","76,962,343","83,241,698","94,163,518","82,313,683"
病院改築費,,,,,,,,,"44,792,050","138,066,932","76,299,436","80,491,132","76,962,343","83,241,698","94,163,518","82,313,683"
営繕費,,"9,638,891",-,-,-,-,-,-,-,-,-,-,-,-,-,-
維持修繕費,,"7,010,715",-,-,-,-,-,-,-,-,-,-,-,-,-,-
新営改築費,,"2,628,176",-,-,-,-,-,-,-,-,-,-,-,-,-,-
柏木病院費,,,,,,,,,,,,"31,440,438","37,361,115","43,517,056","54,383,348","58,218,568"
職員基本給他,,,,,,,,,,,,"31,440,438","37,361,115","43,517,056","54,383,348","58,218,568"
康生病院費,,,,,,,,,,,,"7,318,217","7,334,992","8,193,809","7,991,200","8,774,743"
職員基本給他,,,,,,,,,,,,"7,318,217","7,334,992","8,193,809","7,991,200","8,774,743"
赤川診療所費,,,,,,,,,,,,"83,254","110,432","91,546","102,782","109,295"
職員基本給他,,,,,,,,,,,,"83,254","110,432","91,546","102,782","109,295"
財産費,"108,768","17,300","22,400","3,700",-,-,-,-,-,-,-,-,-,-,-,-
積立金,"16,200","17,300","22,400","3,700",-,-,-,-,-,-,-,-,-,-,-,-
積立金,"16,200","17,300","22,400","3,700",-,-,-,-,-,-,一,-,-,-,-,-
財産管理費,"92,568",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
財産管理費,"92,568",-,-,-,-,-,-,-,-,-,ー,-,-,-,-,-
諸支出金,"40,377","1,873,361","2,262,785","1,553,311","2,062,329","1,546,220","1,397,361","469,808","2,180,291","347,160","483,192","539,864","555,595","544,500","557,193","558,288"
