,昭和13,昭和14,昭和15,昭和16,昭和17,昭和18,昭和19,昭和20,昭和21,昭和22
歳入の部,,,,,,,,,,
諸収入昭和19ｮﾘ基本財産収入,"1,671.16","1,792.04","1,689.36","1,659.85","1,783.78","1,739.09","1,744.63","4,093.28","6,422.35","7,317.63"
積立金支消金,,"2,120.00",-,ー,-,-,-,-,-,-
繰入金,,"2,837.32",-,-,-,-,-,-,-,-
繰越金,"2,155.98",-,680.75,363.02,292.91,466.93,749.32,918.10,3.085.04,"7,417.89"
雑収入,,,,,,,,10.46,0.00,0.00
合計,"3,827.14","6,749.36","2,370.11","2,022.87","2,076.69","2,206.02","2,493.95","5,021.84","9,507.39","14,735.52"
歳出の部,,,,,,,,,,
財産管理費,"1,360.45","1,138.32","1,657.09","1,729.96","1,609.76","1,456.70","1,575.85","1,936.80",2.089.50,"5,496.60"
換地積算徴収納付金,,"4,930.29",-,-,-,-,-,-,-,-
積立金,"2,466.69",-,0.00,-,-,-,-,-,-,-
交付金,,,350.00,-,-,-,-,-,-,-
合計,"3,827.14","6,068.61","2,007.09","1,729.96","1,609.76","1,456.70","1,575.85","1,936.80","2,089.50","5,496.60"
差引（歳入一歳出）,0.00,680.75,363.02,292.91,466.93,749.32,918.10,"3,085.04",7.417.89,"9,238.92"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
