,明治25,明治26,明治27,明治28,明治29,明治30,明治31,#632.4-9,^32.10-33.3
区立病院維持蓄積金,,,,,,,,,
前年度越高,,"3,291.800","7,322.219",201.020,"1,835.846","7,108.566",10.811.750,"11,192.167","11,230.471"
預金利子,,36.128,162.523,183.072,25.184,208.132,338.727,-,23.635
前年度病院費残金,656.868,-,-,-,-,-,-,-,-
本年度病院費残金,"2,634.932","3,994.291",838.497,"1,432.665","4,392.600",-,-,-,-
天然痘予防費前年決算残,,,,,,13.555,41.690,38.304,-
清潔法施行費前年決算残,,,,,,18.880,-,-,-
病院増築費前年決算残,,,,,,9.572,-,-,-
本年度蓄積金,,,,,,"5,680.845",-,-,-
木村邦崇現金保管分受入,,,,,3.308,-,-,-,-
訴訟諸費繰替金戻入,,,,,800.000,-,-,-,-
償還金,,,,,51.628,-,-,-,-
合計,"3,291.800","7,322.219","8,323.239","1,816.757","7,108.566","13,039.550","11,192.167","11,230.471","11,254.106"
内,,,,,,,,,
両病院増築費として支出,,,"7,322.219",-,-,-,-,-,-
若松町水面堙立費繰替,,,,,,,"10,869.101",10.869.101,10.869.101
訴訟諸費として繰替支出,,,800.000,-,-,-,-,-,-
天然痘予防費として支出,,,,,,"2,227.800",-,-,-
現金及銀行預人分,"3,291.800","7,322.219",201.020,"1,816.757","7,108.566","10,811.750",323.066,361.370,385.005
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
