,大正元,大正２,大正３,大正４,大正５,大正７,大正８,大正９,大正10,大正11.4-7,大正11.8-12.3,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和ｎ,昭和12,昭和13,昭和14,昭和15,昭和16,昭和17,昭和18,昭和19,昭和20,昭和21
歳入の部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使用料,,,,,,,,,,,,,,,,,"335,040.550","323,903.840","284,285.700","272,410.130","317,450.570","390,528.400","346,139.970","399,925.260","430,960.06","483,676.91","509,112.56",556.750.80,"602,360.72","717,302.97","845,789.75","899,390.15","3,136,998.32"
入院料,"49,918.300","46,757.000","46,828.000","47,293.100","54,385.700",70.997.000,102.248.200,87.795.700,86.771.000,30.423.500,71.344.200,"138,160.900","140,746.900","147,472.300","156,228.300",154.536.000,"155,080.900","155,828.500","126,196.000","120,279.200","140,887.680","169,802.160","145,520.600","172,795.200","185,202.13","211,333.41","218,001.22",228.481.10,-,278.821.54,"319,440.48","351,755.23","1.187,728.44"
薬価収入,"43,328.440","41,060.000","37,176.130","39,889.230","45,673.230",59.777.920,－　胛㎜　㎜,,,,,"113,918.590","140,317.540","42,308.190","47,916.310","50,948.040","55,724.520","51,746.510","43,124.540","36,573.600","41,107.760",48.718.900,"40,398.480","42,172.800","45,780.31","53,802.05","55,581.54","62,848.08",-,"64,781.56","62,757.83","85,528.39","312,266.13"
処置料及手術料　昭和4ｮﾘ処置料,,,,,,79.750.390,88.820.450,㎜㎜F㎜㎜㎜㎜㎜㎜,,,,,,"91,478.500","104,642.390","111,606.050","83,823.930","80,820.430","83,059.190","85,592.680","100,545.990","130,073.270","114,980.780","128,792.990","136,564.58","148,956.85","165,219.65","193,823.52",-,"272,882.16","340,654.15","328,628.06","1,134,801.23"
手術料,,,,,,,,,,,,,,,,,"31,017.200","26,762.400","23,910.210","22,888.650","26,893.420","31,026.600","35,934.740","45,861.080","51,735.17","56,476.60","56,948.74",57.546.32,-,82.354.39,"96,709.32","100,595.23",382.663.12
診察料,,,,,,-･㎜㎜㎜㎜㎜㎜,,,,,,,,,,,"9,394.000","8,746.000","7,995.760","7,076.000","8,015.720","10,907.470","9,305.370","10,303.190","11,677.87","13,108.00","13,361.41","14,051.78",-,"18,463.32","26,227.97","32,883.24","119,539.40"
手数料,,,,,,,,,,,,,,,,,"1,267.500","1,287.000","1,202.500","1,070.500","1,036.750","1,325.000","1,285.530","1,921.530","2,124.90","2,393.32","3,089.95","3,391.37","3,733.82","5,112､19","8,660.46","11,680.97","22,380.16"
処方箋料,,,,,,122.468.480,,,,,,,,,,,379.000,500.000,432.000,367.000,232.500,313.500,136.500,203.500,210.68,238.30,615.00,865.90,-,807.41,663.38,694.63,1.313.86
診断書料,,,,,,,,,,,,,,,,,888.500,787.000,770.500,703.500,"804,250","1,011.500","1,149.030","1,718.030","1,914.22","2,155.02","2,474.95",2.525.47,-,4.304.78,7.997.08,10.986.34,21.066.30
