,明治30,明　治　31,明治32.4-32.9,明治32.10-33.3,明　治　33,明　治　34,明治35,明治36,明　治　37,明　治　38,明　治　39,明　治　40,明治43,明　治　44,大　正　元,大　正　２,大　正　３,大　正　４,大　正　５,大　正　６,大　正　７,大　正　８,大　正　９,大　正　10
教育費,"17,082.356","6,245.284","1,168.910","1,297.390","21,742.131","7,303.795","10,463.525","68,736.949","9,141.221","35,955.612","44,982.156","22,069.390","37,645.879","16,430.749","25,028.511","74,629.542","72,151.769","5,914.040","6,782.340","43,215.110","145,218.100","141,806.060","157,146.890","25,072.970"
寄付金,,,,,,,,,,,"12,500.000",10.000.000,-,-,-,-,-,-,-,-,-,-,-,-
修繕費,,,,,,,,,,,,,,,,,,,258.210,"1,220.600","21,855.240","4,233.170",777.000,968.280
設備費,,,,,,,,,,,,,,,,,,,,,,,709.740,"1,088.420"
建築費,17.082.356,"6,245.284","1,168.910","1,297.390","21,742.131","7,303.795","10,463.525","68,736.949","9,141.221","35,955.612","32,482.156",12.069.390,"37,645.879","16,430.749","25,028.511","74,629.542","72,151.769",5.914.040,"6,524.130","41,994.510","123,362.860","137,572.890","155,660.150","23,016.270"
新営費,,,,,,,,,,,,,,,,,,,,,,,,"3,877.270"
庁舎改築費,,,,,,,,,,,,,,,,,,,,,,,,"3,877.270"
小学校舎増築費,,,,,,,,,,,,,,,,,,,,,,,,
火防設備費,,,,,,,,,,,,,,,,,,,,,,,,
工業補習学校費,,,,,,,,,,,,,,463.750,300.475,-,-,-,一,-,-,-,"62,206.570",-
設備費,,,,,,,,,,,,,,463.750,300.475,-,-,-,-,-,-,-,"62,206.570",-
実業学校費,,,,,,,,,,,,,,,,,,,,,,,,"18,664.720"
工業学校費,,,,,,,,,,,,,,,,,,,,,,,,"18,664.720"
病院費,,,"3,229.842",59.000,703.855,"14,430.603",1.563.805,-,-,20.638.208,7.073.991,-,"1,212.630","9,432.524",-,-,-,-,-,-,-,-,-,-
建築及設備費,,,"3,229.842",59.000,703.855,"14,430.603",1.563.805,-,-,"－f’’－
20.638.208","f　－ －’－
7.073.991",-,"1,212.630","9,432.524",-,-,-,-,-,-,-,-,-,-
雑支出,,,73.840,502.570,851.395,"4,099.755",578.905,528.571,788.743,499.013,5.049.117,2.749.820,-,-,-,193.500,947.548,500.000,35.231.320,"5,680.700",3.024.760,-,"13,576.860",-
土地買収及建物移転費,,,,,,,,－　　一一,一一　一一,－　一一,－一一一一,－Ｆ －’㎜㎜㎜,,,,,,,9.983.390,"5,680.700",-,-,-,-
寄付費,,,,,,,,,,,,,,,,,,,17.500.000,-,-,-,-,-
移転料,,,,,,,,,,,,,,,,,,,"7,281.900",-,-,-,-,-
登録税,,,,,,,,,,,,,,,,,,,466.030,-,-,-,-,-
区有財産管理費(含登録税),,,,502.570,851.395,1.601.575,-,-,340.000,-,673.420,-,-,-,-,-,947.548,500.000,-,-,305.450,-,-,-
物揚場諸費,,,,,,,,,,,"3,361.810","2,749.820",-,-,-,-,-,-,-,-,-,-,-,-
工事監督費,,,,,,,,242.766,446.043,164.407,624.487,-,-,-,-,-,-,-,-,-,-,-,-,-
建物買収費,,,,,,,,194.625,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
国道修理費,,,,,,,,-,-,-,-,-,-,-,-,-,ー,-,-,-,"1,500.000",-,-,-
点灯設備費,,,,,,,283.280,-,-,-,-,-,-,-,-,-,-,-,-,-,920.000,-,-,-
公園費,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,299.310,-,-,-
徴発費,,,,,,,,52.830,2.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
建築費,,,73.840,-,-,-,-,-,-,334.606,-,-,-,-,-,-,-,-,-,-,-,-,-,-
一時借入金利子,,,,,,,,,,,389.400,-,-,-,-,-,-,-,-,-,-,-,-,-
五稜郭管理費,,,,,,,,,,,,,,,,,,,,,,,"2,169.800",-
国勢調査費,,,,,,,,,,,,,,,,,,,,,,,"11,407.060",-
午報賽,,,,,,,295.625,38.350,-,一,-,-,-,-,-,193.500,-,-,-,-,-,-,-,-
船舶管理費,,,,,,108.180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
グラブ購入費,,,,,,"2,390.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本財産造成費,,,,,,,,,43.564.∠110,409.560,1.568.956,-,-,-,-,-,-,-,-,-,-,-,-,-
基本財産造成費,,,,,,,,,43.564.410,409.560,1.568.956,-,-,-,-,-,-,-,-,-,-,-,-,-
