,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
歳入の部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寄付金,"602,000","100,000","100,000","100,000","370,000","187,200","182,000","279,000","1,157,000","226,040","1.346,000","202,000","293,000","218,100","1,262,000","886,000","400,000","208,000","190,000","360,000","260,000","305,000","910,000","690,000","1,620,000","990,000","940,000","1,440,000","1,160,000","2,060,000"
繰入金,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,500,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","8,000,000","10,000,000"
繰越金,,"1,469,800","1,793,400","2,047,833","1,794,306","1,547,739","1,109,730","830,617","1,078,038","2,549,853","3,129,281","4,630,239","4,798,648","4,853,287","4,636,706","5,653,019","5,996,917","5,961,724","6,204,566","6,049,269","6,493,949","6,469,825","6,569,811","6,801,797","7,374,009","9,575,221","10,769,813","12,191,182","9,322,344","6,640,126"
諸収入,,,"23,833","39,473","43,433","40,791","88,887","172,521","289,190","362,038","471,318","688,108","871,338","1,046,418","1.425,645","1,328,018","1,624,968","2,045,834","2,012,373","2,207,380","2,321,481","2,891,056","2.899,801","2,990.882","4,357,130","4,387,526","4,607,851","5,355,109","5,140,277","5,677,869"
歳入合計,"1,602,000","2,569,800","2,917,233","3,187,306","3,207,739","2,775,730","2,380,617","2,282,138","3,524,228","4,137,931","5,946,599","6,520,347","6,962,986","7,117,805","8,324,351","8,867,037","9,021,885","9,215,558","9,406,939","9,616,649","10,075,430","10,665,881","12,879,612","17,482,679","20,351,139","21,952,747","23,317,664","25,986,291","23,622,621","24,377,995"
歳出の部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奨学費,"132,200","776,400","869,400","1,393,000","1,660,000","L,666,000","1,550,000","1,204,100","974,375","1,008,650","1,316,360","1,721,699","2,109,699","2,481,099","2,671,332","2,870,120","3,060,161","3,010,992","3,357,670","3.122,700","3,605,605","4,096,070","6,077,815","10,108,670","10,775,918","11,182,934","11,126,482","16,663,947","16,982,495","17,756.399"
管理費,,,,,,,,,,,,,,"33,099","40,332","26,120","68,161","82,992","99,670","94,700","119,605","142,070","141,815","144,670","215,918","230,934","230,482","211,947","202,495","244,399"
奨学金,"125,100","776,400","868,400","1,392,000","1,660,000","1,666,000","1,548,000","1.200,000","969,000","996,000","1,308,000","1,698,000","2,088,000","2,448,000","2,631,000","2,844,000","2,992,000","2,928,000","3,258,000","3,028,000","3,486,000","3,954,000","5,936,000","9,964,000","10,560,000","10,952,000","10,896,000","16,452,000","16,780,000","17,512,000"
委員報酬,,,,,,,"2,000","3,500","2,500","8,500","3,000","3,500","3,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
需用費,"7,100",０,"1,000","1,000",-,０,０,600,"2,875","3,150","5,360","20,199","18,699",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
過年度支出金,,,,,,,,,,"1,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-
歳出合計,"132,200","776,400","869,400","1,393,000","1,660,000","L,666,000","1,550,000","1.204,100",974.375,"1,008,650","1,316,360","1,721,699","2,109,699","2,481,099","2,671,332","2,870,120","3,060,161","3,010,992","3,357,670","3,122,700","3,605,605","4,096,070","6,077,815","10,108,670","10,775,918","11,182,934","11,126,482","16,663,947","16,982,495","17,756,399"
差引（歳入一歳出）,"1,469,800","1,793,400","2,047,833","1,794,306","1,547,739","1,109,730","830,617","1,078,038","2,549,853","3,129,281","4,630,239","4,798,648","4,853,287","4,636,706","5,653,019","5,996,917","5,961,724","6,204,566","6,049,269","6,493,949","6,469,825","6,569,811","6,801,797","7,374,009","9,575,221","10,769,813","12,191,182","9,322,344","6,640,126","6,621,596"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
