,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
物揚場整備費,,,,,,"49,894,000",-,-,-,-,"28,400,000",-,-,-,-,-
けい船浮標整備費,,,,,,,,,,,"27,790,000","35,210,000","35,752,000",-,-,-
環境整備事業費,,,,,,,,,,,"1,000,000","18,764,880","14,889,000","55,630,300",-,-
海員水産会館整備費,,,,,,"14,686,393",-,-,-,-,-,,"37,859,864","46,304,540","46,505,100","44,628,071"
荷役機械整備費,,,,,,,,,,,,,,,"167,500,000",-
船舶建造費,,,,,,,,"8,400,000",-,-,-,-,-,-,-,-
側線踏切構造改善事業費,,,,,"2,692,029",-,-,-,-,-,-,-,-,-,-,-
航路改修費,"991,410","986,766","999,918","384,095",-,-,-,-,-,-,-,-,-,-,-,-
改修費,"991,410",986.766,"999,918","384,095",-,-,-,-,-,-,-,-,-,-,-,-
物揚場整備費,"46,700,000","14,493,211","26.024,495","25,727,886",-,-,-,-,-,-,-,-,-,-,-,一
物揚場改修事業費,"29,700,000","14,493,211","26,024,495","25,727,886",-,-,-,-,-,-,-,-,-,-,-,-
物揚場用地造成事業費,"17,000,000",-,-,-,-,-,-,-,-,一,-,-,-,-,-,一
臨港道路整備費,"12,530,999","23,618,715","22.775,279","36,407,841",-,-,-,-,-,-,-,-,-,-,-,-
臨港道路改修事業費,"2,640,000","23,618,715","22,775,279","36,407,841",-,-,-,-,-,-,-,-,-,-,-,-
木材取扱施設道路新設事業費,"9,890,999",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
けい船浮標整備費,"5,737,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
木材取扱施設けい船浮標設置事業費,"5,737,000",-,-,一,-,-,-,-,一,-,-,-,-,-,一,-
ふ頭整備費,"34,650,000","363,096,989","105,137,538","51,531,007",-,-,-,-,-,-,-,-,-,-,-,-
北浜ふ頭整備費負担金,"34,650,000","39,616,657","18,617,870","51,531,007",-,-,-,-,-,-,-,-,-,-,-,-
北浜ふ頭用地造成事業費,０,"323,480,332","86,519,668",-,-,-,-,-,-,-,-,-,-,-,-,-
公共用地整備費,,,"66,327,076","86,285,986",-,-,-,-,-,-,-,-,-,-,-,-
港地区公共用地整備費,,,"66,327,076","86,285,986",-,-,-,-,-,-,-,-,-,-,-,-
海岸保全整備費,,,,"14,508,371","20,841,629","14,831,769","16,810,000","11,880,000","16,822.395","21,761,017","9,890,000","9,890,000","14,844,072","19,760,000","35,650,000","29,700,000"
港湾海岸保全施設整備事業費,,,,"9,700,239","14,844,000","14,831,769","16,810,000","11,880,000","16,822.395","21,761,017","9,890,000","9,890,000","14.844,072","19,760,000","35,650,000","29,700,000"
漁港海岸保全施設整備事業費,,,,"4,808,132","5,997,629",-,-,-,-,-,-,-,-,-,-,-
漁港設整備費,,,,"3,677,881","8,860,672",-,-,-,-,-,-,-,-,-,-,-
函館漁港設整備費負担金,,,,"3,677,881",-,-,-,-,-,-,-,-,-,-,-,-
函館漁港設整備費,,,,,"4,880,672",-,-,-,-,-,-,-,-,-,-,-
住吉漁港設整備費,,,,,"3,980,000",-,-,-,-,-,-,-,-,-,-,-
臨海土地造成事業費,,,,,"42,376,265","24,046,621",-,-,-,-,-,-,-,-,-,-
臨海土地造成事業費,,,,,"42,376,265","24,046,621",-,-,-,-,-,-,-,-,-,-
上屋整備費,"63,840,000","3,954,290",-,０,０,０,０,-,-,-,-,-,-,-,-,-
魚類荷捌上屋建設費,"63,840,000","3,954,290",-,０,０,０,C）,-,-,-,-,-,-,-,-,-
海岸防災事業費,,"8,368,193",-,-,-,-,-,-,-,-,-,-,-,-,-,-
海岸防災事業費,,"8,368,193",-,-,-,-,-,-,-,-,-,-,-,-,-,-
港湾災害復旧費,"2,258,000","534,889","3,081,000",-,"46,720,765","61,250,276","31,797,000",-,-,-,-,-,-,-,-,-
港湾災害復旧事業費,"2,258,000","534,889","3,081,000",-,-,"61,250,276","31,797,000",-,-,-,-,-,-,-,-,-
応急復旧費,,,,,"11,491,765",-,-,-,-,-,-,-,-,-,-,-
災害復旧費,,,,,"35,229,000",-,-,-,-,-,-,-,-,-,-,-
職員費,,,,,,,,,,,,,,"250,148,279","228,018,908","240,235,075"
一般部局職員費,,,,,,,,,,,,,,"250,148,279","228,018,908","240,235,075"
公債費,"40,052,332","37,125,964","71,055,203","88,861,805","102,118,515","105,434,363","107,374,009","111,419,542","112,971,936","118,511,172","145,031,992","132,475,104","128,034,499","138,214,033","162,320,419","229,350,295"
元金,"27,308,015","18,590,264","34,638,306","49,832,066","64,482,486","66,899,413","71,370,317","75,149,865","79,281,583","74,822,728","86,513,316","66,999,860","52,255,415","46,107,644","55,772,115","91,139,182"
利子,"12,744,317","18,535,700","36,416,897","39,029,739","37,636,029","38,534,950","36,003,692","36,269,677","33,690,353","43,688,444","58,518,676","65,475,244","75,779,084","91,403,868","106,039,445","137,990,659"
公債諸費,,,,,,,,,,,,,,"702,521","508,859","220,454"
歳出合計,"257,339,798","511,352,198","367,808,207","387,624,482","529,577,517","509,891,604","525,013,410","499,128,369","801,158,342","704,521,249","821,577,927","781,693,266","802,715,490","901,974,615","1,243,405,812","1,503,507,854"
差引（歳入一歳出）,"4,000,000","16,519,668",０,０,"6,662,734","3,572,009","12,347,489","6,661,204","13,622,165","56,220,898","2,368,526",０,０,"11,600,491","21,509,385","15,138,714"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
