,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
歳入の部,,,,,,,,,,,,,,,,,,,
分担金及び負担金,"17,825,047","24,050,046","29,220,959","32,503,773","34,945,076","39,063,933","31,871,165","35,959,770","41,695,617","39,598,039","45,194,561","51,924,801","56,366.993","61,155,533","67,554,104","28,808,580","31,278,424","35,479,886","32,254,283"
負担金,"17,825,047","24,050,046","29,220,959","32,503,773","34,945,076","39,063,933","31,871,165","35,959,770","41,695,617","39,598,039","45,194,561","51,924,801","56,366,993","61,155,533","67,554,104","28,808,580","31,278,424","35,479,886","32,254,283"
使用料及び手数料,"11,255,116","14,745,525","18,850,705","21,950,703","26,581,678","32,382,092","35,596,516","38,011,987","41,489,353","45,669,188","49,162,581","52,267,058","76,854,438","93,292,447","108,104,354","239,318,485","314,032,694","332,029,286","361,554,506"
使用料,"11,135,403","14,591,815","18.632,988","21,740,831","26,254,568","31,924,242","35,168,756","37,617,277","41,075,073","45,296,968","48,753,951","51,919,048","76,704,388","93,145,787","107,667,924","239,095,575","313,889,354","331,942,296","361,483,946"
手数料,"119,713","153,710","217,717","209,872","327,110","457,850","427,760","394,710","414,280","372,220","408,630","348,010","150,050","146,660","436,430","222,910","143,340","86,990","70,560"
国庫支出金,"50,000,000","55,000,000","63.000,000","70,000,000","84,000,000","89,960,000","111,285,000","120,000,000","140,000,000","180,000,000","276,000,000","334,530,777","527,486,695","577,660,634","650,749,999","637,474,200","968,073,900","1,367,100,406","1,036,355,558"
下水道事業費補助金,"50,000,000","55,000,000","63,000,000","70,000,000","84,000,000","89,960,000","111,285,000","120,000,000","140,000,000","180,000,000","276,000,000","334,530,777","527,486,695","577,660,634","650,749,999","637,474,200","968,073,900","1,367.100,406","1,036,355,558"
繰入金,"72,153,048","64,040,160","75.257,054","99,224,203","107,541,460","126,544,985","156,000,000","174,625,000","210,000,000","296,670,000","389,263,000","438,359,000","614,850.000","665,866,223","727,656,978","722,671,000","832,804,000","942,943,000","1,272,137,000"
一般会計繰入金,"72,153,048","64,040,160","75,257,054","99,224,203","107,541,460","126,544,985","156,000,000","174,625,000","210,000,000","296,670,000","389,263,000","438,359,000","614,850,000","665,866,223","727,656,978","722,671,000","832,804,000","942,943,000","1,272,137,000"
諸収入,"24,927,142","33,502,935","33,409,841","38,583,601","40,071,960","39,710,326","21,181,122","13,664,412","13,049,942","7,060,524","8,223,490","14,217,473","17,167,936","97,076,362","171,357,603","616,380,499","421,449,623","503,978,468","538,515,313"
恩給納付金,"105,056",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
延滞金,,,,,,,,,,,,"98,381","51,770","6,303","3,388","1,224",633,52.914,600
貸付金収入,,,,,,,,,,,,,"16,339,770","96,858,670","144,811,749","170,180,045","141,907,752","141,604,972","179,454,033"
