,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
収益的収入,,,,,,,,,,,,,
温泉供給事業収益聆51ｮﾘ事業収益,"24,163,107","33,222,519","37,655,673","44,675,644","47,829,427","45,745,660","45,559,599","47,159,526","67,063,835","222,530,555","230,524,445","222,631,970","229,256,242"
営業収益,"23,574,516","32,649,206","36,726,987","43,433,307","46,121,063","44,418,975","44,869,221","46,499,390","66,288,054","219,994,164","228,271,798","217,455,960","226,306,562"
営業外収益,"588,591","573,313","928,686","1,242,337","1,708,364","1,326,685","690,378","660,136","775,781","2,536,391","2,000,872","2,160,583","2,949,680"
特別利益,,,,,,,,,,,"251,775","3,015,427",-
公衆浴場事業収益,"19,623,242","16,943,384","16,415,907","19,368,238","19,307,659","24,170,176","25,217,837","43,744,400","56,623,185",-,-,-,-
営業収益,"19,437,370","16,912,982","16,356,647","19,317,791","19,261,859","24,119,486","24,833,462","43,263,868","56,139,750",-,-,-,-
営業外収益,"185,872","30,402","59,260","50,447","45,800","50,690","384,375","480,532","483,435",-,-,-,-
炭酸製造事業収益,"11,651,414","13,047,852","12,689.978","11,403,339","15,346,704","16,812,210","24,413.310","34,192,321","43,236,388",-,-,-,-
営業収益,"10,755,014","12,263,392","12,400,268","11,350,429","15,316,704","16,812,210","24,413,310","34,192,321","43,236,388",-,-,-,-
営業外収益,"896,400","784,460","289,710","52,910","30,000",-,-,-,-,-,-,-,-
熱帯植物園事業収益,,,,"5,248,666","7,014,822","8,405,505","8,472,141","8,627,245","8,594,641",-,-,-,-
営業収益,,,,"5,248,666","7,014,822","8,405,505","8,472,141","8,627,245","8,594,641",-,-,-,-
合計,"55,437,763","63,213,755","66,761,558","80,695,887","89,498,612","95,133,551","103,662,887","133,723,492","175,518,049","222,530,555","230,524,445","222,631,970","229,256,242"
期間外収益,,,,"3,395,621","2.710,978","4,720,229","1,816,504",74.838,-,"63,827",-,-,-
総　計,"55/437,763","63,213,755","66,761,558","84,091,508","92,209,590","99.853,780","105,479,391","133,798,330","175,518,049","222,594,382","230,524,445","222,631,970","229,256,242"
収益的支出,,,,,,,,,,,,,
温泉供給事業費肆51ｮﾘ事業費,"14,697,253","17,559,920","19,893,304","24,903,114","33,644,579","39,762,656","42,096,116","45,592,652","59,667,143","208,892,213","208,915,862","220,289,809","223,460,647"
営業費用,"14,097.253","16,969,158","19,033,150","23,530,436","28,590,250","32,040,984","37,707,161","38,330,508","48,370,149","186,821,433","191,982,455","205,718,724","206,573,619"
営業外費用,"600,000","590,762","860,154","1,372,678","5,054,329","7,721,672","4,388,955","7,262,144","11,296,994","22,070,780","16,933,407","14,571,085","16,887.028"
特別損失,,,,,,,,,,,,,
公衆浴場事業費,"22,240,144","18,943,533","23,294,712","26,677,618","30,711,974","27,256,474","33,858,344","43,673,708","45,673,592",-,-,-,-
営業費用,"22,240,144","18,943,533","22,264,712","25,647,618","29,681,974","26,226,474","29,012,171","37,088,758","39,860,592",-,-,-,-
営業外費用,,,"1,030,000","1,030,000","1,030,000","1,030,000","4,846,173","6,584,950","5,813,000",-,-,-,-
