,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
出資金,,,"11,000,000",-,一,-,-,-,-,-,-,-,-
出資金,,,"11,000,000",-,-,-,-,-,-,-,-,-,-
支出合計,"10,364,422","18,814,905","53,986,013","88,626,150","89,326,626","49,537,530","56,542,773","57,394,264","31,921,290","24,376,182","45,451,546","32,394,877","133,196,237"
収支（収益一費用）,"△10,364,422","△18,814,905","16,013,987","△88,050,893","△88,846,624","△48,801,679","△55,075,777","△57,394,264","△31,921,290","△24,365,854","△45,451,546","△32,336,429","△133,196,237"
翌年度繰越額,,,"46,687,062",-,-,-,-,-,-,-,-,-,-
不足額補填資金,"10,364,422","18,814,905","30,673,075","88,050,893","88,846,624","48,801,679","55,075,777","57,394,264","31,921,290","24,365,854","45,451,546","32,336,429","133,196,237"
当年度損益勘定留保資金,"5,266,998","6,715,688","9,624,708","9,396,384","10,704,041","11,362,859","12,472","11,509,596","21,668,723","12,243,326","27,389,993","28,713,426","34,858,286"
過年度損益勘定留保資金,,"869,068",-,-,-,"6,007,916","1,816,504","6,476,834","8,118,608","12,122,528",-,-,-
繰越工事資金,,,,"46,687,062",-,-,-,-,-,-,-,-,-
建設改良積立金,,"4,845,848","8,663,264",-,-,-,-,-,-,-,-,-,-
減債積立金,,,,,"610,000",-,-,-,-,-,-,-,-
一時借入金,,,"841,222","20,389,888","77,532,583","31,430,904","53,246,801","39,407,834","2,133,959",-,-,"1,400,842","92,832,356"
利益剰余金,"5,097,424","6,384,301","11,543,881","11,577,559",-,-,-,-,-,-,"18,061,553","2,222,161","5,505,595"
貸借対照表,,,,,,,,,,,,,
資産の部,,,,,,,,,,,,,
固定資産,"123,712,701","129,775,340","175,363,871","246,046,438","309,134,144","335,383,038","365,901,343","393,691,863","395,640,860","384,428,947","397,996,650","401,619,653","499,957,604"
流動資産,"14,530,494","17,192,014","57,320,953","17,636,497","15,520,656","14,059,980","23,311,585","23,899,232","36,801,345","32,061,197","33,697,720","33,849,831","36,886,460"
繰延勘定,"787,988","6,824,566","5,597,340","4,265,702","2,934,702","1,603,702","301,000","2,731,150","1,731,150","381,150",-,-,-
資産合計,"139,031,183","153,791,920","238,282,164","267,948,637","327.589,502","351,046,720","389,513,928","420,322,245","434,173,355","416,871,294","431,694,370","435,469,484","536,844,064"
負債の部,,,,,,,,,,,,,
流動負債,"2,611,045","1,524,217","3,860,580","31,253,074","107,279,816","138,773,711","194,795,283","241,267,598","256,303,670","234,603,010","232,692,503","234,125,456","329,704,441"
負債合計,"2,611,045","1,524,217","3,860,580","31,253,074","107,279,816","138,773,711","194,795,283","241,267,598","256,303,670","234,603,010","232,692,503","234,125,456","329,704,441"
資本の部,,,,,,,,,,,,,
資本金,"124,320,076","134,263,348","219,310,913","221,551,214","224,435,203","215,131,633","205,828,063","196,524,493","187,220,923","177,917,353","174,621,994","195,130,577","197,352,738"
自己資本金,"124,320,076","134,263,348","149,310,913","160,854,794","173,042,353","173,042,353","173,042,353","173,042,353","173,042,353","173,042,353","174,621,994","195,130,577","197,352,738"
借入資本金,,,"70,000,000","60,696,420","51,392,850","42,089,280","32,785,710","23,482,140","14,178,570","4,875,000",,,
剰余金,"12,100,062","18,004,355","15,110,671","15,144,349","△4,125,517","△2,858,624","△11,109,418","△17,469,846","△9,351,238","4,350,931","24.379,873","6,213,451","9,786,885"
資本剰余金,"1,626,790","1,626,790","1,626,790","1,626,790","1,626,790","1,627,790","2,771,290","2,771,290","2,771,290","2,771,290","2,771,290","2,771,290","2,771,290"
再評価積立金,"557,223","557,223","557,223","557,223","557,223","557,223","557,223","557,223","557,223","557,223","557,223","557,223","557,223"
受贈財産評価額,"1,069,567","1,069,567","1,069,567","1,069,567","1,069,567","1,069,567","1,069,567","1,069,567","1,069,567","1,069,567","1,069,567","1,069,567","1,069,567"
工事負担金,-,-,-,-,-,"1,000","1,144,500","1,144,500","1,144,500","1,144,500","1,144,500","1,144,500","1,144,500"
利益剰余金又は欠損金,"10,473,272","16,377,565","13,483,881","13,517,559","△5,752,307","△4,486,414","△13,880,708","△20,241,136","△12,122,528","1,579,641","21,608,583","3,442,161","7,015,595"
当年度純利益,"10,473,272","15,847,565","12,170,881","8,181,938",-,-,-,-,"8,118,608","13,638,342","21,608,583","2,342,161","5,795,595"
利益積立金,,"530,000","1,330,000","1,330,000","1,330,000",-,-,-,-,-,-,"1,100,000","1,220,000"
滅債積立金,,,,"610,000",-,-,-,-,-,-,-,-,-
繰越利益剰余金,,,,"3,395,621","2,710,978",-,-,-,-,-,-,-,-
繰越欠損金年度末残高,,,"△17,000",-,-,"△1,074,391","△2,669,910","△13,805,870","△20,241,136","△12,058,701",-,-,-
当年度純損失,,,,,"△9,793,285","△3,412,023","△11,210,798","△6,435,266",-,-,-,-,-
資本合計,"136,420,138","152,267,703","234,421,584","236,695,563","220,309,686","212,273,009","194,718,645","179,054,647","177,869,685","182,268,284","199,001,867","201,344,028","207,139,623"
負債資本合計,"139,031,183","153,791,920","238,282,164","267,948,637","327,589,502","351,046,720","389,513,928","420,322,245","434,173,355","416,871,294","431,694,370","435,469,484","536,844,064"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
