,昭和27(28.1-3),昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
収益的収入,,,,,,,,,,,,,,,,,,,,,,,,,,,
軌道事業収益,"58,098,077","287,294,145","330,596,081","349,057,073","371,919,507","378,345,846","391,149,119","399,487,972","401,725,390","463,206,957","507,628,344","550,367,761","643,980,040","713,945,158","731,416,636","700,251,115","767,990,437","806,479,598","766,638,663","789,052,695","1,104,870,947","1,151,175,346","1,588,470,485","2,129,203,856","1,875.519,936","1,945,165,177","1,940,823,364"
営業収益,"57,601,755","284,004,097","324,790,804","343,635,413","364,098,073","372,401,041","382,775,487","389,370,390","395,345,576","448,730,395","493,165,409","537,455,831","631,115,434","687,668,680","698,694,642","672,349,398","708,760,393","759,099,014","717,943,511","730,230,205","936,629,519","923,361,139","1,364,288,152","1,614,316,578","1,515.146,925","1,540,808,174","1,570,819,227"
営業外収益,"496,322","3,290,048","5,805,277","5,421,660","7,821,434","5,944,805","8,373,632","10,117,582","6,379,814","14,476,562","14,462,935","12,911,930","12,864,606","26,276,478","32,721,994","27,901,717","59,230,044","47,380,584","48,695,152","58,822,490","168,241,428","227,814,207","224,182,333","220,785,460","230,971,881","230,770,231","264,919,011"
特別利益,,,,,,,,,,,,,,,,,,,,,,,,"294,101,818","129,401,130","173,586,772","105,085,126"
自動車運送事業収益,"9,638,096","57,537,740","77,207,334","78,232,239","92,975,092","110,324,199","125,323,213","145,515,186","174,795,193","213,979,335","255,633,100","362,676,828","415,007,758","481,668,738","574,697,455","572,347,314","606,780,205","713,935,600","713,140,750","732,268,639","947,662,899","1,097,495,804","1.622,824,081","1,947,681,898","2,235,286,315","2,404,944,137","2,308,539,510"
営業収益,"9,622,985","57,300,265","76,720,210","77,759,325","91,931,780","109,098,850","124,389,204","144,281,106","173,147,527","211,680,749","253,532,264","361,701,114","413,903,326","480,254,343","572,240,603","569,383,652","596,435,509","693,099,061","699,955,249","716,957,221","896,831,176","964,305,591","1,445,479,562","1,694,664,426","1,731.193,484","1,863,633,678","1,901,014,875"
営業外収益,"15,111","237,475","487,124","472,914","1,043,312","1,225,349","934,009","1,234,080","1,647,666","2,298,586","2,100,836","975,714","1,104,432","1,414,395","2,456,852","2,963,662","10,344,696","20,836,539","13,185,501","15,311,418","50,831,723","133,190,213","177,344,519","153,760,772","219,163,293","235,561,270","322,577,967"
特別利益,,,,,,,,,,,,,,,,,,,,,,,,"99,256,700","284,929,538","305,749,189","84,946,668"
合計,"67,736,173","344,831,885","407,803,415","427,289,312","464,894,599","488,670,045","516,472,332","545,003,158","576,520,583","677,186,292","763,261,444","913,044,589","1,058,987,798","1.195,613,896","1,306,114,091","1,272,598,429","1,374,770,642","1,520,415,198","1,479,779,413","1,521,321,334","2,052,533,846","2,248,671,150","3,211,294,566","4,076,885,754","4,110,806,251","4,350,109,314","4,249,362,874"
期間外収益,,,,,,,,,,,,,,"1,853","112,662","28,516,311","3,990,052","966,132,227","4,447","135,000","82,841,422","979,143,729","238,971,614",-,-,-,-
総　計,"67.736,173","344,831,885","407,803,415","427,289,312","464,894,599","488,670,045","516,472,332","545,003,158","576,520,583","677,186,292","763,261,444","913,044,589","1,058,987,798","1,195,615,749","1,306,226,753","1,301,114,740","1,378,760,694","2,486,547,425","1,479,783,860","1,521,456,334","2,135,375,268","3,227,814,879","3.450,266,180","4,076,885,754","4,110,806,251","4,350,109,314","4,249,362,874"
収益的支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
軌道事業費,"66,457,060","265,986,261","299,196,819","340,869,250","359,624.748","380,013,862","392,620,618","406,914,507","426,184,458","470,082,740","542,686,966","645,352,152","711,037,870","792,864,944","833,082,254","817,945,304","939,333,012","1,018,489,642","1,116,229,219","1,234,332,225","1,491,358,474","1,599,249,090","1,816,869,478","1,988,868,217","1,852,011,569","1,828,177,014","1,757,581,127"
営業費用,"59,688,215","257,075,165","288,911,788","325,585,837","342,487,073","366,610,115","374,474,426","389,873,067","408,523,665","445,828,545","515,390,935","614,359,376","673,540,905","740,020,999","773.210,174","756,929,241","845,863,363","928,260,592","1,006,437,022","1,092,344,030","1,337,110,780","1,378,740,017","1,591,384,870","1,756,566,290","1,537,443,134","1,550,638,871","1.574,967,011"
営業外費用,"6,768,845","8,911,095","10,285,031","15,283,413","17,137,675","13,403,747","18,146,192","17,041,440","17,660,793","24,254,195","27,296,031","30,992,776","37,496,965","52,843,945","59,872,080","61,016,063","93,469,649","90,229,050","109,792,197","141,988,195","154,247,694","220,509,073","225,484,608","232,301,927","162,241,733","219,053,565","182,614,116"
特別損失,,,,,,,,,,,,,,,,,,,,,,,,,"152,326,702","58,484,578",-
自動車運送事業費,"14,365,267","66,039,517","79,614,992","88,742,810","96,769,293","123,340,469","128,824,726","147,328,332","169,153,594","214,969,959","260,154,525","367,702,955","448,377,111","523,999,776","608,506,062","625,157,944","775,229,284","937,396,457","1,039,777,252","1,190,531,384","1,241,357,168","1,410,835,879","1,915,717,268","2,004,996,827","2,043,574,168","2,210,674,405","2,200,974,534"
営業費用,"14,211,105","65,149,652","78.882,227","88,166,146","96,407,646","120,736,415","125,433,735","141,811,465","162,356,509","206,138,595","249,837,232","352,953,173","430,534,871","504,778,358","586,351,575","599,187,870","738,734,682","886,558,934","973,171,302","1,098,672,263","1,131,798,472","1,298,563,497","1.749,221,260","1,847,232,287","1,807,247,203","1,951,600,434","2,086,081,767"
営業外費用,"154,162","889,865","732,765","576,664","361,647","2,604,054","3,390,991","5,516,867","6,797,085","8,831,364","10,317,293","14,749,782","17,842,240","19,221,418","22,154,487","25,970,074","36,494,602","50,837,523","66,605,950","91,859,121","109,558,696","112,272,382","166,496,008","157,764,540","129,886,915","135,488,110","114,892,767"
特別損失,,,,,,,,,,,,,,,,,,,,,,,,,"106,440,050","123,585,861",-
合計,"80,822,327","332,025,778","378,811,811","429,612,060","456,394,041","503,354,331","521,445,344","554,242,839","595,338,052","685,052,699","802,841,491","1,013,055,107","1,159,414,981","1,316,864,720","1,441,588,316","1,443,103,248","1,714,562,296","1,955,886,099","2,156,006,471","2,424,863,609","2,732,715,642","3,010,084,969","3,732,586,746","3,993,865,044","3,895,585,737","4,038,851,419","3,958,555,661"
期間外費用,,,,,,,,,,,,"4,018,141",-,"921,690",-,-,"87,122,003","4,984,386","258,634","23,000","2,511,600","7,784,955","232,459,006",-,-,-,-
総　計,"80,822,327","332,025,778","378,811,811","429,612,060","456,394,041","503,354,331","521,445,344","554,242,839","595,338,052","685,052,699","802,841,491","1,017,073,248","1,159,414,981","1,317,786,410","1,441,588,316","1,443,103,248","1,801,684,299","1,960,870,485","2,156,265,105","2,424,886,609","2,735,227,242","3,017,869,924","3,965,045,752","3,993,865,044","3,895,585,737","4,038,851,419","3,958,555,661"
