,地価割,"営業税付加
割","雑種税付加
割",地価割増,建物割,建物割増,宅地割,耕地割,戸　別　割,"特別戸別
割",所得税割,営業税割,営　業　割,営業割増,"売薬営業
税割","戸数割付加
割","水産税付
加割",商工税,雑種税,遊興税,観覧税,電　柱　税,合　　計
男治13年度下半期,●●●,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,466.758"
14,・●●,-,-,-,●●●,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,"6,112.847"
15,●●●,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,233.102"
16,●●●,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,267.273"
17,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,748.194"
18,"3,208.846",-,ー,-,"11,886.470",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,095.316"
19,"1,509.818",-,-,-,"15,455.159",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,964.977"
20,"1,505.604",-,-,-,-,-,-,-,"11,316.957",-,-,-,-,-,-,-,-,-,-,-,-,-,12.822.561
21,"1,511.084",-,-,-,-,-,-,-,"8,844.017",-,-,-,-,-,-,-,-,-,-,-,-,-,"10,355.101"
22,"1,531.809",-,-,-,-,-,-,-,"9,769.928",-,-,-,-,-,-,-,-,-,-,-,-,-,"11,301.737"
23,"1,521.039",-,-,-,-,-,-,-,"20,151.969",-,-,-,-,-,-,-,-,-,-,-,-,-,"21,673.008"
24,"1,549.622",-,-,-,-,-,-,-,"22,409.861",-,-,-,-,-,-,-,-,-,-,-,-,-,"23,959.483"
25,"1,571.366",-,-,-,-,-,-,-,"20,849.471",-,-,-,-,-,-,-,-,-,-,-,-,-,22.420.837
26,"1,568.274",-,-,-,-,-,-,-,"24,874.037",-,-,-,-,-,-,-,-,-,-,-,-,-,"26,442.311"
27,"1,594.250",-,-,-,"23,950.981",-,-,-,18.522,-,-,-,-,-,-,-,-,一,-,-,-,-,"25,563.753"
28,"1,613.967",-,-,-,"37,351.662",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"38,965.629"
29,"7,534.453",-,-,-,"63,717.507",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"71,251.960"
30,"1,614.964",-,-,"8,820.046","62,168.714","5,691.591",-,-,-,-,-,-,"17,241.226","1,040.628",-,-,-,-,-,-,-,-,"96,577.169"
