,市　民　税,個人（市民税）,法人（市民税）,固定資産税,"国有資産等所在
市町村交付金
及び納付金",自　転　車,荷　車　税,"特　別　土　地
保　　有　税",入　湯　税,事業所税,都市計画税,広　告　税,接　客　人　税,"旧法による
税　収　入",,軽自動車税,たばこ消費税,電気ガス税,電　気　税,ガ　ス　税,絋　産　税,木材引取税,合　　計
昭和25,"138,959,125",-,-,"123,892,057",-,"3,234,650","1,101,905",-,"678,750",-,-,"335,460","504,400","59,000,761",,-,-,"13,849,052",-,-,-,"33,000",二　　〃・
26,"184,990,255",-,-,"186,664,157",-,"6,011,213","1,560,980",-,"1,309,615",-,-,"564,900","900,800","20,592,751",,一,-,"25,815,163",-,-,-,"7,000",
27,"285,147,184",-,-,"268,806.637",-,"6,027,296","1,621.195",-,"2,253,867",-,-,"502,373","546,014","28,302,801",,-,-,"40,998,695",-,-,"12,288","10,000","341 .5,只9.161"
28,"355,487,956",-,-,"274,721.582",-,"6.729,167","1,514,823",-,"2,031,447",-,-,"45,972","93,120","12,019,275",,-,-,"46,818,347",-,-,"219,855","30,000","W-ii~~ﾐyiwふ
428.416.834"
29,"328,091,860",-,-,"287,136,831",-,"8,088,002",-,-,"2,672,108",-,-,-,-,"3,039,986",,-,"69,270,770","52,096,969",-,-,"134,850","61,357","--wf--wrWW－
634,228,350"
30,"325,625,000",-,-,"322,709,839",-,"10,076,723",-,-,"2,797,640",-,-,-,-,"1,535,821",,-,"66,288,740","60,010,782",-,-,"165,610","143,483","b9り,U1,t)44
75n.592.733"
31,"294,582,721",-,-,"384,268,551",-,-,-,-,"3,062,790",-,-,-,-,"1,104,130",,"10,406.332","73.364,460","64,554,521",-,-,"269,360","88,012","●ＷｗｆミミW,■ww
789.353.fi3R"
32,"271,994,422",-,-,"421,527,253",-,-,-,-,"3,968,170",-,-,-,-,"642,250",,"11,721,996","72,237,230","70,165,785",-,-,"418,160","154,210",●ＷｗｉＷＷｗｒＷＷＷ
33,"233,271,241",-,-,"462,545,996",-,-,-,-,"4,200,860",-,-,-,-,"1,149,328",,"4,436,290","92,418,860","75,636,379",-,-,"10,410","265,142",只31.7nn､R77
34,"231,833,210",-,-,"488,233,013",-,-,-,-,"4,386,756",一,-,-,-,"571,402",,"5,643,900","96,838.290","84,640,766",-,-,"107,580","294,404","ＷＷｉｙｌＷｗｙＷ●●
只59只ｸQ∠17R"
35,"255,879,297",-,-,"511,497,380",-,-,-,-,"4,652,630",-,-,-,-,"334,267",,"7,336,390","104,289,550","95,428,655",-,-,"74,001","539,346","WWWIWWWyﾑ･Ｗ
只73_qR4.5nR"
36,"301,044,006",-,-,"561.934,048",-,-,-,-,"7,044,320",-,-,-,-,"201,224",,"10,012,340","116,393,300","104,603,792",-,-,"120,300","333,884","WIwIWWiyWWW
912.549.321"
