,"地　租　割
昭和２年より
地租付加税",地　租　割,"営　業　税
昭和15年より
営業税割",雑　種　税,船　舶　税,自動車税,電　柱　税,不動産取得税,漁業権税,狩猟者税,芸　妓　税,営業税付加税,営業収益税,営業収益税割,"売薬営業税
付　加　税","所　得　税
付　加　税

昭和21年より
道　民　税","戸　数　割
昭和２年より
家　屋　税
昭和21年より
家屋税付加税","段　別　割

昭和15年より
段　別　税","水　産　税

昭和21年より
漁　業　税","鉱　業　税
付　加　税

昭和16年より
鉱区税付加税","都市計画
特別税
営業税割","都市計画
特別税
地租割",特別地税,"雑　収　入
r2冫惱",合　　　　　　計
明治33　　　上半期,"1,201.73",-,-,53.75,-,-,-,-,-,-,-,-,-,-,-,-,2.931.14,-,-,-,-,-,-,-,"4,186.62"
下半期,・●●,●●●,●●●,●●●,,・●●,●●●,,●●●,●Ｉ・,●●●,●●●,,Ｉ●●,,●●●,●●●,,●●●,,●●●,●●●,●●●,●●●,●・●
34　4-9上半期,"2,719.86",-,"1,790.83","3,744.78",-,-,-,-,一,-,-,"3,522.53",-,-,-,-,2.451.75,91.90,"2,600.89",-,-,-,-,-,"16,922.52"
下半期,,,●Ｉ●,,●●●,,,●●●,●●●,●・●,,●●●,,・●●,,●●昜,●●●,●●●,●●■,●●●,●●●,●●●,,●●●,●●●
35　　上半期,●●●,,●Ｉ●,●●●,,,,●●●,●●●,・・●,",･●●",●●●,,●●●,舎●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
下半期,"3,190.89",-,3.084.91,8.732.28,-,-,-,-,-,-,-,"4,328.90",-,-,-,-,5.549.92,150.77,"1,056.12",-,-,-,-,-,"26,093.79"
36　　　上半期,"2,806.17",-,"2,363.95","9,620.42",-,-,-,-,-,-,-,"4,946.38",-,-,-,-,5.045.67,104.74,2.420.84,-,-,-,-,-,"27,308.17"
下半期,"3,200.39",-,"3,131.75",19.187.83,-,-,-,-,-,-,-,"5,103.66",-,-,-,-,"6,470.05",180.23,"1,799.02",-,-,-,-,-,"39,072.93"
37　　上半期,"2,946.95",-,"2,682.55","9,830.12",-,-,-,-,-,-,-,"6,334.34",-,-,-,-,5.728.31,97.76,"1,397.24",-,-,-,-,-,"29,017.27"
下半期,"3,056.53",-,"2,915.70",16.308.18,-,-,-,-,-,-,-,"6,187.57",-,-,-,-,6.452.63,104.23,"1,668.69",-,-,-,-,-,"36,693.53"
38　　　上半期,"3,006.35",-,"2,897.20",9.762.52,-,-,-,-,-,-,-,"6,737.38",-,-,-,-,"4,997.70",78.33,"2,599.92",-,-,-,-,-,"30,079.40"
下半期,"3,006.18",-,"2,959.95","21,929.29",-,-,-,-,-,-,-,"6,618.17",-,-,-,-,"7,246.93",76.69,"1,391.87",-,-,-,-,-,"43,229.08"
39　　上半期,"2,892.14",-,"2,975.10",11.263.26,-,-,-,-,-,-,-,"8,000.82",-,-,-,-,"8,456.64",71.23,"1,666.81",-,-,一,-,-,"35,326､00"
下半期,"3,117.59",-,"3,513.46",26.796.43,-,-,-,-,-,-,-,"8,496.82",-,-,-,-,9.758.17,84.67,875.21,-,-,-,-,-,"52,642.35"
40　　　上半期,"2,161.62",-,"2,920.25",10.173.44,-,-,-,一,-,-,一,"7,761.06",-,-,-,-,"9,063.60",57.31,"1,086.48",-,-,-,-,-,"33,223.76"
下半期,"3,811.32",-,"3,368.35","21,803.18",-,-,-,-,-,-,-,"8,414.09",-,-,-,-,12.620.88,99.84,5.652.43,-,-,-,-,-,"55,770.09"
