年　　度,地　　　租,所　得　税,営　業　税,売薬営業税,自家用醤油税,戦時利得税,家　屋　税,合　計,,,,
明治33　4-10　上半期,"6,024.348","15,384.929","16,920.484",520.000,-,-,-,"1,201.729","2,931.143",53.750,-,"43,036.383"
下半期,●●●,●●●,●●●,,●●●,,,,,●二¶,■●・,
34　　　　上半期,"5,445.384","5,553.515","18,204.144",55.000,-,-,-,-,-,-,-,"29,258.043"
下半期,●●●,●●●,,,■・●,,●會●,●●●,●●ｉ,●蕃嵋,●●●,●●●
35　　　上半期,●●●,,,ｌ●●,●●●,,●●●,,●●●,,●●●,
下半期,"5,609.675","17,944.040","18,261.316",59.000,-,-,-,-,-,-,-,"41,874.031"
36　　　上半期,"5,598.485","3,618.720","22,901.919",63.000,-,-,-,-,-,-,-,"32,･182.124"
下半期,"5,027.551","52,042.820","20,821.700",57.000,-,-,-,-,-,-,-,"77,949.071"
37　　　　上半期,"27,799.921","16,681.310","38,607.670",47.000,-,-,-,-,-,-,-,"83,135.901"
下半期,"32,921.440","40,083.150","34,903.910",61.500,-,-,-,-,-,-,-,"107,970.000"
38　　　上半期,"89,061.450","35,179.070","55,849.420",70.500,-,-,-,-,-,-,-,"180,160､440"
下半期,"85,197.837","106,492.020","53,417.370",63.000,-,-,一,-,-,-,-,"245,170.227"
39　　　上半期,"90,517.932","28,440.680",64.125.910,76.500,-,-,-,-,-,-,-,"183,161.022"
下半期,"72,269.477","119,377.720","58,028.800",49.000,-,-,-,-,-,-,-,"249,724.997"
40　　　上半期,"48,477.763","33,784.370",56.186.770,68.000,-,-,-,-,-,-,-,"138,516.903"
下半期,"79,489.794","90,359.250","42,678.900",43.500,-,-,-,-,-,-,-,"212,571.444"
41　　　　上半期,"75,453.865","33,359.050","49,852.690",35.500,-,-,-,-,-,-,-,"158,701.105"
下半期,"77,737.410","106,724.960","52,372.630",48.000,-,-,-,-,-,-,-,"236,883.000"
42　　　上半期,"79,225.075","27,122.840","53,355.690",65.000,-,-,-,-,-,-,-,"159,768.605"
