,国税付加税（昭和22ョリ道税付加税）,,,,,地方税付加税(昭和21ョリ道税付加税),,,地方税付加税（昭和21ョリ道税付加税）,,,,,,,,,地方税付加税（昭和21ョリ道税付加税）,,,,,,,,地方税付加税（昭和21ョリ道税付加税）,,,,,独　　　立　　　税,,,,独　　　　　立　　　　　税,,,,,,,,娯楽税,閑畳税,特別漁業税,軌道税,計,独　　　　　　立　　　　　　税,,,,目的税（昭和22ョリ都市計画税）,,,,,,,,,
,計,"地　　　租
付　加　税","家　族　税
付　加　税","営　業　税
　付　加　税
S23事業税付加","鉱区税
付加税",計,"段別割
付加税","船舶税
付加税","自動車税
付加税","電柱税
付加税","不動産取得税
付　加　税","漁業権税
付加税","狩猟者税
付加税","芸妓税
付加税","電話加入権
税付加税","家畜税
付加税","漁業税
付加税","遊　興　税
付　加　税","入　湯　税
付　加　税","材木取引税
付　加　税","特別所得税
付　加　税","入　場　税
付　加　税","濟消費税
付加税","電気ガス税
付　加　税","原動機税
付加税","家畜移出税
付　加　税","建物改修税
付　加　税","余裕住宅税
付　加　税","貸席利用税
付　加　税","家屋税
付加税",計,市　民　税,舟　　税,自転車税,金　庫　税,屠畜税,荷車税,特別営業税,温泉入湯税,広告税,露店税,接客人税,-,-,-,"3,352.20","172,632.19",使用人税,犬　　税,給仕人税,原動機税,都市計画税,道税独立税割,市税独立税割,計,配　付　税,計,"旧法二依ル
税　収　入",,合　　訐,
昭和15,"571,669.18","167,560.76",-,"403,785.25",323.17,"265,572.15","1,718.03","8,685.47","12,373.40","11,470.25","28,626.24",638.58,187.48,"12,999.03",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"188,873.67","267,712.26","229,443.06","4,376.00","18,186.00","5,604.00","6,751.00",-,-,-,-,-,-,-,-,-,"3,352.20","210,455.85",一,-,-,-,"172,632.19",-,-,"180,975.00","180,975.00","531,073.06","531,073.06",,,
16,"617,373.69","169,381.89",-,"447,321.64",670.16,331.309.25,1.718.45,8.478.84,"11,934.42","11,442.22","83,306.71",871.02,165.62,"10,767.46",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"202,624.51","295,536.58","257,422.94","4,464.00","21,153.44","5,660.50","3,483.50",-,-,-,-,-,-,-,-,-,"3,352.20","295,141.65",-,-,-,-,"210,455.85",-,-,"185,565.00","185,565.00","200,307.69","200,307.69",,i ni,３ｎ ａりりO A
17,"1,473,955.35","232,501.18","338,177.23","901,975.35",1.301.59,150.960.54,21.744.47,9.543.19,"9,655.25","11,433.72","82,576.01",930.60,225.66,"11,644.43",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,207.21","298,723.12","258,463.95","4,996.00","22,646.47","5,671.00","3,593.50",-,-,-,-,-,-,-,-,-,"3,352.00","248,033.00",-,-,-,-,"295,141.65",-,-,"553,460.00","553,460.00","49,541.63","49,541.63",,"１，ぴ
１０","ba,ooo.o4
A C AG ｎＱ"
18,"1,460,224.00","205,336.00","319,310.00","935,020.00",558.00,"146,992.00","19,287.00","7,416.00","8,806.00","11,433.00",87.356.00,678.00,213.00,"11,003.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800.00,"309,098.00","268,702.00","4,570.00","23,018.00","5,680.00","3,776.00",-,-,-,-,-,-,-,-,-,-,"368,159.88",-,-,-,-,"248,033.00",-,-,"794,055.00","794, C〕55.00","24,400.00","24,400.00",,"１，０
り○","１Ｕ，Ｕ￡ｉＯ．Ｕり
ゝ１ ７０りりr丶"
19,"1,933,445.19","239,721.28","356,585.63","1,335,906.31","1,231.97","199,799.26","23,829.90","5,116.25","5,136.34","10,456.70","153,576.51","1,083.60",269.56,330.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"314,085.17","272,503.34","5,644.00","25,415.33","7,165.00","3,357.50",-,-,-,-,-,-,-,-,-,-,"307,446.87",-,-,-,-,"368,159.88",-,-,"851,702.00","851,702.00",-,-,,"乙，０
り∩","．１１ｆＯ乙，４ａ
り○∩りｎｎ"
20,"1,820,032.30","266,071.77","364,169.61","1,188,573.80","1,217.12","180,403.05","24,254.60","4,727.75","4,557.50","10,467.30","134,825.80","1,083.60",289.70,196.80,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"337,306.85","303,860､88","4,820.00","19,520.47","6,905.00","2,200.50",-,-,-,-,-,-,-,-,-,~,"831,685.39",-,-,-,-,"307,446.87",-,-,"834,570.00","834,570.00",-,-,,"乙，ａ
３，６",")乙,０Ｕ乙. uu
57,191.50"
21,"5,633,745.13","1,066,552.93","1,457,951.75","3,107,437.61",1.802.84,"900,581.10","96,880.20","21,800.50","27,500.00","29,818.60","382,669.15","4,327.20","2,835.35","47,957.50","234,750.00","11,610.00","40,432.60",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,802,512.60","1,638,308.40","13,576.00","70,420.20","26,699.00",969.00,"10,520.00","25,500.00","6,694.00",-,"9,826.00",-,"64,285.00","317,760.00",-,-,"4,025,613.00",-,-,-,-,"831,685.39",-,-,"1,357,789.00","1,357,789.00",-,-,,"3,4","79,759.07"
22,"31,043,087.48","1,329,924.30","3,369,592.80","19,746,915.10","5,337.80",-,-,"401,783.00","347,138.10","95,891.00","752,156.40","7,255.00","8,950.00","83,936.80","1,272,282.00","29,292.00","133,355.20","3,156,618.98","274,885.00","27,774.00",-,一,-,-,-,-,-,-,-,-,"9,977,257.90","8,027,665.90","339,171.00","365,578.00","148,335.00","58,734.00","175,780.00","6,465.00",-,-,-,-,"216,415.00","19,230.00",-,-,"17,123,866.25",-,-,"86,750.00","386,734.00",-,"3,550,845.45","474,767.55","17,943,464.00","17,943,464.00","372,265.46","372,265.46",,inc,)Ｑり１りりり
23,"145,906,823.45","6,571,260.80","13,109,174.70","35,083,758.03","15,903.00",-,-,"1,923,701.00","899,688.10","230,388.00","4,199,696.60","48,826.00","64,300.00","37,100.00","5,790,660.00",120.00,"4,425.60","13,924,112.00","778,539.00","26,108.50","1,346,835.00","49,211,616.47","7,167,564.18","3,499,205.97","13,320.00","41,730.00","736,150.00","658,220.00","524,420.50",-,"45,711,436.30","34,947,505.80","1,125,241.00","5,410,628.00","283,180.00","294,750.00","1,803,654.00",195.00,-,"225,821.00",-,"938,500.00","472,036.00",315.00,"809,200.00",-,"26,816,174.10","137,200.00","160,175.00","118,120.00","30,821.50","17,123,866.25",-,-,"59,336,000.00","59,336,000.00","3,326,496.64","3,326,496.64",,"1U,U
ａり９","ｊＵ，ａｉａ．乙乙
丶Ｉ QO'7 ０ｊ"
