,,明治15,明治16,明治17,明治18,明治19
,収入,,,,,
,補助金受込高(翳13.14.15),4443.086,-,-,-,-
,前年度より持越高,,"2,937.077","2,104.454","2,701.207","3,100.663"
,県庁より下付受込,,615.102,682.692,518.902,606.216
,銀行利子,,67.500,94.061,60.554,166.453
,合計,"4,443.086","3,619.679","2,881.207","3,280.663","3,873.332"
,支出,,,,,
,区費生養成費,"1,496.009",-,-,-,-
,旧女学校新築費の内へ,,"1,205.225",-,-,-
,上納金補給,,,180.000,180.000,-
,差引,"2,947.077","2,414.454","2,701.207","3,100.663","3,873.332"
,内　繰替金,,310.000,-,264.000,264.000
,私立一貫小学校へ貸与,,,300.000,300.000,280.000
,(無利息年賦),,,,,
