,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,明治22.1-6,22.7-12,23.1-6,合　　　計
,収入,,,,
,授業料　（幸）,348.750,429.300,490.100,"1,268.150"
,授業料　（東川）,237.400,300.450,309.500,847.350
,授業料　（住吉）,264.250,267.950,268.500,800.700
,授業料　（高砂）,267.250,302.525,272.750,842.525
,区費補助（幸）,105.000,72.000,79.500,256.500
,区費補助（東川）,126.000,72.000,79.500,277.500
,区費補助（住吉）,105.000,72.000,79.500,256.500
,区費補助（高砂）,108.000,72.000,79.500,259.500
,区費補助（鶴岡）,82.500,75.000,75.000,232.500
,貸地料　（幸）,,,5.000,5.000
,貸地料　（鶴岡）,49.608,75.873,127.994,253.475
,預金利子（鶴岡）,38.500,38.500,36.575,113.575
,合計　　（幸）,453.750,501.300,574.600,"1,529.650"
,合計　　（東川）,363.400,372.450,389.000,"1,124.850"
,合計　　（住吉）,369.250,339.950,348.000,"1,057.200"
,合計　　（高砂）,375.250,374.525,352.250,"1,102.025"
,合計　　（鶴岡）,170.608,189.373,239.569,599.550
,総計,"1,732.258","1,777.598","1,903.419","5,413.275"
,支出,,,,
,俸給　　（幸）,324.000,325.000,364.000,"1,013.000"
,俸給　　（東川）,248.400,264.000,266.000,778.400
,俸給　　（住吉）,282.000,264.000,277.000,823.000
,俸給　　（高砂）,276.000,270.420,259.733,806.153
,俸給　　（鶴岡）,106.000,108.290,115.700,329.990
,雑給　　（幸）,48.000,70.000,50.000,168.000
,雑給　　（東川）,35.500,39.000,39.000,113.500
,雑給　　（住吉）,42.000,52.000,47.500,141.500
,雑給　　（高砂）,"30,000",30.000,40.000,"100,000"
,雑給　　（鶴岡）,36.000,36.000,36.000,108.000
,その他　（幸）,78.057,109.993,172.528,360.578
,その他　（東川）,97.300,66.740,73.135,237.175
,その他　（住吉）,73.425,63.040,63.550,200.015
,その他　（高砂）,83.340,94.504,70.632,248.476
,その他　（鶴岡）,31.323,74.184,51.216,156.723
,合計　　（幸）,450.057,504.993,586.528,"1,541.578"
,合計　　（東川）,381.200,369.740,378.135,"1,129.075"
,合計　　（住吉）,397.425,379.040,388.050,"1,164.515"
,合計　　（高砂）,389.340,394.924,370.365,"1,154.629"
,合計　　（鶴岡）,173.323,218.474,202.916,594.713
,総計,"1,791.345","1,867.171","1,925.994","5,584.510"
,収支,△59.087,△89.573,△22.575,△171.235
